contact ( pg ) there's a moment late in robert zemeckis's contact where i was reminded of why i started writing movie reviews in the first place . 	Translation	Positive	Negative	EmotionRationale
we see a scientist , dressed in a silvery space suit , walking tentatively across a narrow walkway leading inside a compact , spherical space pod , unaware of what awaits when the ball literally drops . 	we see a scientist , dressed in a silvery space suit , walking tentatively across a narrow walkway leading inside a compact , spherical space pod , unaware of what awaits when the ball literally drops .	1	-1	 we[0] see[0] a[0] scientist[0] dressed[0] in[0] a[0] silvery[0] space[0] suit[0] walking[0] tentatively[0] across[0] a[0] narrow[0] walkway[0] leading[0] inside[0] a[0] compact[0] spherical[0] space[0] pod[0] unaware[0] of[0] what[0] awaits[0] when[0] the[0] ball[0] literally[0] drops[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anticipation , excitement , anxiety , fear--the audience experiences it all the emotional tension right with the character , nervously , breathlessly eager to see what lies ahead . 	anticipation , excitement , anxiety , fear-the audience experiences it all the emotional tension right with the character , nervously , breathlessly eager to see what lies ahead .	3	-5	 anticipation[0] excitement[2] anxiety[-2] fear[-3][-1 MultiplePositiveWords] the[0] audience[0] experiences[0] it[0] all[0] the[0] emotional[-1] tension[-2] right[0] with[0] the[0] character[0] nervously[-2] breathlessly[0] eager[0] to[0] see[0] what[0] lies[-2] ahead[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
it is this sense of discovery , the anticipation of which and its accompanying exhilaration , that makes this adaptation of the carl sagan novel such magical , captivating entertainment . 	it is this sense of discovery , the anticipation of which and its accompanying exhilaration , that makes this adaptation of the carl sagan novel such magical , captivating entertainment .	1	-2	 it[0] is[0] this[0] sense[0] of[0] discovery[0] the[0] anticipation[0] of[0] which[0] and[0] its[0] accompanying[0] exhilaration[0] that[0] makes[0] this[0] adaptation[0] of[0] the[0] carl[0] sagan[-1] novel[0] such[0] magical[0] captivating[0] entertainment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jodie foster stars as dr . ellie arroway , a brilliant astronomer who dedicates her entire life to searching outer space for extraterrestrial radio signals . 	jodie foster stars as dr .<br> ellie arroway , a brilliant astronomer who dedicates her entire life to searching outer space for extraterrestrial radio signals .	2	-1	 jodie[0] foster[0] stars[0] as[0] dr[0] [[Sentence=-1,1=word max, 1-5]] ellie[0] arroway[0] a[0] brilliant[1] astronomer[0] who[0] dedicates[0] her[0] entire[0] life[0] to[0] searching[0] outer[0] space[0] for[0] extraterrestrial[0] radio[0] signals[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and i mean life--after losing her entire family when she was young , the only thing occupying ellie's world is this quest to discover life beyond this earth . 	and i mean life-after losing her entire family when she was young , the only thing occupying ellie's world is this quest to discover life beyond this earth .	1	-3	 and[0] i[0] mean[0] life[0] after[0] losing[-2] her[0] entire[0] family[0] when[0] she[0] was[0] young[0] the[0] only[0] thing[0] occupying[0] ellie's[0] world[0] is[0] this[0] quest[0] to[0] discover[0] life[0] beyond[0] this[0] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after dealing with much skepticism on the part of government officials and wealthy financiers , ellie receives her vindication when she stumbles upon an incoming radio transmission from the distant star vega , which includes instructions on building an interstellar transport . 	after dealing with much skepticism on the part of government officials and wealthy financiers , ellie receives her vindication when she stumbles upon an incoming radio transmission from the distant star vega , which includes instructions on building an interstellar transport .	1	-2	 after[0] dealing[0] with[0] much[0] skepticism[-1] on[0] the[0] part[0] of[0] government[0] officials[0] and[0] wealthy[0] financiers[0] ellie[0] receives[0] her[0] vindication[0] when[0] she[0] stumbles[0] upon[0] an[0] incoming[0] radio[0] transmission[0] from[0] the[0] distant[0] star[0] vega[0] which[0] includes[0] instructions[0] on[0] building[0] an[0] interstellar[0] transport[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
from this synopsis , contact does not sound too different to most films about alien contact , but there is a whole lot more to this intelligent film than the sci-fi hook . 	from this synopsis , contact does not sound too different to most films about alien contact , but there is a whole lot more to this intelligent film than the sci-fi hook .	2	-2	 from[0] this[0] synopsis[0] contact[0] does[0] not[0] sound[0] too[0] different[0] to[0] most[0] films[0] about[0] alien[-1] contact[0] but[0] there[0] is[0] a[0] whole[0] lot[0] more[0] to[0] this[0] intelligent[1] film[0] than[0] the[0] sci[0] fi[0] hook[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the alien contact angle generates a great amount of suspense and awe , but perhaps more than anything else , contact is a character study of ellie , whose obsession with empirical , scientific evidence has erased all belief in a higher power . 	the alien contact angle generates a great amount of suspense and awe , but perhaps more than anything else , contact is a character study of ellie , whose obsession with empirical , scientific evidence has erased all belief in a higher power .	3	-3	 the[0] alien[-1] contact[0] angle[0] generates[0] a[0] great[2] amount[0] of[0] suspense[0] and[0] awe[0] but[0] perhaps[0] more[0] than[0] anything[0] else[0] contact[0] is[0] a[0] character[0] study[0] of[0] ellie[0] whose[0] obsession[-2] with[0] empirical[0] scientific[0] evidence[0] has[0] erased[-1] all[0] belief[0] in[0] a[0] higher[0] power[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the irony is that , while admitting to having no religious faith , she holds onto her belief in extraterrestrial life with such passion and conviction that it becomes , in a sense , a religion in its own right . 	the irony is that , while admitting to having no religious faith , she holds onto her belief in extraterrestrial life with such passion and conviction that it becomes , in a sense , a religion in its own right .	3	-2	 the[0] irony[-1] is[0] that[0] while[0] admitting[0] to[0] having[0] no[0] religious[0] faith[1] she[0] holds[0] onto[0] her[0] belief[0] in[0] extraterrestrial[0] life[0] with[0] such[0] passion[2] and[0] conviction[-1] that[0] it[0] becomes[0] in[0] a[0] sense[0] a[0] religion[0] in[0] its[0] own[0] right[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it would be easy for scripters james v . hart and michael goldenberg , in trying to paint a positive image of the heroine , to champion her scientific beliefs over religious ones , but they wisely eschew easy answers , giving equal time to both sides , and in so doing depict ellie as not completely sane . 	it would be easy for scripters james v .<br> hart and michael goldenberg , in trying to paint a positive image of the heroine , to champion her scientific beliefs over religious ones , but they wisely eschew easy answers , giving equal time to both sides , and in so doing depict ellie as not completely sane .	3	-1	 it[0] would[0] be[0] easy[0] for[0] scripters[0] james[0] v[0] [[Sentence=-1,1=word max, 1-5]] hart[0] and[0] michael[0] goldenberg[0] in[0] trying[0] to[0] paint[0] a[0] positive[2] image[0] of[0] the[0] heroine[2] to[0] champion[0] her[0] scientific[0] beliefs[0] over[0] religious[0] ones[0] but[0] they[0] wisely[0] eschew[0] easy[0] answers[0] giving[0] equal[0] time[0] to[0] both[0] sides[0] and[0] in[0] so[0] doing[0] depict[0] ellie[0] as[0] not[0] completely[0] sane[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
