sam ( matthew broderick ) is an astronomer in a small american town and engaged to teacher linda ( kelly preston ) . 	Translation	Positive	Negative	EmotionRationale
he is head over heels in love and lindas sudden departure to new york city to live with her new lover anton ( tch ? ky karyo ) comes as a complete surprise to him . 	he is head over heels in love and lindas sudden departure to new york city to live with her new lover anton ( tch ?<br> ky karyo ) comes as a complete surprise to him .	4	-1	 he[0] is[0] head[0] over[0] heels[0] in[0] love[2] and[0] lindas[0] sudden[0] departure[0] to[0] new[0] york[0] city[0] to[0] live[0] with[0] her[0] new[0] lover[3] anton[0] tch[0] [[Sentence=-1,4=word max, 1-5]] ky[0] karyo[0] comes[0] as[0] a[0] complete[0] surprise[0] to[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[4,-1 max of sentences]]]
but as we all know love is blind and so sam leaves for new york as well to win her back . 	but as we all know love is blind and so sam leaves for new york as well to win her back .	3	-2	 but[0] as[0] we[0] all[0] know[0] love[2] is[0] blind[-1] and[0] so[0] sam[0] leaves[0] for[0] new[0] york[0] as[0] well[0] to[0] win[0] her[0] back[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he moves into an abandoned house across the street from anton's apartment and installs a camera obscura to watch them . 	he moves into an abandoned house across the street from anton's apartment and installs a camera obscura to watch them .	1	-2	 he[0] moves[0] into[0] an[0] abandoned[-1] house[0] across[0] the[0] street[0] from[0] anton's[0] apartment[0] and[0] installs[0] a[0] camera[0] obscura[0] to[0] watch[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
suddenly anton's ex maggie shows up , but she does not want her former lover back . 	suddenly anton's ex maggie shows up , but she does not want her former lover back .	4	-1	 suddenly[0] anton's[0] ex[0] maggie[0] shows[0] up[0] but[0] she[0] does[0] not[0] want[0] her[0] former[0] lover[3] back[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
on the contrary , all she wants to do is vaporize him . 	on the contrary , all she wants to do is vaporize him .	1	-2	 on[0] the[0] contrary[-1] all[0] she[0] wants[0] to[0] do[0] is[0] vaporize[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she may say that she doesn't want to kill him , but the possibility doesn't bother her too much either . 	she may say that she doesn't want to kill him , but the possibility doesn't bother her too much either .	1	-2	 she[0] may[0] say[0] that[0] she[0] doesn't[0] want[0] to[0] kill[-1] him[0] but[0] the[0] possibility[0] doesn't[0] bother[-1] her[0] too[0] much[0] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after all , people die every day . 	after all , people die every day .	1	-1	 after[0] all[0] people[0] die[0] every[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in spite of their different motives the two team up and fall for each other as things move on . 	in spite of their different motives the two team up and fall for each other as things move on .	1	-4	 in[0] spite[-3] of[0] their[0] different[0] motives[0] the[0] two[0] team[0] up[0] and[0] fall[0] for[0] each[0] other[0] as[0] things[0] move[0] on[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the story sounds like something we all have seen a million times . 	the story sounds like something we all have seen a million times .	2	-1	 the[0] story[0] sounds[0] like[1] something[0] we[0] all[0] have[0] seen[0] a[0] million[0] times[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but we haven't . 	but we haven't .	1	-1	 but[0] we[0] haven't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
griffin dunne brings us the most charming comedy since " while you where sleeping " . 	griffin dune brings us the most charming comedy since " while you where sleeping " .	2	-1	 griffin[0] dunne/dune[0] brings[0] us[0] the[0] most[0] charming[1] comedy[0] since[0] while[0] you[0] where[0] sleeping[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the camera obscura adds a " special something " to the movie and makes it an exceptional romantic comedy . 	the camera obscura adds a " special something " to the movie and makes it an exceptional romantic comedy .	4	-1	 the[0] camera[0] obscura[0] adds[0] a[0] special[1] something[0] to[0] the[0] movie[0] and[0] makes[0] it[0] an[0] exceptional[0] romantic[3] comedy[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
everything about the movie is perfect , from set design to casting . 	everything about the movie is perfect , from set design to casting .	2	-1	 everything[0] about[0] the[0] movie[0] is[0] perfect[1] from[0] set[0] design[0] to[0] casting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the dialogues are inspired and the touches of black humor add a certain bite . 	the dialogues are inspired and the touches of black humor add a certain bite .	3	-1	 the[0] dialogues[0] are[0] inspired[2] and[0] the[0] touches[0] of[0] black[0] humor[2] add[0] a[0] certain[0] bite[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
