synopsis : private detective tom welles is hired by a wealthy widow to uncover the origins of a snuff film owned by her late husband . 	Translation	Positive	Negative	EmotionRationale
after uncovering the authenticity of the film , welles descends into an underground world of perverse pornographers seeking vigilante revenge on the filmmakers . 	after uncovering the authenticity of the film , welles descends into an underground world of perverse pornographers seeking vigilante revenge on the filmmakers .	2	-2	 after[0] uncovering[0] the[0] authenticity[0] of[0] the[0] film[0] welles[1] descends[0] into[0] an[0] underground[0] world[0] of[0] perverse[-1] pornographers[0] seeking[0] vigilante[0] revenge[-1] on[0] the[0] filmmakers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
comments : 8 mm is one of the more disturbing mainstream movies i have seen in a long time . 	comments : 8 m is one of the more disturbing mainstream movies i have seen in a long time .	1	-2	 comments[0] 8[0] mm/m[0] is[0] one[0] of[0] the[0] more[0] disturbing[-1] mainstream[0] movies[0] i[0] have[0] seen[0] in[0] a[0] long[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
though it doesn't present a snuff film ( a movie which documents a person's murder for real , usually during or after some form of sexual act ) as explicitly as the cult classic mute witness and violence as shockingly as , say , natural born killers , 8 mm stays in your head long after you see it . 	though it doesn't present a snuff film ( a movie which documents a person's murder for real , usually during or after some form of sexual act ) as explicitly as the cult classic mute witness and violence as shockingly as , say , natural born killers , 8 m stays in your head long after you see it .	1	-4	 though[0] it[0] doesn't[0] present[0] a[0] snuff[0] film[0] a[0] movie[0] which[0] documents[0] a[0] person's[0] murder[-3] for[0] real[0] usually[0] during[0] or[0] after[0] some[0] form[0] of[0] sexual[0] act[0] as[0] explicitly[0] as[0] the[0] cult[0] classic[0] mute[0] witness[0] and[0] violence[-3] as[0] shockingly[-2] as[0] say[0] natural[0] born[0] killers[0] 8[0] mm/m[0] stays[0] in[0] your[0] head[0] long[0] after[0] you[0] see[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is not fun to watch ; see something else if you get upset by realistic , sadistic violence . 	it is not fun to watch ; see something else if you get upset by realistic , sadistic violence .	1	-4	 it[0] is[0] not[0] fun[1][NegatedDueToPreviousWord] to[0] watch[0] see[0] something[0] else[0] if[0] you[0] get[0] upset[-2] by[0] realistic[0] sadistic[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this film's violence and perverse sexuality skirts closely into nc-17 territory . 	this film's violence and perverse sexuality skirts closely into nc-17 territory .	1	-4	 this[0] film's[0] violence[-3] and[0] perverse[-1] sexuality[0] skirts[0] closely[0] into[0] nc[0] -17[0] territory[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for those with strong stomachs , however , 8 mm is an intelligent , worthwhile thriller , especially during its second hour . 	for those with strong stomachs , however , 8 m is an intelligent , worthwhile thriller , especially during its second hour .	2	-1	 for[0] those[0] with[0] strong[0] stomachs[0] however[0] 8[0] mm/m[0] is[0] an[0] intelligent[1] worthwhile[1] thriller[1] especially[0] during[0] its[0] second[0] hour[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nicolas cage , after a couple ho-hum movies , returns to material which allows him to utilize his strong acting abilities . 	nicolas cage , after a couple ho-hum movies , returns to material which allows him to utilize his strong acting abilities .	1	-1	 nicolas[0] cage[0] after[0] a[0] couple[0] ho[0] hum[0] movies[0] returns[0] to[0] material[0] which[0] allows[0] him[0] to[0] utilize[0] his[0] strong[0] acting[0] abilities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as tom welles , a private detective and caring family man to a wife and newly-born daughter , cage skillfully and convincingly portrays a decent man whose unwavering energy slowly transforms into obssession and violence as he is pulled into a nightmarish world of underground pornographers and brutal sexual deviants . 	as tom welles , a private detective and caring family man to a wife and newly-born daughter , cage skilfully and convincingly portrays a decent man whose unwavering energy slowly transforms into obsession and violence as he is pulled into a nightmarish world of underground pornographers and brutal sexual deviants .	3	-4	 as[0] tom[0] welles[1] a[0] private[0] detective[0] and[0] caring[2] family[0] man[0] to[0] a[0] wife[0] and[0] newly[0] born[0] daughter[0] cage[0] skillfully/skilfully[0] and[0] convincingly[0] portrays[0] a[0] decent[0] man[0] whose[0] unwavering[0] energy[0] slowly[0] transforms[0] into[0] obssession/obsession[-2] and[0] violence[-3] as[0] he[0] is[0] pulled[0] into[0] a[0] nightmarish[0] world[0] of[0] underground[0] pornographers[0] and[0] brutal[-2] sexual[0] deviants[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
serving as a guide to this world is joaquin phoenix , who plays a struggling songwriter named max california . 	serving as a guide to this world is joaquin phoenix , who plays a struggling songwriter named max california .	2	-2	 serving[0] as[0] a[0] guide[0] to[0] this[0] world[0] is[0] joaquin[0] phoenix[0] who[0] plays[1] a[0] struggling[-1] songwriter[0] named[0] max[0] california[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
california , despite his name , is a surprisingly intelligent and complex character , and phoenix does a very good job at slowly pulling the audience to sympathy for the character . 	california , despite his name , is a surprisingly intelligent and complex character , and phoenix does a very good job at slowly pulling the audience to sympathy for the character .	3	-1	 california[0] despite[0] his[0] name[0] is[0] a[0] surprisingly[0] intelligent[1] and[0] complex[0] character[0] and[0] phoenix[0] does[0] a[0] very[0] good[1][1 LastWordBoosterStrength] job[0] at[0] slowly[0] pulling[0] the[0] audience[0] to[0] sympathy[0] for[0] the[0] character[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
