saving private ryan ( dreamworks ) running time : 2 hours 48 minutes . 	Translation	Positive	Negative	EmotionRationale
starring tom hanks , edward burns , tom sizemore and matt damon directed by steven spielberg already being hailed as the 'greatest war movie ever made , ' saving private ryan is an harrowing , saddening and riveting movie . 	starring tom hanks , edward burns , tom sizemore and matt damon directed by steven spielberg already being hailed as the 'greatest war movie ever made , ' saving private ryan is an harrowing , saddening and riveting movie .	1	-4	 starring[0] tom[0] hanks[0] edward[0] burns[-1] tom[0] sizemore[0] and[0] matt[0] damon[0] directed[0] by[0] steven[0] spielberg[0] already[0] being[0] hailed[0] as[0] the[0] 'greatest[0] war[-2] movie[0] ever[0] made[0] '[0] saving[0] private[0] ryan[0] is[0] an[0] harrowing[0] saddening[-3] and[0] riveting[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it may not be the greatest war movie in my opinion , but it's certainly one of the best war movies made , and one of the best of 1998 . 	it may not be the greatest war movie in my opinion , but it's certainly one of the best war movies made , and one of the best of 1998 .	3	-3	 it[0] may[0] not[0] be[0] the[0] greatest[2] war[-2] movie[0] in[0] my[0] opinion[0] but[0] it's[0] certainly[0] one[0] of[0] the[0] best[1] war[-2] movies[0] made[0] and[0] one[0] of[0] the[0] best[1] of[0] 1998[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
tom hanks stars as a captain who's troop has to find private ryan ( damon ) who has a ticket home because his three brothers have been killed in action . 	tom hanks stars as a captain who's troop has to find private ryan ( damon ) who has a ticket home because his three brothers have been killed in action .	1	-4	 tom[0] hanks[0] stars[0] as[0] a[0] captain[0] who's[0] troop[0] has[0] to[0] find[0] private[0] ryan[0] damon[0] who[0] has[0] a[0] ticket[0] home[0] because[0] his[0] three[0] brothers[0] have[0] been[0] killed[-3] in[0] action[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
action , drama and even some humour occur as the troop journeys through wartime france to find him . 	action , drama and even some humour occur as the troop journeys through wartime france to find him .	2	-1	 action[0] drama[0] and[0] even[0] some[0] humour[2][-1 LastWordBoosterStrength] occur[0] as[0] the[0] troop[0] journeys[0] through[0] wartime[0] france[0] to[0] find[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after the disappointing amistad ( 1997 ) spielberg has returned to form with this excellent movie . 	after the disappointing amistad ( 1997 ) spielberg has returned to form with this excellent movie .	4	-2	 after[0] the[0] disappointing[-1] amistad[0] 1997[0] spielberg[0] has[0] returned[0] to[0] form[0] with[0] this[0] excellent[3] movie[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i'm not the war movie genre biggest fan , but i found this film to be gripping , and very scary , thanks to the excellent cast , direction and terrifying battle scenes . 	i'm not the war movie genre biggest fan , but i found this film to be gripping , and very scary , thanks to the excellent cast , direction and terrifying battle scenes .	4	-5	 i'm[0] not[0] the[0] war[-2][NegatedDueToPreviousWord] movie[0] genre[0] biggest[0] fan[0] but[0] i[0] found[0] this[0] film[0] to[0] be[0] gripping[0] and[0] very[0] scary[-3][-1 LastWordBoosterStrength] thanks[1] to[0] the[0] excellent[3] cast[0] direction[0] and[0] terrifying[-3] battle[-1] scenes[0] [[Sentence=-5,4=word max, 1-5]][[[4,-5 max of sentences]]]
tom hanks is superb , straying away from his usually soppy dramatic roles , such as in forrest gump ( 1994 ) . 	tom hanks is superb , straying away from his usually soppy dramatic roles , such as in forest gump ( 1994 ) .	1	-1	 tom[0] hanks[0] is[0] superb[0] straying[0] away[0] from[0] his[0] usually[0] soppy[0] dramatic[0] roles[0] such[0] as[0] in[0] forrest/forest[0] gump[0] 1994[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this time , he plays the role with gritty realism , and is much better for it . 	this time , he plays the role with gritty realism , and is much better for it .	2	-1	 this[0] time[0] he[0] plays[1] the[0] role[0] with[0] gritty[0] realism[0] and[0] is[0] much[0] better[0] for[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
occasionally he overacts the sentimentally , but he generally delivers a fine performance . 	occasionally he overacts the sentimentally , but he generally delivers a fine performance .	3	-1	 occasionally[0] he[0] overacts[0] the[0] sentimentally[2] but[0] he[0] generally[0] delivers[0] a[0] fine[2] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
edward burns , looking a lot like armageddon's ben affleck , also delivers a top notch performance , moving away from his roles in films such as she's the one ( 1996 ) tom sizemore makes less of an impact , but is still watchable , and matt damon reinforcing his position as one of the finest young actors working today . 	edward burns , looking a lot like armageddon's ben affleck , also delivers a top notch performance , moving away from his roles in films such as she's the one ( 1996 ) tom sizemore makes less of an impact , but is still watchable , and matt damon reinforcing his position as one of the finest young actors working today .	2	-2	 edward[0] burns[-1] looking[0] a[0] lot[0] like[1] armageddon's[0] ben[0] affleck[0] also[0] delivers[0] a[0] top[0] notch[0] performance[0] moving[0] away[0] from[0] his[0] roles[0] in[0] films[0] such[0] as[0] she's[0] the[0] one[0] 1996[0] tom[0] sizemore[0] makes[0] less[0] of[0] an[0] impact[0] but[0] is[0] still[0] watchable[0] and[0] matt[0] damon[0] reinforcing[0] his[0] position[0] as[0] one[0] of[0] the[0] finest[0] young[0] actors[0] working[0] today[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
