eight years after its release , disney has decided to re-release the little mermaid theatrically for 17 days ( and 17 long nights ) only . 	Translation	Positive	Negative	EmotionRationale
coincidentally , it was reintroduced to theaters the same day fox's animated film anastasia was released . 	coincidentally , it was reintroduced to theaters the same day fox's animated film anastasia was released .	1	-1	 coincidentally[0] it[0] was[0] reintroduced[0] to[0] theaters[0] the[0] same[0] day[0] fox's[0] animated[0] film[0] anastasia[0] was[0] released[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you know disney , they can't deal with the threat of any other studio getting even a small piece of the crust of the kiddie entertainment pie , so when someone else wants to make a little money , they counter with an old " masterpiece " from their vault and , you know what , i went to see this 1989 cartoon rather than the brand new one from fox . 	you know disney , they can't deal with the threat of any other studio getting even a small piece of the crust of the kiddie entertainment pie , so when someone else wants to make a little money , they counter with an old " masterpiece " from their vault and , you know what , i went to see this 1989 cartoon rather than the brand new one from fox .	1	-3	 you[0] know[0] disney[0] they[0] can't[0] deal[0] with[0] the[0] threat[-2] of[0] any[0] other[0] studio[0] getting[0] even[0] a[0] small[0] piece[0] of[0] the[0] crust[0] of[0] the[0] kiddie[0] entertainment[0] pie[0] so[0] when[0] someone[0] else[0] wants[0] to[0] make[0] a[0] little[0] money[0] they[0] counter[0] with[0] an[0] old[0] masterpiece[0] from[0] their[0] vault[0] and[0] you[0] know[0] what[0] i[0] went[0] to[0] see[0] this[0] 1989[0] cartoon[0] rather[0] than[0] the[0] brand[0] new[0] one[0] from[0] fox[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
let no one say disney is losing its monopoly on the market . 	let no one say disney is losing its monopoly on the market .	1	-3	 let[0] no[0] one[0] say[0] disney[0] is[0] losing[-2] its[0] monopoly[0] on[0] the[0] market[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they still have hotels on boardwalk _and_ park place . 	they still have hotels on boardwalk _and_ park place .	1	-1	 they[0] still[0] have[0] hotels[0] on[0] boardwalk[0] _and_[0] park[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
believe it or not , today , november 25 , 1997 , at 5 : 05 p . m . , i saw the little mermaid for the first time . 	believe it or not , today , november 25 , 1997 , at 5 : 05 p .<br> m .<br> , i saw the little mermaid for the first time .	1	-1	 believe[0] it[0] or[0] not[0] today[0] november[0] 25[0] 1997[0] at[0] 5[0] 05[0] p[0] [[Sentence=-1,1=word max, 1-5]] m[0] [[Sentence=-1,1=word max, 1-5]] i[0] saw[0] the[0] little[0] mermaid[0] for[0] the[0] first[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it took me a few years to get over an aversion to this movie that was caused seven years ago , when i stayed with one of my mom's friends for a couple weeks . 	it took me a few years to get over an aversion to this movie that was caused seven years ago , when i stayed with one of my mom's friends for a couple weeks .	2	-3	 it[0] took[0] me[0] a[0] few[0] years[0] to[0] get[0] over[0] an[0] aversion[-2] to[0] this[0] movie[0] that[0] was[0] caused[0] seven[0] years[0] ago[0] when[0] i[0] stayed[0] with[0] one[0] of[0] my[0] mom's[0] friends[1] for[0] a[0] couple[0] weeks[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
they had a young child who listened to the little mermaid soundtrack constantly and , over that two week period , i heard every song from the movie probably a hundred times . 	they had a young child who listened to the little mermaid soundtrack constantly and , over that two week period , i heard every song from the movie probably a hundred times .	1	-1	 they[0] had[0] a[0] young[0] child[0] who[0] listened[0] to[0] the[0] little[0] mermaid[0] soundtrack[0] constantly[0] and[0] over[0] that[0] two[0] week[0] period[0] i[0] heard[0] every[0] song[0] from[0] the[0] movie[0] probably[0] a[0] hundred[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the time i got back home , i promised myself i'd never see the movie . 	by the time i got back home , i promised myself i'd never see the movie .	2	-1	 by[0] the[0] time[0] i[0] got[0] back[0] home[0] i[0] promised[1] myself[0] i'd[0] never[0] see[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but promises are made to be broken , especially when you're looking at a 17-day , limited engagement . 	but promises are made to be broken , especially when you're looking at a 17-day , limited engagement .	2	-2	 but[0] promises[1] are[0] made[0] to[0] be[0] broken[-1] especially[0] when[0] you're[0] looking[0] at[0] a[0] 17[0] day[0] limited[0] engagement[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
damn those shrewd disney marketers and their mind games . 	damn those shrewd disney marketers and their mind games .	1	-2	 damn[-1] those[0] shrewd[0] disney[0] marketers[0] and[0] their[0] mind[0] games[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
