modern audiences are more likely to be familiar with les misirables from the pop-broadway musical rather than victor hugo's original tome . 	Translation	Positive	Negative	EmotionRationale
adapted several times for the cinema , this latest effort does a superb job of translating the characters , story , and heart of the novel to the screen . 	adapted several times for the cinema , this latest effort does a superb job of translating the characters , story , and heart of the novel to the screen .	1	-1	 adapted[0] several[0] times[0] for[0] the[0] cinema[0] this[0] latest[0] effort[0] does[0] a[0] superb[0] job[0] of[0] translating[0] the[0] characters[0] story[0] and[0] heart[0] of[0] the[0] novel[0] to[0] the[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
liam neeson stars as jean valjean . 	liam neeson stars as jean valjean .	1	-1	 liam[0] neeson[0] stars[0] as[0] jean[0] valjean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a young man , valjean stole some bread to satisfy his hunger . . . and he was sentenced to 19 years of hard labor for his crimes . 	as a young man , valjean stole some bread to satisfy his hunger .<br> .<br> .<br> and he was sentenced to 19 years of hard labor for his crimes .	2	-2	 as[0] a[0] young[0] man[0] valjean[0] stole[-1] some[0] bread[0] to[0] satisfy[1] his[0] hunger[-1] [[Sentence=-2,2=word max, 1-5]] and[0] he[0] was[0] sentenced[0] to[0] 19[0] years[0] of[0] hard[0] labor[0] for[0] his[0] crimes[-1] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
prison hardened him , and on his release he seems doomed to a life of crime and squalor . 	prison hardened him , and on his release he seems doomed to a life of crime and squalor .	1	-2	 prison[-1] hardened[0] him[0] and[0] on[0] his[0] release[0] he[0] seems[0] doomed[-1] to[0] a[0] life[0] of[0] crime[-1] and[0] squalor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , an unexpected act of compassion changes his outlook on life , and he vows to become a better man . 	however , an unexpected act of compassion changes his outlook on life , and he vows to become a better man .	2	-1	 however[0] an[0] unexpected[0] act[0] of[0] compassion[1] changes[0] his[0] outlook[0] on[0] life[0] and[0] he[0] vows[0] to[0] become[0] a[0] better[0] man[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , he runs up against one man who doesn't believe in reform . 	however , he runs up against one man who doesn't believe in reform .	1	-2	 however[0] he[0] runs[0] up[0] against[-1] one[0] man[0] who[0] doesn't[0] believe[0] in[0] reform[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
inspector javert ( geoffrey rush ) is an obsessive law abider . 	inspector javert ( geoffrey rush ) is an obsessive law abider .	1	-3	 inspector[0] javert[0] geoffrey[0] rush[0] is[0] an[0] obsessive[-2] law[0] abider[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he has no tolerance for anyone who breaks the rules , even with benign intentions . 	he has no tolerance for anyone who breaks the rules , even with benign intentions .	2	-1	 he[0] has[0] no[0] tolerance[1] for[0] anyone[0] who[0] breaks[0] the[0] rules[0] even[0] with[0] benign[1] intentions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he once served as a guard at the labor camp where valjean served , and after valjean breaks his parole , javert devotes himself to bringing him to justice . 	he once served as a guard at the labor camp where valjean served , and after valjean breaks his parole , javert devotes himself to bringing him to justice .	3	-1	 he[0] once[0] served[0] as[0] a[0] guard[0] at[0] the[0] labor[0] camp[0] where[0] valjean[0] served[0] and[0] after[0] valjean[0] breaks[0] his[0] parole[0] javert[0] devotes[2] himself[0] to[0] bringing[0] him[0] to[0] justice[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
two women also get caught up in the struggle . 	two women also get caught up in the struggle .	1	-2	 two[0] women[0] also[0] get[0] caught[0] up[0] in[0] the[0] struggle[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fantine ( uma thurman ) is an unwed mother suffocating in an unforgiving society . 	fantine ( uma thurman ) is an unwed mother suffocating in an unforgiving society .	1	-1	 fantine[0] uma[0] thurman[0] is[0] an[0] unwed[0] mother[0] suffocating[0] in[0] an[0] unforgiving[0] society[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her daughter , cosette ( mimi newman , and later , claire danes ) , is her life , yet she cannot afford to raise her . 	her daughter , cosette ( mimi newman , and later , claire danes ) , is her life , yet she cannot afford to raise her .	1	-1	 her[0] daughter[0] cosette[0] mimi[0] newman[0] and[0] later[0] claire[0] danes[0] is[0] her[0] life[0] yet[0] she[0] cannot[0] afford[0] to[0] raise[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
