what i look for in a movie is not necessarily perfection . 	Translation	Positive	Negative	EmotionRationale
sometimes a movie has such strong ideas that despite whatever flaws it may have , i will prefer it to a better-made film that is not as thought-provoking . 	sometimes a movie has such strong ideas that despite whatever flaws it may have , i will prefer it to a better-made film that is not as thought-provoking .	1	-1	 sometimes[0] a[0] movie[0] has[0] such[0] strong[0] ideas[0] that[0] despite[0] whatever[0] flaws[0] it[0] may[0] have[0] i[0] will[0] prefer[0] it[0] to[0] a[0] better[0] made[0] film[0] that[0] is[0] not[0] as[0] thought[0] provoking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the thin red line is flawed but it provokes . 	the thin red line is flawed but it provokes .	1	-1	 the[0] thin[0] red[0] line[0] is[0] flawed[0] but[0] it[0] provokes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
terence malick returns to filmmaking 20 years after days of heaven and produces this meditative look at war . 	terence malick returns to filmmaking 20 years after days of heaven and produces this meditative look at war .	2	-3	 terence[0] malick[0] returns[0] to[0] filmmaking[0] 20[0] years[0] after[0] days[0] of[0] heaven[1] and[0] produces[0] this[0] meditative[0] look[0] at[0] war[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
unlike this year's saving private ryan , which dwells on war as a necessary evil and explores the moral ambiguities thereof , the thin red line simply says war is waste . 	unlike this year's saving private ryan , which dwells on war as a necessary evil and explores the moral ambiguities thereof , the thin red line simply says war is waste .	1	-3	 unlike[0] this[0] year's[0] saving[0] private[0] ryan[0] which[0] dwells[0] on[0] war[-2] as[0] a[0] necessary[0] evil[-2] and[0] explores[0] the[0] moral[0] ambiguities[-1] thereof[0] the[0] thin[0] red[0] line[0] simply[0] says[0] war[-2] is[0] waste[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while that might seem obvious to some , only after experiencing the film do you realize how profound a waste it is . 	while that might seem obvious to some , only after experiencing the film do you realize how profound a waste it is .	1	-2	 while[0] that[0] might[0] seem[0] obvious[0] to[0] some[0] only[0] after[0] experiencing[0] the[0] film[0] do[0] you[0] realize[0] how[0] profound[0] a[0] waste[-1] it[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
saving private ryan has an underlying and practical acceptance that war will occur and it has a great cost ; the thin red line says idealistically avoid this at all costs . 	saving private ryan has an underlying and practical acceptance that war will occur and it has a great cost ; the thin red line says idealistically avoid this at all costs .	3	-3	 saving[0] private[0] ryan[0] has[0] an[0] underlying[0] and[0] practical[0] acceptance[0] that[0] war[-2] will[0] occur[0] and[0] it[0] has[0] a[0] great[2] cost[0] the[0] thin[0] red[0] line[0] says[0] idealistically[0] avoid[-1] this[0] at[0] all[0] costs[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
one message is not necessarily more correct than the other . 	one message is not necessarily more correct than the other .	1	-1	 one[0] message[0] is[0] not[0] necessarily[0] more[0] correct[0] than[0] the[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it just depends on one's point of view . 	it just depends on one's point of view .	1	-1	 it[0] just[0] depends[0] on[0] one's[0] point[0] of[0] view[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in malick's film , war is set in a tropical paradise , and john toll's cinematography is beyond lush . 	in malick's film , war is set in a tropical paradise , and john toll's cinematography is beyond lush .	4	-3	 in[0] malick's[0] film[0] war[-2] is[0] set[0] in[0] a[0] tropical[0] paradise[3] and[0] john[0] toll's[0] cinematography[0] is[0] beyond[0] lush[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the setting poses the question , why are we fighting in the face of such beauty ? 	the setting poses the question , why are we fighting in the face of such beauty ?	3	-3	 the[0] setting[0] poses[0] the[0] question[0] why[0] are[0] we[0] fighting[-2] in[0] the[0] face[0] of[0] such[0] beauty[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in saving private ryan , the capture of a german soldier presents the moral quandary of whether to let him go . 	in saving private ryan , the capture of a german soldier presents the moral quandary of whether to let him go .	1	-2	 in[0] saving[0] private[0] ryan[0] the[0] capture[-1] of[0] a[0] german[-1] soldier[0] presents[0] the[0] moral[0] quandary[-1] of[0] whether[0] to[0] let[0] him[0] go[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the thin red line , the japanese present the moral quandary of war in the first place . 	in the thin red line , the japanese present the moral quandary of war in the first place .	1	-3	 in[0] the[0] thin[0] red[0] line[0] the[0] japanese[0] present[0] the[0] moral[0] quandary[-1] of[0] war[-2] in[0] the[0] first[0] place[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they are just like the americans -- frightened and angry , grieving and praying . 	they are just like the americans - frightened and angry , grieving and praying .	1	-5	 they[0] are[0] just[0] like[1][-1 LastWordBoosterStrength] the[0] americans[0] frightened[-3] and[0] angry[-3] grieving[-3][-1 MultiplePositiveWords] and[0] praying[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
all that separates them is war . 	all that separates them is war .	1	-3	 all[0] that[0] separates[0] them[0] is[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the flaw in the thin red line comes in the voice-overs . 	the flaw in the thin red line comes in the voice-overs .	1	-2	 the[0] flaw[-1] in[0] the[0] thin[0] red[0] line[0] comes[0] in[0] the[0] voice[0] overs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unbelievable as coming from the characters and sometimes pretentious , sometimes corny , the voice-overs tell us what the images before us already do and are completely unnecessary . 	unbelievable as coming from the characters and sometimes pretentious , sometimes corny , the voice-overs tell us what the images before us already do and are completely unnecessary .	1	-3	 unbelievable[-1] as[0] coming[0] from[0] the[0] characters[0] and[0] sometimes[0] pretentious[-1][--1 LastWordBoosterStrength] sometimes[0] corny[0] the[0] voice[0] overs[0] tell[0] us[0] what[0] the[0] images[0] before[0] us[0] already[0] do[0] and[0] are[0] completely[0] unnecessary[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dispensing with them , malick could have achieved a tarkovskian grandeur . 	dispensing with them , malick could have achieved a tarkovskian grandeur .	2	-1	 dispensing[0] with[0] them[0] malick[0] could[0] have[0] achieved[0] a[0] tarkovskian[0] grandeur[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
