matthew broderick and high school comedy . 	Translation	Positive	Negative	EmotionRationale
the two terms have been practically inseparable since ferris buehler took the day off in 1986 . 	the two terms have been practically inseparable since ferris buehler took the day off in 1986 .	1	-1	 the[0] two[0] terms[0] have[0] been[0] practically[0] inseparable[0] since[0] ferris[0] buehler[0] took[0] the[0] day[0] off[0] in[0] 1986[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now it is 13 years later , and broderick has another high school comedy , election , to show the world . 	now it is 13 years later , and broderick has another high school comedy , election , to show the world .	1	-1	 now[0] it[0] is[0] 13[0] years[0] later[0] and[0] broderick[0] has[0] another[0] high[0] school[0] comedy[0] election[0] to[0] show[0] the[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ferris buehler's day off showed an educational setting that was similar to a pile of marshmallows . 	ferris buehler's day off showed an educational setting that was similar to a pile of marshmallows .	1	-1	 ferris[0] buehler's[0] day[0] off[0] showed[0] an[0] educational[0] setting[0] that[0] was[0] similar[0] to[0] a[0] pile[0] of[0] marshmallows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was light , fluffy , tasty , and sparkling clean . 	it was light , fluffy , tasty , and sparkling clean .	1	-1	 it[0] was[0] light[0] fluffy[0] tasty[0] and[0] sparkling[0] clean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but election is far different . 	but election is far different .	1	-1	 but[0] election[0] is[0] far[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this production is a dark , and frighteningly realistic one that does so much more than entertain for the 103 minutes it occupies ; it shocks as well . 	this production is a dark , and frighteningly realistic one that does so much more than entertain for the 103 minutes it occupies ; it shocks as well .	1	-4	 this[0] production[0] is[0] a[0] dark[0] and[0] frighteningly[-3] realistic[0] one[0] that[0] does[0] so[0] much[0] more[0] than[0] entertain[0] for[0] the[0] 103[0] minutes[0] it[0] occupies[0] it[0] shocks[-2] as[0] well[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
jim mcallister ( matthew broderick ) is the type of teacher that makes american high schools proud . 	jim mcallister ( matthew broderick ) is the type of teacher that makes american high schools proud .	2	-1	 jim[0] mcallister[0] matthew[0] broderick[0] is[0] the[0] type[0] of[0] teacher[0] that[0] makes[0] american[0] high[0] schools[0] proud[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is a kind , caring , younger man who has built his life around carver high school . 	he is a kind , caring , younger man who has built his life around carver high school .	3	-1	 he[0] is[0] a[0] kind[1] caring[2] younger[0] man[0] who[0] has[0] built[0] his[0] life[0] around[0] carver[0] high[0] school[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in turn , carver high school has provided a home for him . 	in turn , carver high school has provided a home for him .	1	-1	 in[0] turn[0] carver[0] high[0] school[0] has[0] provided[0] a[0] home[0] for[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jim has won teacher of the year no less than three times in his 12 year span , and is a well respected social studies teacher among the student body . 	jim has won teacher of the year no less than three times in his 12 year span , and is a well respected social studies teacher among the student body .	3	-1	 jim[0] has[0] won[0] teacher[0] of[0] the[0] year[0] no[0] less[0] than[0] three[0] times[0] in[0] his[0] 12[0] year[0] span[0] and[0] is[0] a[0] well[0] respected[2] social[0] studies[0] teacher[0] among[0] the[0] student[0] body[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
tracy flick ( reese witherspoon ) is an intelligent , outgoing , and , to quote the film , " super nice " young girl . 	tracy flick ( reese witherspoon ) is an intelligent , outgoing , and , to quote the film , " super nice " young girl .	3	-1	 tracy[0] flick[0] reese[0] witherspoon[0] is[0] an[0] intelligent[1] outgoing[0] and[0] to[0] quote[0] the[0] film[0] super[2] nice[1] young[0] girl[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she is involved in numerous extracurricular activities , always has her hand up first in class , and is extremely popular among most of the student body . 	she is involved in numerous extracurricular activities , always has her hand up first in class , and is extremely popular among most of the student body .	1	-1	 she[0] is[0] involved[0] in[0] numerous[0] extracurricular[0] activities[0] always[0] has[0] her[0] hand[0] up[0] first[0] in[0] class[0] and[0] is[0] extremely[0] popular[0] among[0] most[0] of[0] the[0] student[0] body[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , it is a natural progression when she decides to run for school president . 	so , it is a natural progression when she decides to run for school president .	1	-1	 so[0] it[0] is[0] a[0] natural[0] progression[0] when[0] she[0] decides[0] to[0] run[0] for[0] school[0] president[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the metzler family is an extremely wealthy one . 	the metzler family is an extremely wealthy one .	1	-1	 the[0] metzler[0] family[0] is[0] an[0] extremely[0] wealthy[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the father , dick ( holmes osborne ) , owns a cement company . 	the father , dick ( holmes osborne ) , owns a cement company .	1	-1	 the[0] father[0] dick[0] holmes[0] osborne[0] owns[0] a[0] cement[0] company[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mother , jo ( jeanine jackson ) , is an ideal housewife . 	the mother , jo ( jeanine jackson ) , is an ideal housewife .	1	-1	 the[0] mother[0] jo[0] jeanine[0] jackson[0] is[0] an[0] ideal[0] housewife[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the two children , paul ( chris klein ) and tammy ( jessica campbell ) , are both students at carver high school . 	and the two children , paul ( chris klein ) and tammy ( jessica campbell ) , are both students at carver high school .	1	-1	 and[0] the[0] two[0] children[0] paul[0] chris[0] klein[0] and[0] tammy[0] jessica[0] campbell[0] are[0] both[0] students[0] at[0] carver[0] high[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
paul was the quarterback of the football team before he injured himself , and is definitely a candidate for most popular person in school . 	paul was the quarterback of the football team before he injured himself , and is definitely a candidate for most popular person in school .	1	-1	 paul[0] was[0] the[0] quarterback[0] of[0] the[0] football[0] team[0] before[0] he[0] injured[0] himself[0] and[0] is[0] definitely[0] a[0] candidate[0] for[0] most[0] popular[0] person[0] in[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tammy is a lesbian who , to say the least , is going through a period of self discovery . 	tammy is a lesbian who , to say the least , is going through a period of self discovery .	1	-1	 tammy[0] is[0] a[0] lesbian[0] who[0] to[0] say[0] the[0] least[0] is[0] going[0] through[0] a[0] period[0] of[0] self[0] discovery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for reasons of revenge , hatred , and sexual envy , jim convinces paul to run against tracy for school president . 	for reasons of revenge , hatred , and sexual envy , jim convinces paul to run against tracy for school president .	1	-4	 for[0] reasons[0] of[0] revenge[-1] hatred[-3] and[0] sexual[0] envy[-2] jim[0] convinces[0] paul[0] to[0] run[0] against[-1] tracy[0] for[0] school[0] president[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he claims that in a democracy you need choices , and having tracy run unopposed creates a dictatorship of sorts . 	he claims that in a democracy you need choices , and having tracy run unopposed creates a dictatorship of sorts .	1	-1	 he[0] claims[0] that[0] in[0] a[0] democracy[0] you[0] need[0] choices[0] and[0] having[0] tracy[0] run[0] unopposed[0] creates[0] a[0] dictatorship[0] of[0] sorts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so paul agrees and the race is on . 	so paul agrees and the race is on .	1	-1	 so[0] paul[0] agrees[0] and[0] the[0] race[0] is[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but then , in an effort to spite the two candidates , tammy announces that she is running as well . 	but then , in an effort to spite the two candidates , tammy announces that she is running as well .	1	-4	 but[0] then[0] in[0] an[0] effort[0] to[0] spite[-3] the[0] two[0] candidates[0] tammy[0] announces[0] that[0] she[0] is[0] running[0] as[0] well[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
her campaign is straightforward : people only run to put it on their college applications , then they do nothing . 	her campaign is straightforward : people only run to put it on their college applications , then they do nothing .	1	-1	 her[0] campaign[0] is[0] straightforward[0] people[0] only[0] run[0] to[0] put[0] it[0] on[0] their[0] college[0] applications[0] then[0] they[0] do[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , " i don't even want to go to college , " she says . 	well , " i don't even want to go to college , " she says .	1	-1	 well[0] i[0] don't[0] even[0] want[0] to[0] go[0] to[0] college[0] she[0] says[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in election , there are no " good guys " . 	in election , there are no " good guys " .	2	-1	 in[0] election[0] there[0] are[0] no[0] good[1] guys[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
almost everyone has their own agenda . 	almost everyone has their own agenda .	1	-1	 almost[0] everyone[0] has[0] their[0] own[0] agenda[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no matter how deeply hidden , the production digs it up and exploits it for the audience . 	no matter how deeply hidden , the production digs it up and exploits it for the audience .	1	-1	 no[0] matter[0] how[0] deeply[0] hidden[0] the[0] production[0] digs[0] it[0] up[0] and[0] exploits[0] it[0] for[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
