with his last two films - shine and snow falling on cedars - australian director scott hicks has proven his cinematic flashbacks to be some of the best out there , and his latest , hearts in atlantis , is no different . 	Translation	Positive	Negative	EmotionRationale
its structure - beginning and ending in present day with one long flashback in the middle - is similar to the green mile , which is a bit ironic considering both were based on stephen king books . 	its structure - beginning and ending in present day with one long flashback in the middle - is similar to the green mile , which is a bit ironic considering both were based on stephen king books .	1	-2	 its[0] structure[0] beginning[0] and[0] ending[0] in[0] present[0] day[0] with[0] one[0] long[0] flashback[0] in[0] the[0] middle[0] is[0] similar[0] to[0] the[0] green[0] mile[0] which[0] is[0] a[0] bit[0] ironic[-1] considering[0] both[0] were[0] based[0] on[0] stephen[0] king[0] books[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the parallels don't end there , either . 	the parallels don't end there , either .	1	-1	 the[0] parallels[0] don't[0] end[0] there[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
atlantis was adapted by william goldman , who had previously penned the big-screen version of misery and is in the process of working on the script for king's dreamcatcher . 	atlantis was adapted by william goldman , who had previously penned the big-screen version of misery and is in the process of working on the script for king's dreamcatcher .	1	-3	 atlantis[0] was[0] adapted[0] by[0] william[0] goldman[0] who[0] had[0] previously[0] penned[0] the[0] big[0] screen[0] version[0] of[0] misery[-2] and[0] is[0] in[0] the[0] process[0] of[0] working[0] on[0] the[0] script[0] for[0] king's[0] dreamcatcher[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even the film's content is a bit reminiscent of mile . 	even the film's content is a bit reminiscent of mile .	1	-1	 even[0] the[0] film's[0] content[0] is[0] a[0] bit[0] reminiscent[0] of[0] mile[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , it's the perfect blend of the feel-good '60s nostalgia of stand by me ( also by king ) and mystical power hokum of mile . 	in fact , it's the perfect blend of the feel-good '60s nostalgia of stand by me ( also by king ) and mystical power hokum of mile .	2	-1	 in[0] fact[0] it's[0] the[0] perfect[1] blend[0] of[0] the[0] feel[0] good[1] '60s[0] nostalgia[0] of[0] stand[0] by[0] me[0] also[0] by[0] king[0] and[0] mystical[0] power[0] hokum[0] of[0] mile[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
king's atlantis is a book comprised of five related short stories , but the main focus here is on the first ( and longest ) tale , called low men in yellow coats ( the film's title comes from the second chapter ) . 	king's atlantis is a book comprised of five related short stories , but the main focus here is on the first ( and longest ) tale , called low men in yellow coats ( the film's title comes from the second chapter ) .	1	-2	 king's[0] atlantis[0] is[0] a[0] book[0] comprised[0] of[0] five[0] related[0] short[0] stories[0] but[0] the[0] main[0] focus[0] here[0] is[0] on[0] the[0] first[0] and[0] longest[0] tale[0] called[0] low[-1] men[0] in[0] yellow[0] coats[0] the[0] film's[0] title[0] comes[0] from[0] the[0] second[0] chapter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's set in 1960 harwich , connecticut , where 11-year-old bobby garfield ( anton yelchin ) lives in a boarding house run by his cold , self-centered mother elizabeth ( hope davis , joe gould's secret ) , who seems to care more about her wardrobe than her son . 	it's set in 1960 harwich , connecticut , where 11-year-old bobby garfield ( anton yelchin ) lives in a boarding house run by his cold , self-centered mother elizabeth ( hope davis , joe gould's secret ) , who seems to care more about her wardrobe than her son .	3	-2	 it's[0] set[0] in[0] 1960[0] harwich[0] connecticut[0] where[0] 11[0] year[0] old[0] bobby[0] garfield[0] anton[0] yelchin[0] lives[0] in[0] a[0] boarding[0] house[0] run[0] by[0] his[0] cold[-1] self[0] centered[0] mother[0] elizabeth[0] hope[2] davis[0] joe[0] gould's[0] secret[0] who[0] seems[0] to[0] care[1] more[0] about[0] her[0] wardrobe[0] than[0] her[0] son[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
bobby spends his time with his two closest friends , john sullivan ( will rothhaar ) and tomboy carol gerber ( mika boorem ) , who become something like the kevin , paul and winnie of harwich . 	bobby spends his time with his two closest friends , john sullivan ( will rothar ) and tomboy carol gerber ( mika boorem ) , who become something like the kevin , paul and winnie of harwich .	2	-1	 bobby[0] spends[0] his[0] time[0] with[0] his[0] two[0] closest[0] friends[1] john[0] sullivan[0] will[0] rothhaar/rothar[0] and[0] tomboy[0] carol[0] gerber[0] mika[0] boorem[0] who[0] become[0] something[0] like[1] the[0] kevin[0] paul[0] and[0] winnie[0] of[0] harwich[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when a new tenant moves into the vacant room , the fatherless bobby finds a male role model in ted brautigan ( anthony hopkins , hannibal ) , a mysterious stranger who is vague enough about his past to make bobby's mom suspicious enough to at least momentarily turn her head away from the mirror . 	when a new tenant moves into the vacant room , the fatherless bobby finds a male role model in ted brautigan ( anthony hopkins , hannibal ) , a mysterious stranger who is vague enough about his past to make bobby's mom suspicious enough to at least momentarily turn her head away from the mirror .	1	-2	 when[0] a[0] new[0] tenant[0] moves[0] into[0] the[0] vacant[0] room[0] the[0] fatherless[0] bobby[0] finds[0] a[0] male[0] role[0] model[0] in[0] ted[0] brautigan[0] anthony[0] hopkins[0] hannibal[0] a[0] mysterious[0] stranger[0] who[0] is[0] vague[-1] enough[0] about[0] his[0] past[0] to[0] make[0] bobby's[0] mom[0] suspicious[-1] enough[0] to[0] at[0] least[0] momentarily[0] turn[0] her[0] head[0] away[0] from[0] the[0] mirror[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ted teaches his young neighbor about the wonders of literature ( after his cheapskate mother gives him a library card for his birthday ) , dispenses prophetic words of wisdom and even pays bobby one dollar a week to read him the local newspaper and keep his eyes peeled for the low men , a group of people chasing ted to exploit his special powers . 	ted teaches his young neighbor about the wonders of literature ( after his cheapskate mother gives him a library card for his birthday ) , dispenses prophetic words of wisdom and even pays bobby one dollar a week to read him the local newspaper and keep his eyes peeled for the low men , a group of people chasing ted to exploit his special powers .	2	-2	 ted[0] teaches[0] his[0] young[0] neighbor[0] about[0] the[0] wonders[0] of[0] literature[0] after[0] his[0] cheapskate[-1] mother[0] gives[0] him[0] a[0] library[0] card[0] for[0] his[0] birthday[0] dispenses[-1] prophetic[0] words[0] of[0] wisdom[0] and[0] even[0] pays[0] bobby[0] one[0] dollar[0] a[0] week[0] to[0] read[0] him[0] the[0] local[0] newspaper[0] and[0] keep[0] his[0] eyes[0] peeled[0] for[0] the[0] low[-1] men[0] a[0] group[0] of[0] people[0] chasing[0] ted[0] to[0] exploit[0] his[0] special[1] powers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i won't go into what these powers are , but they're considerably toned down from the book ( and don't involve black stuff flying out of ted's mouth , a la mile ) . 	i won't go into what these powers are , but they're considerably toned down from the book ( and don't involve black stuff flying out of ted's mouth , a la mile ) .	1	-1	 i[0] won't[0] go[0] into[0] what[0] these[0] powers[0] are[0] but[0] they're[0] considerably[0] toned[0] down[0] from[0] the[0] book[0] and[0] don't[0] involve[0] black[0] stuff[0] flying[0] out[0] of[0] ted's[0] mouth[0] a[0] la[0] mile[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
