robert benton has assembled a stellar , mature cast for his latest feature , twilight , a film noir mystery set amid the fading stars of hollywood . 	Translation	Positive	Negative	EmotionRationale
paul newman stars as retired detective harry ross . 	paul newman stars as retired detective harry ross .	1	-2	 paul[0] newman[0] stars[0] as[0] retired[-1] detective[0] harry[0] ross[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
harry has spent the last couple of years doing odd jobs for jack and catherine ames ( gene hackman and susan sarandon ) , a pair of married actors who have fallen from the limelight . 	harry has spent the last couple of years doing odd jobs for jack and catherine ames ( gene hackman and susan sarandon ) , a pair of married actors who have fallen from the limelight .	1	-1	 harry[0] has[0] spent[0] the[0] last[0] couple[0] of[0] years[0] doing[0] odd[0] jobs[0] for[0] jack[0] and[0] catherine[0] ames[0] gene[0] hackman[0] and[0] susan[0] sarandon[0] a[0] pair[0] of[0] married[0] actors[0] who[0] have[0] fallen[0] from[0] the[0] limelight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when jack sends him on a routine delivery job , however , the old instincts kick in . 	when jack sends him on a routine delivery job , however , the old instincts kick in .	1	-2	 when[0] jack[0] sends[0] him[0] on[0] a[0] routine[0] delivery[0] job[0] however[0] the[0] old[0] instincts[0] kick[-1] in[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
soon , harry is wading through a mystery where friendships and lives are on the line , and he no longer knows who to trust . 	soon , harry is wading through a mystery where friendships and lives are on the line , and he no longer knows who to trust .	2	-1	 soon[0] harry[0] is[0] wading[0] through[0] a[0] mystery[0] where[0] friendships[1] and[0] lives[0] are[0] on[0] the[0] line[0] and[0] he[0] no[0] longer[0] knows[0] who[0] to[0] trust[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are plenty of familiar faces throughout twilight , in addition to newman , hackman and sarandon . 	there are plenty of familiar faces throughout twilight , in addition to newman , hackman and sarandon .	1	-1	 there[0] are[0] plenty[0] of[0] familiar[0] faces[0] throughout[0] twilight[0] in[0] addition[0] to[0] newman[0] hackman[0] and[0] sarandon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
james garner plays raymond hope , a former cop and one of harry's best friends . 	james garner plays raymond hope , a former cop and one of harry's best friends .	3	-1	 james[0] garner[0] plays[1] raymond[0] hope[2] a[0] former[0] cop[0] and[0] one[0] of[0] harry's[0] best[1] friends[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
stockard channing plays verna , harry's former partner , and possibly a former love interest . 	stockard channing plays verna , harry's former partner , and possibly a former love interest .	3	-1	 stockard[0] channing[0] plays[1] verna[0] harry's[0] former[0] partner[0] and[0] possibly[0] a[0] former[0] love[2] interest[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
reese witherspoon is mel , the distrustful daughter of the ames' , and liev schrieber is her scuzzy boyfriend . 	reese witherspoon is mel , the distrustful daughter of the ames' , and liev schrieber is her scuzy boyfriend .	1	-2	 reese[0] witherspoon[0] is[0] mel[0] the[0] distrustful[-1] daughter[0] of[0] the[0] ames'[0] and[0] liev[0] schrieber[0] is[0] her[0] scuzzy/scuzy[0] boyfriend[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
giancarlo esposito appears as harry's bumbling detective protigi , and john spencer is a suspicious police captain . 	giancarlo esposito appears as harry's bumbling detective protigi , and john spencer is a suspicious police captain .	1	-2	 giancarlo[0] esposito[0] appears[0] as[0] harry's[0] bumbling[0] detective[0] protigi[0] and[0] john[0] spencer[0] is[0] a[0] suspicious[-1] police[0] captain[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with a cast like that , it's almost worth watching twilight just to stargaze . 	with a cast like that , it's almost worth watching twilight just to stargaze .	2	-1	 with[0] a[0] cast[0] like[1] that[0] it's[0] almost[0] worth[0] watching[0] twilight[0] just[0] to[0] stargaze[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
