driving miss daisy takes its sweet time to tell a small , intimate story . 	Translation	Positive	Negative	EmotionRationale
it's a quiet film , a slow film , a deliberate film . 	it's a quiet film , a slow film , a deliberate film .	1	-1	 it's[0] a[0] quiet[0] film[0] a[0] slow[0] film[0] a[0] deliberate[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but if you're patient with it , the movie offers innumerable rewards , such as a pair of self-assured performances by morgan freeman and jessica tandy . 	but if you're patient with it , the movie offers innumerable rewards , such as a pair of self-assured performances by morgan freeman and jessica tandy .	2	-1	 but[0] if[0] you're[0] patient[0] with[0] it[0] the[0] movie[0] offers[0] innumerable[0] rewards[1] such[0] as[0] a[0] pair[0] of[0] self[0] assured[0] performances[0] by[0] morgan[0] freeman[0] and[0] jessica[0] tandy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
driving miss daisy is based on alfred uhry's pulitzer-prize winning play of the same name , which first opened in new york four years ago . 	driving miss daisy is based on alfred uhry's pulitzer-prize winning play of the same name , which first opened in new york four years ago .	3	-2	 driving[0] miss[-1] daisy[0] is[0] based[0] on[0] alfred[0] uhry's[0] pulitzer[0] prize[2] winning[1] play[0] of[0] the[0] same[0] name[0] which[0] first[0] opened[0] in[0] new[0] york[0] four[0] years[0] ago[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the play has garnered international acclaim with productions in chicago , los angeles , london , vienna , norway , and the soviet union . 	the play has garnered international acclaim with productions in chicago , los angeles , london , vienna , norway , and the soviet union .	1	-1	 the[0] play[0] has[0] garnered[0] international[0] acclaim[0] with[0] productions[0] in[0] chicago[0] los[0] angeles[0] london[0] vienna[0] norway[0] and[0] the[0] soviet[0] union[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
uhry himself wrote the screenplay for the film adaptation of driving miss daisy ; he also penned the wonderful sleeper , mystic pizza . 	uhry himself wrote the screenplay for the film adaptation of driving miss daisy ; he also penned the wonderful sleeper , mystic piza .	3	-2	 uhry[0] himself[0] wrote[0] the[0] screenplay[0] for[0] the[0] film[0] adaptation[0] of[0] driving[0] miss[-1] daisy[0] he[0] also[0] penned[0] the[0] wonderful[2] sleeper[0] mystic[0] pizza/piza[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film , like the play , is set in atlanta , georgia , and it revolves around two people in their twilight years : a cranky , 70-something jewish widow who feels guilty about her wealth and a 60-something black man who becomes her chauffeur . 	the film , like the play , is set in atlanta , georgia , and it revolves around two people in their twilight years : a cranky , 70-something jewish widow who feels guilty about her wealth and a 60-something black man who becomes her chauffeur .	2	-4	 the[0] film[0] like[1] the[0] play[0] is[0] set[0] in[0] atlanta[0] georgia[0] and[0] it[0] revolves[0] around[0] two[0] people[0] in[0] their[0] twilight[0] years[0] a[0] cranky[-1] 70[0] something[0] jewish[0] widow[0] who[0] feels[0] guilty[-3] about[0] her[0] wealth[0] and[0] a[0] 60[0] something[0] black[0] man[0] who[0] becomes[0] her[0] chauffeur[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the movie relies on character , rather than plot , to propel the action . 	the movie relies on character , rather than plot , to propel the action .	1	-1	 the[0] movie[0] relies[0] on[0] character[0] rather[0] than[0] plot[0] to[0] propel[0] the[0] action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , the movie has no discernible plot in the traditional sense ; it doesn't present a linear story in which all the scenes flow together . 	in fact , the movie has no discernible plot in the traditional sense ; it doesn't present a linear story in which all the scenes flow together .	1	-1	 in[0] fact[0] the[0] movie[0] has[0] no[0] discernible[0] plot[0] in[0] the[0] traditional[0] sense[0] it[0] doesn't[0] present[0] a[0] linear[0] story[0] in[0] which[0] all[0] the[0] scenes[0] flow[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rather , driving miss daisy is made up of the routine activities of everyday life : shopping , listening to the radio , visiting the cemetery , eating fried chicken , and so on . 	rather , driving miss daisy is made up of the routine activities of everyday life : shopping , listening to the radio , visiting the cemetery , eating fried chicken , and so on .	2	-2	 rather[0] driving[0] miss[-1] daisy[0] is[0] made[0] up[0] of[0] the[0] routine[0] activities[0] of[0] everyday[0] life[0] shopping[0] listening[0] to[0] the[0] radio[0] visiting[0] the[0] cemetery[0] eating[0] fried[0] chicken[0] and[0] so[0] on[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
the film also incorporates into the story line actual events in atlanta's history , including the 1958 bombing of the temple ( the city's oldest jewish congregation ) and a 1965 ceremony honoring the reverend dr . martin luther king , jr . 	the film also incorporates into the story line actual events in atlanta's history , including the 1958 bombing of the temple ( the city's oldest jewish congregation ) and a 1965 ceremony honoring the reverend dr .<br> martin luther king , jr .	1	-2	 the[0] film[0] also[0] incorporates[0] into[0] the[0] story[0] line[0] actual[0] events[0] in[0] atlanta's[0] history[0] including[0] the[0] 1958[0] bombing[-1] of[0] the[0] temple[0] the[0] city's[0] oldest[0] jewish[0] congregation[0] and[0] a[0] 1965[0] ceremony[0] honoring[0] the[0] reverend[0] dr[0] [[Sentence=-2,1=word max, 1-5]] martin[0] luther[0] king[0] jr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story begins in 1948 with daisy ( tandy ) crashing and wrecking her packard as she pulls out of her driveway . 	the story begins in 1948 with daisy ( tandy ) crashing and wrecking her packard as she pulls out of her driveway .	1	-2	 the[0] story[0] begins[0] in[0] 1948[0] with[0] daisy[0] tandy[0] crashing[0] and[0] wrecking[-1] her[0] packard[0] as[0] she[0] pulls[0] out[0] of[0] her[0] driveway[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
