i want to correct what i wrote in a former retrospective of david lean's war picture . 	Translation	Positive	Negative	EmotionRationale
i still think that it doesn't deserve being the number 13 in the american film institute's list of the 100 greatest american movies . 	i still think that it doesn't deserve being the number 13 in the american film institute's list of the 100 greatest american movies .	3	-1	 i[0] still[0] think[0] that[0] it[0] doesn't[0] deserve[0] being[0] the[0] number[0] 13[0] in[0] the[0] american[0] film[0] institute's[0] list[0] of[0] the[0] 100[0] greatest[2] american[0] movies[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and i think that lumet's " 12 angry men " , wilder's " witness for the prosecution " and kubrick's " paths of glory " would have been better choices for the best picture oscar in 1958 . 	and i think that lumet's " 12 angry men " , wilder's " witness for the prosecution " and kubrick's " paths of glory " would have been better choices for the best picture oscar in 1958 .	2	-4	 and[0] i[0] think[0] that[0] lumet's[0] 12[0] angry[-3] men[0] wilder's[0] witness[0] for[0] the[0] prosecution[-1] and[0] kubrick's[0] paths[0] of[0] glory[1] would[0] have[0] been[0] better[0] choices[0] for[0] the[0] best[1] picture[0] oscar[0] in[0] 1958[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but i can't deny the importance of " the bridge on the river kwai " - cinematically and in its contents . 	but i can't deny the importance of " the bridge on the river kwai " - cinematically and in its contents .	2	-1	 but[0] i[0] can't[0] deny[-1][NegatedDueToPreviousWord] the[0] importance[0] of[0] the[0] bridge[0] on[0] the[0] river[0] kwai[0] cinematically[0] and[0] in[0] its[0] contents[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film is set in burma in 1943 . 	the film is set in burma in 1943 .	1	-1	 the[0] film[0] is[0] set[0] in[0] burma[0] in[0] 1943[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a bataillon of british soldiers in japanese war captivity is forced by the japanese to build a strategically momentous railway bridge over the river kwai . 	a bataillon of british soldiers in japanese war captivity is forced by the japanese to build a strategically momentous railway bridge over the river kwai .	3	-3	 a[0] bataillon[0] of[0] british[0] soldiers[0] in[0] japanese[0] war[-2] captivity[0] is[0] forced[0] by[0] the[0] japanese[0] to[0] build[0] a[0] strategically[0] momentous[2] railway[0] bridge[0] over[0] the[0] river[0] kwai[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but the british commanding officer , colonel nicholson ( alec guinness ) , insists - corresponding to the geneva conventions - that his officers needn't work as simple workmen . 	but the british commanding officer , colonel nicholson ( alec guinness ) , insists - corresponding to the geneva conventions - that his officers needn't work as simple workmen .	1	-1	 but[0] the[0] british[0] commanding[0] officer[0] colonel[0] nicholson[0] alec[0] guinness[0] insists[0] corresponding[0] to[0] the[0] geneva[0] conventions[0] that[0] his[0] officers[0] needn't[0] work[0] as[0] simple[0] workmen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
struggling toughly , col . nicholson forces the japanese commandant , col . saito ( sessue hayakawa ) , to give way in this respect . 	struggling toughly , col .<br> nicholson forces the japanese commandant , col .<br> saito ( sessue hayakawa ) , to give way in this respect .	3	-2	 struggling[-1] toughly[-1] col[0] [[Sentence=-2,1=word max, 1-5]] nicholson[0] forces[0] the[0] japanese[0] commandant[0] col[0] [[Sentence=-1,1=word max, 1-5]] saito[0] sessue[0] hayakawa[0] to[0] give[0] way[0] in[0] this[0] respect[2] [[Sentence=-1,3=word max, 1-5]][[[3,-2 max of sentences]]]
afterwards col . nicholson assiduously commits himself for the building of the bridge . 	afterwards col .<br> nicholson assiduously commits himself for the building of the bridge .	1	-1	 afterwards[0] col[0] [[Sentence=-1,1=word max, 1-5]] nicholson[0] assiduously[0] commits[0] himself[0] for[0] the[0] building[0] of[0] the[0] bridge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he considers it an opportunity to raise his men's morale , and he wants to prove superior british capabilities to the japanese . 	he considers it an opportunity to raise his men's morale , and he wants to prove superior british capabilities to the japanese .	3	-1	 he[0] considers[0] it[0] an[0] opportunity[0] to[0] raise[0] his[0] men's[0] morale[0] and[0] he[0] wants[0] to[0] prove[0] superior[2] british[0] capabilities[0] to[0] the[0] japanese[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but the british high command sends a few soldiers who shall destroy the bridge , among them the american shears ( william holden ) - an escapee from the japanese prison camp - and the british major warden ( jack hawkins ) . . . 	but the british high command sends a few soldiers who shall destroy the bridge , among them the american shears ( william holden ) - an escapee from the japanese prison camp - and the british major warden ( jack hawkins ) .<br> .<br> .	1	-3	 but[0] the[0] british[0] high[0] command[0] sends[0] a[0] few[0] soldiers[0] who[0] shall[0] destroy[-2] the[0] bridge[0] among[0] them[0] the[0] american[0] shears[0] william[0] holden[0] an[0] escapee[0] from[0] the[0] japanese[0] prison[-1] camp[0] and[0] the[0] british[0] major[0] warden[0] jack[0] hawkins[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
