titantic , writer and director james cameron's much anticipated and sometimes ridiculed $200 , 000 , 000 epic , arrives shortly into the theaters so the question naturally arises , whether the film is worth it ? 	Translation	Positive	Negative	EmotionRationale
as a business proposition , it seems hard to see how it can ever break even , but as a movie it is nothing short of wonderful . 	as a business proposition , it seems hard to see how it can ever break even , but as a movie it is nothing short of wonderful .	3	-1	 as[0] a[0] business[0] proposition[0] it[0] seems[0] hard[0] to[0] see[0] how[0] it[0] can[0] ever[0] break[0] even[0] but[0] as[0] a[0] movie[0] it[0] is[0] nothing[0] short[0] of[0] wonderful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you've already neatly categorized it as yet another disaster movie a la volcano or the poseidon adventure , think again . 	if you've already neatly categorized it as yet another disaster movie a la volcano or the poseidon adventure , think again .	1	-2	 if[0] you've[0] already[0] neatly[0] categorized[0] it[0] as[0] yet[0] another[0] disaster[-1] movie[0] a[0] la[0] volcano[0] or[0] the[0] poseidon[0] adventure[0] think[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie is both a great love story told with the disaster as a backdrop and a portrayal of one of the world's most memorable disasters made real and personal by seeing it through the eyes of two young lovers . 	the movie is both a great love story told with the disaster as a backdrop and a portrayal of one of the world's most memorable disasters made real and personal by seeing it through the eyes of two young lovers .	4	-2	 the[0] movie[0] is[0] both[0] a[0] great[2] love[2][+1 MultiplePositiveWords] story[0] told[0] with[0] the[0] disaster[-1] as[0] a[0] backdrop[0] and[0] a[0] portrayal[0] of[0] one[0] of[0] the[0] world's[0] most[0] memorable[0] disasters[-1] made[0] real[0] and[0] personal[0] by[0] seeing[0] it[0] through[0] the[0] eyes[0] of[0] two[0] young[0] lovers[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in either case , it is filmmaking at its best . 	in either case , it is filmmaking at its best .	2	-1	 in[0] either[0] case[0] it[0] is[0] filmmaking[0] at[0] its[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when we entered the press screening , my wife asked the publicity rep if there would be an intermission since the film runs three and a quarter hours long . 	when we entered the press screening , my wife asked the publicity rep if there would be an intermission since the film runs three and a quarter hours long .	1	-1	 when[0] we[0] entered[0] the[0] press[0] screening[0] my[0] wife[0] asked[0] the[0] publicity[0] rep[0] if[0] there[0] would[0] be[0] an[0] intermission[0] since[0] the[0] film[0] runs[0] three[0] and[0] a[0] quarter[0] hours[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he said no but that the time would go by so fast she'd never notice the length . 	he said no but that the time would go by so fast she'd never notice the length .	1	-1	 he[0] said[0] no[0] but[0] that[0] the[0] time[0] would[0] go[0] by[0] so[0] fast[0] she'd[0] never[0] notice[0] the[0] length[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
amazingly , he was right . 	amazingly , he was right .	3	-1	 amazingly[2] he[0] was[0] right[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
titanic is one of the few long films that doesn't suffer because of it . 	titanic is one of the few long films that doesn't suffer because of it .	1	-4	 titanic[0] is[0] one[0] of[0] the[0] few[0] long[0] films[0] that[0] doesn't[0] suffer[-3] because[0] of[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the lush picture , filmed by russell carpenter in 70mm , opens in the present with two diving subs exploring the wreck of the titanic on the bottom of the ocean . 	the lush picture , filmed by russell carpenter in 70m , opens in the present with two diving subs exploring the wreck of the titanic on the bottom of the ocean .	2	-2	 the[0] lush[0] picture[0] filmed[0] by[0] russell[0] carpenter[0] in[0] 70mm/70m[0] opens[0] in[0] the[0] present[0] with[0] two[0] diving[1] subs[0] exploring[0] the[0] wreck[-1] of[0] the[0] titanic[0] on[0] the[0] bottom[0] of[0] the[0] ocean[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
fortune hunter brock lovett ( bill paxton ) leads the expedition looking for the world's most valuable diamond necklace that went down with the ship , known back then as " the ship of dreams . " 	fortune hunter brock lovett ( bill paxton ) leads the expedition looking for the world's most valuable diamond necklace that went down with the ship , known back then as " the ship of dreams .<br> "	2	-2	 fortune[0] hunter[-1] brock[0] lovett[0] bill[0] paxton[0] leads[0] the[0] expedition[0] looking[0] for[0] the[0] world's[0] most[0] valuable[1] diamond[0] necklace[0] that[0] went[0] down[0] with[0] the[0] ship[0] known[0] back[0] then[0] as[0] the[0] ship[0] of[0] dreams[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
