the jekyll and hyde story told from his maid's point of view is , in a word , " dark " . 	Translation	Positive	Negative	EmotionRationale
you wouldn't expect something bright and cheery based on robert louis stevenson's novel , but the film is surprisingly dreary and dismal . 	you wouldn't expect something bright and cheery based on robert louis stevenson's novel , but the film is surprisingly dreary and dismal .	1	-2	 you[0] wouldn't[0] expect[0] something[0] bright[0] and[0] cheery[0] based[0] on[0] robert[0] louis[0] stevenson's[0] novel[0] but[0] the[0] film[0] is[0] surprisingly[0] dreary[-1] and[0] dismal[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jekyll/hyde ( john malkovich ) is terminally depressed and desperate . 	jekyll/hyde ( john malkovich ) is terminally depressed and desperate .	1	-4	 jekyll/hyde[0] john[0] malkovich[0] is[0] terminally[0] depressed[-3] and[0] desperate[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
mary reilly ( julia roberts ) is a victim of monstrous child abuse and the anti-woman sentiment of the times . 	mary reilly ( julia roberts ) is a victim of monstrous child abuse and the anti-woman sentiment of the times .	1	-4	 mary[0] reilly[0] julia[0] roberts[0] is[0] a[0] victim[-2] of[0] monstrous[-2] child[0] abuse[-3] and[0] the[0] anti[0] woman[0] sentiment[0] of[0] the[0] times[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
director stephen fears' version of the london slums makes us marvel that anyone survived them . 	director stephen fears' version of the london slums makes us marvel that anyone survived them .	1	-1	 director[0] stephen[0] fears'[0] version[0] of[0] the[0] london[0] slums[0] makes[0] us[0] marvel[0] that[0] anyone[0] survived[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the lighting level is exceedingly low throughout the movie : it almost appears to be filmed in black and white . 	the lighting level is exceedingly low throughout the movie : it almost appears to be filmed in black and white .	1	-2	 the[0] lighting[0] level[0] is[0] exceedingly[0] low[-1] throughout[0] the[0] movie[0] it[0] almost[0] appears[0] to[0] be[0] filmed[0] in[0] black[0] and[0] white[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the direction and cinematography are brilliant and liquid . 	the direction and cinematography are brilliant and liquid .	2	-1	 the[0] direction[0] and[0] cinematography[0] are[0] brilliant[1] and[0] liquid[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
scenes flow into the next scene like honey oozing off a strawberry . 	scenes flow into the next scene like honey oozing off a strawberry .	2	-1	 scenes[0] flow[0] into[0] the[0] next[0] scene[0] like[1] honey[0] oozing[0] off[0] a[0] strawberry[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( except there's no red , of course . ) 	 ( except there's no red , of course .<br> )	1	-1	 except[0] there's[0] no[0] red[0] of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the look is so moody and melodramatic that you'll be shocked when you leave the theater . 	the look is so moody and melodramatic that you'll be shocked when you leave the theater .	1	-3	 the[0] look[0] is[0] so[0] moody[-2] and[0] melodramatic[-1] that[0] you'll[0] be[0] shocked[-2] when[0] you[0] leave[0] the[0] theater[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i saw it at a matinee and took quite a while to adjust to the sunny skies afterward . 	i saw it at a matinee and took quite a while to adjust to the sunny skies afterward .	2	-1	 i[0] saw[0] it[0] at[0] a[0] matinee[0] and[0] took[0] quite[0] a[0] while[0] to[0] adjust[0] to[0] the[0] sunny[1] skies[0] afterward[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
often the jekyll and hyde archetypes are viewed as splitting a whole person into components of good and evil or perhaps cerebral and emotional parts . 	often the jekyll and hyde archetypes are viewed as splitting a whole person into components of good and evil or perhaps cerebral and emotional parts .	2	-3	 often[0] the[0] jekyll[0] and[0] hyde[0] archetypes[0] are[0] viewed[0] as[0] splitting[0] a[0] whole[0] person[0] into[0] components[0] of[0] good[1] and[0] evil[-2] or[0] perhaps[0] cerebral[0] and[0] emotional[-1] parts[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
here the doctor is intellectual and perhaps good , but certainly powerless . 	here the doctor is intellectual and perhaps good , but certainly powerless .	2	-2	 here[0] the[0] doctor[0] is[0] intellectual[0] and[0] perhaps[0] good[1] but[0] certainly[0] powerless[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his alter ego is forceful and totally without conscience . 	his alter ego is forceful and totally without conscience .	1	-1	 his[0] alter[0] ego[0] is[0] forceful[0] and[0] totally[0] without[0] conscience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
two parts that make up a whole . 	two parts that make up a whole .	1	-1	 two[0] parts[0] that[0] make[0] up[0] a[0] whole[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
neither are capable of functioning without the other and once separated , disaster is inevitable . 	neither are capable of functioning without the other and once separated , disaster is inevitable .	1	-2	 neither[0] are[0] capable[0] of[0] functioning[0] without[0] the[0] other[0] and[0] once[0] separated[0] disaster[-1] is[0] inevitable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the differences between the two characters would be more effective if it were accomplished by demeanor and attitude . 	the differences between the two characters would be more effective if it were accomplished by demeanor and attitude .	2	-1	 the[0] differences[0] between[0] the[0] two[0] characters[0] would[0] be[0] more[0] effective[0] if[0] it[0] were[0] accomplished[1] by[0] demeanor[0] and[0] attitude[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when we finally see the transformation , the special effects thrust the story into the realm of science fiction , not the psychological horror that the tale demands . 	when we finally see the transformation , the special effects thrust the story into the realm of science fiction , not the psychological horror that the tale demands .	2	-4	 when[0] we[0] finally[0] see[0] the[0] transformation[0] the[0] special[1] effects[0] thrust[0] the[0] story[0] into[0] the[0] realm[0] of[0] science[0] fiction[0] not[0] the[0] psychological[0] horror[-3] that[0] the[0] tale[0] demands[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
roberts and malkovich are skillful in their roles . 	roberts and malkovich are skillful in their roles .	2	-1	 roberts[0] and[0] malkovich[0] are[0] skillful[1] in[0] their[0] roles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
both are suitably melancholy , fitting in with the rest of the film . 	both are suitably melancholy , fitting in with the rest of the film .	1	-4	 both[0] are[0] suitably[0] melancholy[-3] fitting[0] in[0] with[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the only flash of life and color comes from glenn close ( and her lips ) as the madam of a whorehouse where hyde lives , and surprisingly , jekyll apparently frequents . 	the only flash of life and color comes from glen close ( and her lips ) as the madam of a whorehouse where hyde lives , and surprisingly , jekyll apparently frequents .	1	-3	 the[0] only[0] flash[0] of[0] life[0] and[0] color[0] comes[0] from[0] glenn/glen[0] close[0] and[0] her[0] lips[0] as[0] the[0] madam[0] of[0] a[0] whorehouse[-2] where[0] hyde[0] lives[0] and[0] surprisingly[0] jekyll[0] apparently[0] frequents[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
