capsule : the director of cure brings a weird and very complex concept to the screen . 	Translation	Positive	Negative	EmotionRationale
one viewing will not be enough to understand fully the premise of pulse . 	one viewing will not be enough to understand fully the premise of pulse .	1	-1	 one[0] viewing[0] will[0] not[0] be[0] enough[0] to[0] understand[0] fully[0] the[0] premise[0] of[0] pulse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the idea is something about ghosts and the internet . 	the idea is something about ghosts and the internet .	1	-1	 the[0] idea[0] is[0] something[0] about[0] ghosts[0] and[0] the[0] internet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film has an amazing apocalyptic style . 	the film has an amazing apocalyptic style .	3	-1	 the[0] film[0] has[0] an[0] amazing[2] apocalyptic[0] style[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ,  2 ( -4 to  4 ) 	 ,  2 ( -4 to  4 )	1	-1	 2[0] -4[0] to[0] 4[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps the most disturbing ( and disturbed ? ) 	perhaps the most disturbing ( and disturbed ?<br> )	1	-2	 perhaps[0] the[0] most[0] disturbing[-1] and[0] disturbed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
filmmaker in the world is kiyoshi kurosawa . 	filmmaker in the world is kiyoshi kurosawa .	1	-1	 filmmaker[0] in[0] the[0] world[0] is[0] kiyoshi[0] kurosawa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his films all seem to have one style , bleak . 	his films all seem to have one style , bleak .	1	-2	 his[0] films[0] all[0] seem[0] to[0] have[0] one[0] style[0] bleak[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the worlds he creates are terrifying and cold . 	the worlds he creates are terrifying and cold .	1	-4	 the[0] worlds[0] he[0] creates[0] are[0] terrifying[-3] and[0] cold[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
little known in the us to date , his films deliver the kind of horror that so many of our filmmakers promise and are unable to deliver . 	little known in the us to date , his films deliver the kind of horror that so many of our filmmakers promise and are unable to deliver .	2	-4	 little[0] known[0] in[0] the[0] us[0] to[0] date[0] his[0] films[0] deliver[0] the[0] kind[1] of[0] horror[-3] that[0] so[0] many[0] of[0] our[0] filmmakers[0] promise[1] and[0] are[0] unable[0] to[0] deliver[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
most of his ideas are fresh and at the same time morbid . 	most of his ideas are fresh and at the same time morbid .	1	-1	 most[0] of[0] his[0] ideas[0] are[0] fresh[0] and[0] at[0] the[0] same[0] time[0] morbid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his 1998 film cure , with one of his niftiest ideas , is just now getting a sadly limited release in the us and hopefully enough people will see it that his name will soon be one to conjure with . 	his 1998 film cure , with one of his niftiest ideas , is just now getting a sadly limited release in the us and hopefully enough people will see it that his name will soon be one to conjure with .	1	-2	 his[0] 1998[0] film[0] cure[0] with[0] one[0] of[0] his[0] niftiest[0] ideas[0] is[0] just[0] now[0] getting[0] a[0] sadly[-1] limited[0] release[0] in[0] the[0] us[0] and[0] hopefully[0] enough[0] people[0] will[0] see[0] it[0] that[0] his[0] name[0] will[0] soon[0] be[0] one[0] to[0] conjure[0] with[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cure is probably his classic . 	cure is probably his classic .	1	-1	 cure[0] is[0] probably[0] his[0] classic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
last year he released seance , a remake of seance on a wet afternoon . 	last year he released seance , a remake of seance on a wet afternoon .	1	-1	 last[0] year[0] he[0] released[0] seance[0] a[0] remake[0] of[0] seance[0] on[0] a[0] wet[0] afternoon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that was perhaps a miscalculation inserting supernatural elements into a non-supernatural story . 	that was perhaps a miscalculation inserting supernatural elements into a non-supernatural story .	1	-1	 that[0] was[0] perhaps[0] a[0] miscalculation[0] inserting[0] supernatural[0] elements[0] into[0] a[0] non[0] supernatural[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pulse is kurosawa back on form . 	pulse is kurosawa back on form .	1	-1	 pulse[0] is[0] kurosawa[0] back[0] on[0] form[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
taguchi , a young computer expert , is late with his delivery of some important software . 	taguchi , a young computer expert , is late with his delivery of some important software .	1	-1	 taguchi[0] a[0] young[0] computer[0] expert[0] is[0] late[0] with[0] his[0] delivery[0] of[0] some[0] important[0] software[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
two co-workers go to his apartment and find it a dismal dark affair in spite of his computer equipment . 	two co-workers go to his apartment and find it a dismal dark affair in spite of his computer equipment .	1	-4	 two[0] co[0] workers[0] go[0] to[0] his[0] apartment[0] and[0] find[0] it[0] a[0] dismal[-1] dark[0] affair[0] in[0] spite[-3] of[0] his[0] computer[0] equipment[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
taguchi , acting very strangely , lets his friends look for the missing software . 	taguchi , acting very strangely , lets his friends look for the missing software .	2	-1	 taguchi[0] acting[0] very[0] strangely[0] lets[0] his[0] friends[1] look[0] for[0] the[0] missing[0] software[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meanwhile he slips behind a plastic curtain . 	meanwhile he slips behind a plastic curtain .	1	-1	 meanwhile[0] he[0] slips[0] behind[0] a[0] plastic[0] curtain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he fails to respond to calls his friends follow him behind the curtain and discover he has hanged himself . 	when he fails to respond to calls his friends follow him behind the curtain and discover he has hanged himself .	2	-3	 when[0] he[0] fails[-2] to[0] respond[0] to[0] calls[0] his[0] friends[1] follow[0] him[0] behind[0] the[0] curtain[0] and[0] discover[0] he[0] has[0] hanged[0] himself[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
