after the simple looking little spacecraft lands in a automobile wrecking yard , out steps a steel-gray , human-like creature with aquamarine eyes and clad in a muscular suit . 	Translation	Positive	Negative	EmotionRationale
spencer , the boy who observes this , having seen his fill of science fiction flicks , figures this thing must be a robot from outer space . 	spencer , the boy who observes this , having seen his fill of science fiction flicks , figures this thing must be a robot from outer space .	1	-1	 spencer[0] the[0] boy[0] who[0] observes[0] this[0] having[0] seen[0] his[0] fill[0] of[0] science[0] fiction[0] flicks[0] figures[0] this[0] thing[0] must[0] be[0] a[0] robot[0] from[0] outer[0] space[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the exception of disney and a few others , most studios view children's films as a way to ship a cheap and unimaginative product and thereby make a quick profit . 	with the exception of disney and a few others , most studios view children's films as a way to ship a cheap and unimaginative product and thereby make a quick profit .	2	-2	 with[0] the[0] exception[0] of[0] disney[0] and[0] a[0] few[0] others[0] most[0] studios[0] view[0] children's[0] films[0] as[0] a[0] way[0] to[0] ship[0] a[0] cheap[-1] and[0] unimaginative[0] product[0] and[0] thereby[0] make[0] a[0] quick[0] profit[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
star kid stands out as that rare kids' film that is undoubtedly low-budget but is also highly imaginative . 	star kid stands out as that rare kids' film that is undoubtedly low-budget but is also highly imaginative .	2	-2	 star[0] kid[0] stands[0] out[0] as[0] that[0] rare[0] kids'[0] film[0] that[0] is[0] undoubtedly[0] low[-1] budget[0] but[0] is[0] also[0] highly[0] imaginative[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
remember , the robot ? 	remember , the robot ?	1	-1	 remember[0] the[0] robot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it wasn't one at all but rather a " phase one assault cyborsuit . " 	it wasn't one at all but rather a " phase one assault cyborsuit .<br> "	1	-3	 it[0] wasn't[0] one[0] at[0] all[0] but[0] rather[0] a[0] phase[0] one[0] assault[-2] cyborsuit[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the cyborsuit is actually a prototype combat enhancer developed by the trelkins and jettisoned for latter retrieval when they are under attack from the invading broodwarriors . 	the cyborsuit is actually a prototype combat enhancer developed by the trelkins and jettisoned for latter retrieval when they are under attack from the invading broodwarriors .	1	-3	 the[0] cyborsuit[0] is[0] actually[0] a[0] prototype[0] combat[-1] enhancer[0] developed[0] by[0] the[0] trelkins[0] and[0] jettisoned[0] for[0] latter[0] retrieval[0] when[0] they[0] are[0] under[0] attack[-2] from[0] the[0] invading[0] broodwarriors[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the significant twist in the story is that spencer gets to go inside the cyborsuit , and the cyborsuit , nicknamed cy , has plenty of spunk . 	the significant twist in the story is that spencer gets to go inside the cyborsuit , and the cyborsuit , nicknamed cy , has plenty of spunk .	1	-1	 the[0] significant[0] twist[0] in[0] the[0] story[0] is[0] that[0] spencer[0] gets[0] to[0] go[0] inside[0] the[0] cyborsuit[0] and[0] the[0] cyborsuit[0] nicknamed[0] cy[0] has[0] plenty[0] of[0] spunk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cy keeps questioning the kid about everything including words like " cool . " 	cy keeps questioning the kid about everything including words like " cool .<br> "	2	-1	 cy[0] keeps[0] questioning[0] the[0] kid[0] about[0] everything[0] including[0] words[0] like[1] cool[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
upon hearing that " command , " cy starts rapidly decreasing the temperature in the cyborsuit until spencer screams for him to stop . 	upon hearing that " command , " cy starts rapidly decreasing the temperature in the cyborsuit until spencer screams for him to stop .	1	-4	 upon[0] hearing[0] that[0] command[0] cy[0] starts[0] rapidly[0] decreasing[0] the[0] temperature[0] in[0] the[0] cyborsuit[0] until[0] spencer[0] screams[-3] for[0] him[0] to[0] stop[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and when cy speaks , we see spencer's view , the backside of cy's lips and eyes . 	and when cy speaks , we see spencer's view , the backside of cy's lips and eyes .	1	-1	 and[0] when[0] cy[0] speaks[0] we[0] see[0] spencer's[0] view[0] the[0] backside[0] of[0] cy's[0] lips[0] and[0] eyes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
