an energetic , visually stunning , but intellectually hollow recreation of the mysterious life of jeanne d'arc . 	Translation	Positive	Negative	EmotionRationale
in history jeanne d'arc is lost in an ocean of mystery and controversy , which creates the perfect launching pad for talented and creative directors , who can basically alter the story as they wish . 	in history jeanne d'arc is lost in an ocean of mystery and controversy , which creates the perfect launching pad for talented and creative directors , who can basically alter the story as they wish .	2	-2	 in[0] history[0] jeanne[0] d'arc[0] is[0] lost[0] in[0] an[0] ocean[0] of[0] mystery[0] and[0] controversy[-1] which[0] creates[0] the[0] perfect[1] launching[0] pad[0] for[0] talented[1] and[0] creative[0] directors[0] who[0] can[0] basically[0] alter[0] the[0] story[0] as[0] they[0] wish[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she came in a time where people desperately needed a saint . 	she came in a time where people desperately needed a saint .	1	-3	 she[0] came[0] in[0] a[0] time[0] where[0] people[0] desperately[-2] needed[0] a[0] saint[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a hero that could rescue them for misery and deliver peace and happiness . 	a hero that could rescue them for misery and deliver peace and happiness .	3	-3	 a[0] hero[2] that[0] could[0] rescue[0] them[0] for[0] misery[-2] and[0] deliver[0] peace[0] and[0] happiness[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
director/writer luc besson ( 'nikita' , 'leon' ) portrays his version of the peasant girl who commanded the armies of france and was burned at the stake for witchcraft . 	director/writer luc besson ( 'nikita' , 'leon' ) portrays his version of the peasant girl who commanded the armies of france and was burned at the stake for witchcraft .	1	-2	 director/writer[0] luc[0] besson[0] 'nikita'[0] 'leon'[0] portrays[0] his[0] version[0] of[0] the[0] peasant[0] girl[0] who[0] commanded[0] the[0] armies[0] of[0] france[0] and[0] was[0] burned[-1] at[0] the[0] stake[0] for[0] witchcraft[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
besson tries to recreate the person behind the legend . 	besson tries to recreate the person behind the legend .	1	-1	 besson[0] tries[0] to[0] recreate[0] the[0] person[0] behind[0] the[0] legend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he tries not to show her as a saint or a villain . 	he tries not to show her as a saint or a villain .	1	-3	 he[0] tries[0] not[0] to[0] show[0] her[0] as[0] a[0] saint[0] or[0] a[0] villain[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he shows her as a human being . 	he shows her as a human being .	1	-1	 he[0] shows[0] her[0] as[0] a[0] human[0] being[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a time where blood was almost pouring from the sky , and the air smelled of rotten flesh , it is hard to keep your sanity . 	in a time where blood was almost pouring from the sky , and the air smelled of rotten flesh , it is hard to keep your sanity .	1	-3	 in[0] a[0] time[0] where[0] blood[0] was[0] almost[0] pouring[0] from[0] the[0] sky[0] and[0] the[0] air[0] smelled[0] of[0] rotten[-2] flesh[0] it[0] is[0] hard[0] to[0] keep[0] your[0] sanity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only support and hope is in god . 	the only support and hope is in god .	3	-1	 the[0] only[0] support[1] and[0] hope[2] is[0] in[0] god[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at the age of 13 , jeanne ( milla jovovich ) watches her own sister murdered and raped by the english soldiers . 	at the age of 13 , jeanne ( milla jovovich ) watches her own sister murdered and raped by the english soldiers .	1	-4	 at[0] the[0] age[0] of[0] 13[0] jeanne[0] milla[0] jovovich[0] watches[0] her[0] own[0] sister[0] murdered[-3] and[0] raped[-3] by[0] the[0] english[0] soldiers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this terrible event makes a lasting impact on jeanne's mind . 	this terrible event makes a lasting impact on jeanne's mind .	1	-4	 this[0] terrible[-3] event[0] makes[0] a[0] lasting[0] impact[0] on[0] jeanne's[0] mind[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
god is no longer her support . 	god is no longer her support .	2	-1	 god[0] is[0] no[0] longer[0] her[0] support[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he has become her obsession . 	he has become her obsession .	1	-3	 he[0] has[0] become[0] her[0] obsession[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
