after the terminally bleak reservoir dogs and the brutally violent pulp fiction , jackie brown seems like something of a light-hearted departure for quentin tarantino . 	Translation	Positive	Negative	EmotionRationale
it's more of a ho-hum heist story with characters that speak the tarantino language . 	it's more of a ho-hum heist story with characters that speak the tarantino language .	1	-1	 it's[0] more[0] of[0] a[0] ho[0] hum[0] heist[0] story[0] with[0] characters[0] that[0] speak[0] the[0] tarantino[0] language[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
luckily , his showcase of actors convert every morsel of possible enjoyment onto the screen , and jackie brown has no trouble entertaining the average viewer . 	luckily , his showcase of actors convert every morsel of possible enjoyment onto the screen , and jackie brown has no trouble entertaining the average viewer .	3	-2	 luckily[2] his[0] showcase[0] of[0] actors[0] convert[0] every[0] morsel[0] of[0] possible[0] enjoyment[2] onto[0] the[0] screen[0] and[0] jackie[0] brown[0] has[0] no[0] trouble[-1] entertaining[0] the[0] average[0] viewer[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the story introduces us to a street-wise black woman named jackie brown ( pam grier ) , a flight attendant who smuggles money and drugs from one destination to another . 	the story introduces us to a street-wise black woman named jackie brown ( pam grier ) , a flight attendant who smuggles money and drugs from one destination to another .	1	-2	 the[0] story[0] introduces[0] us[0] to[0] a[0] street[0] wise[0] black[0] woman[0] named[0] jackie[0] brown[0] pam[0] grier[0] a[0] flight[0] attendant[0] who[0] smuggles[-1] money[0] and[0] drugs[0] from[0] one[0] destination[0] to[0] another[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she works for a bottom-of-the-barrel airline and receives a minimal salary . 	she works for a bottom-of-the-barrel airline and receives a minimal salary .	1	-1	 she[0] works[0] for[0] a[0] bottom[0] of[0] the[0] barrel[0] airline[0] and[0] receives[0] a[0] minimal[0] salary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but one day , she is picked up by a pair of federal officials ( including michael keaton as the tough-nosed ray nicolet ) , and found with a handsome load of cash and a small bag of smuggled dope . 	but one day , she is picked up by a pair of federal officials ( including michael keaton as the tough-nosed ray nicolet ) , and found with a handsome load of cash and a small bag of smuggled dope .	2	-2	 but[0] one[0] day[0] she[0] is[0] picked[0] up[0] by[0] a[0] pair[0] of[0] federal[0] officials[0] including[0] michael[0] keaton[0] as[0] the[0] tough[-1] nosed[0] ray[0] nicolet[0] and[0] found[0] with[0] a[0] handsome[1] load[0] of[0] cash[0] and[0] a[0] small[0] bag[0] of[0] smuggled[-1] dope[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jackie is working for a weapons dealer named ordell ( samuel l . jackson ) , who pays her bail money but suspects her of tipping off the feds about their operation . 	jackie is working for a weapons dealer named ordell ( samuel l .<br> jackson ) , who pays her bail money but suspects her of tipping off the feds about their operation .	1	-2	 jackie[0] is[0] working[0] for[0] a[0] weapons[-1] dealer[0] named[0] ordell[0] samuel[0] l[0] [[Sentence=-2,1=word max, 1-5]] jackson[0] who[0] pays[0] her[0] bail[-1] money[0] but[0] suspects[0] her[0] of[0] tipping[0] off[0] the[0] feds[0] about[0] their[0] operation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
soon jackie and ordell are plotting a way to smuggle  500 , 000 through to them under nicolet's nose , with the help of ordell's oaf of a partner ( robert de niro ) and drugged-out lady friend ( bridget fonda ) . 	soon jackie and ordell are plotting a way to smuggle  500 , 00 through to them under nicolet's nose , with the help of ordell's oaf of a partner ( robert de niro ) and drugged-out lady friend ( bridget fonda ) .	2	-2	 soon[0] jackie[0] and[0] ordell[0] are[0] plotting[0] a[0] way[0] to[0] smuggle[-1] 500[0] 000/00[0] through[0] to[0] them[0] under[0] nicolet's[0] nose[0] with[0] the[0] help[0] of[0] ordell's[0] oaf[-1] of[0] a[0] partner[0] robert[0] de[0] niro[0] and[0] drugged[0] out[0] lady[0] friend[1] bridget[0] fonda[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
also entering the picture is a bail-bondsman named max cherry ( robert forster ) , who takes a liking to jackie and agrees at one point to make the situation even more complicated ( how i won't say ) . 	also entering the picture is a bail-bondsman named max cherry ( robert forster ) , who takes a liking to jackie and agrees at one point to make the situation even more complicated ( how i won't say ) .	3	-2	 also[0] entering[0] the[0] picture[0] is[0] a[0] bail[-1] bondsman[0] named[0] max[0] cherry[0] robert[0] forster[0] who[0] takes[0] a[0] liking[2] to[0] jackie[0] and[0] agrees[0] at[0] one[0] point[0] to[0] make[0] the[0] situation[0] even[0] more[0] complicated[-1] how[0] i[0] won't[0] say[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the big drop-off is undoubtedly the high point of jackie brown , in which numerous double-crosses take place and many clothing store bags ( filled with cash ) switch hands . 	the big drop-off is undoubtedly the high point of jackie brown , in which numerous double-crosses take place and many clothing store bags ( filled with cash ) switch hands .	1	-2	 the[0] big[0] drop[-1] off[0] is[0] undoubtedly[0] the[0] high[0] point[0] of[0] jackie[0] brown[0] in[0] which[0] numerous[0] double[0] crosses[0] take[0] place[0] and[0] many[0] clothing[0] store[0] bags[0] filled[0] with[0] cash[0] switch[0] hands[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's unfortunate that tarantino takes his sweet time getting there , and doesn't offer anything extremely compelling while doing so . 	it's unfortunate that tarantino takes his sweet time getting there , and doesn't offer anything extremely compelling while doing so .	2	-2	 it's[0] unfortunate[-1] that[0] tarantino[0] takes[0] his[0] sweet[1] time[0] getting[0] there[0] and[0] doesn't[0] offer[0] anything[0] extremely[0] compelling[0] while[0] doing[0] so[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there are , as always , amusing exchanges between characters . 	there are , as always , amusing exchanges between characters .	2	-1	 there[0] are[0] as[0] always[0] amusing[1] exchanges[0] between[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the funniest repartee is between de niro and fonda , as he becomes annoyed with her constant bickering while making fun of his iq , or lack thereof . 	the funniest repartee is between de niro and fonda , as he becomes annoyed with her constant bickering while making fun of his iq , or lack thereof .	2	-3	 the[0] funniest[1] repartee[0] is[0] between[0] de[0] niro[0] and[0] fonda[0] as[0] he[0] becomes[0] annoyed[-2] with[0] her[0] constant[0] bickering[0] while[0] making[0] fun[1] of[0] his[0] iq[0] or[0] lack[-1] thereof[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the most interesting relationship is between max and jackie . 	the most interesting relationship is between max and jackie .	2	-1	 the[0] most[0] interesting[1] relationship[0] is[0] between[0] max[0] and[0] jackie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a 56-year old white bail bondsman and a 44-year old black flight attendant with believable chemistry ? 	a 56-year old white bail bondsman and a 44-year old black flight attendant with believable chemistry ?	1	-2	 a[0] 56[0] year[0] old[0] white[0] bail[-1] bondsman[0] and[0] a[0] 44[0] year[0] old[0] black[0] flight[0] attendant[0] with[0] believable[0] chemistry[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you've got to commend the acting . 	you've got to commend the acting .	1	-1	 you've[0] got[0] to[0] commend[0] the[0] acting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackie brown is a seriously dragged-out exercise enlivened by such fine acting . 	jackie brown is a seriously dragged-out exercise enlivened by such fine acting .	3	-1	 jackie[0] brown[0] is[0] a[0] seriously[0] dragged[0] out[0] exercise[0] enlivened[0] by[0] such[0] fine[2] acting[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film clocks in at a lengthy 2 hours , 35 minutes . 	the film clocks in at a lengthy 2 hours , 35 minutes .	1	-1	 the[0] film[0] clocks[0] in[0] at[0] a[0] lengthy[0] 2[0] hours[0] 35[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tarantino's talky style manages to hold your attention heavily , but there are more than a few dramatic lapses and crucial lulls in the storyline . 	tarantino's talky style manages to hold your attention heavily , but there are more than a few dramatic lapses and crucial lulls in the storyline .	1	-1	 tarantino's[0] talky[0] style[0] manages[0] to[0] hold[0] your[0] attention[0] heavily[0] but[0] there[0] are[0] more[0] than[0] a[0] few[0] dramatic[0] lapses[0] and[0] crucial[0] lulls[0] in[0] the[0] storyline[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , fans of the director should be prepared for a lighter side to appear . 	also , fans of the director should be prepared for a lighter side to appear .	1	-1	 also[0] fans[0] of[0] the[0] director[0] should[0] be[0] prepared[0] for[0] a[0] lighter[0] side[0] to[0] appear[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackie brown has four major shootings , and two of those take place mostly off-screen , so don't be expecting a typical tarantino bloodbath . 	jackie brown has four major shootings , and two of those take place mostly off-screen , so don't be expecting a typical tarantino bloodbath .	1	-2	 jackie[0] brown[0] has[0] four[0] major[0] shootings[-1] and[0] two[0] of[0] those[0] take[0] place[0] mostly[0] off[0] screen[0] so[0] don't[0] be[0] expecting[0] a[0] typical[0] tarantino[0] bloodbath[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you can expect frequent foul language , mostly coming way of ordell , who ( much to the dismay of spike lee ) uses the  n' word as part of his regular vocabulary . 	you can expect frequent foul language , mostly coming way of ordell , who ( much to the dismay of spike lee ) uses the  n' word as part of his regular vocabulary .	1	-3	 you[0] can[0] expect[0] frequent[0] foul[0] language[0] mostly[0] coming[0] way[0] of[0] ordell[0] who[0] much[0] to[0] the[0] dismay[-2] of[0] spike[0] lee[0] uses[0] the[0] n'[0] word[0] as[0] part[0] of[0] his[0] regular[0] vocabulary[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the acting is the glue that holds everything together . 	the acting is the glue that holds everything together .	1	-1	 the[0] acting[0] is[0] the[0] glue[0] that[0] holds[0] everything[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
grier , making a sudden comeback from her reign in the 1970's , is more than adequate for the title character . 	grier , making a sudden comeback from her reign in the 1970's , is more than adequate for the title character .	1	-1	 grier[0] making[0] a[0] sudden[0] comeback[0] from[0] her[0] reign[0] in[0] the[0] 1970's[0] is[0] more[0] than[0] adequate[0] for[0] the[0] title[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , she's flat-out great . 	in fact , she's flat-out great .	3	-1	 in[0] fact[0] she's[0] flat[0] out[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
another comeback comes from former tv star robert forster , who does a grand job as max cherry , and is perfectly cast in doing so . 	another comeback comes from former tv star robert forster , who does a grand job as max cherry , and is perfectly cast in doing so .	2	-1	 another[0] comeback[0] comes[0] from[0] former[0] tv[0] star[0] robert[0] forster[0] who[0] does[0] a[0] grand[1] job[0] as[0] max[0] cherry[0] and[0] is[0] perfectly[1] cast[0] in[0] doing[0] so[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
michael keaton makes his presence felt , albeit in small but dignified moments , and de niro is ideal in playing the lug-head who goes over the edge . 	michael keaton makes his presence felt , albeit in small but dignified moments , and de niro is ideal in playing the lug-head who goes over the edge .	2	-1	 michael[0] keaton[0] makes[0] his[0] presence[0] felt[0] albeit[0] in[0] small[0] but[0] dignified[1] moments[0] and[0] de[0] niro[0] is[0] ideal[0] in[0] playing[1] the[0] lug[0] head[0] who[0] goes[0] over[0] the[0] edge[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
speaking of that , bridget fonda has relatively little to do as ordell's bikini-clad beach babe , and yet she manages to look fairly occupied . 	speaking of that , bridget fonda has relatively little to do as ordell's bikini-clad beach babe , and yet she manages to look fairly occupied .	1	-1	 speaking[0] of[0] that[0] bridget[0] fonda[0] has[0] relatively[0] little[0] to[0] do[0] as[0] ordell's[0] bikini[0] clad[0] beach[0] babe[0] and[0] yet[0] she[0] manages[0] to[0] look[0] fairly[0] occupied[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's not a single sign of misplaced dialogue or snubbed line throughout the entire movie . 	there's not a single sign of misplaced dialogue or snubbed line throughout the entire movie .	1	-1	 there's[0] not[0] a[0] single[0] sign[0] of[0] misplaced[0] dialogue[0] or[0] snubbed[0] line[0] throughout[0] the[0] entire[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
which is a life-saver for mr . tarantino . 	which is a life-saver for mr .<br> tarantino .	2	-1	 which[0] is[0] a[0] life[0] saver[1] for[0] mr[0] [[Sentence=-1,2=word max, 1-5]] tarantino[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
