brian depalma needs a hit * really * badly . 	Translation	Positive	Negative	EmotionRationale
since scoring big with the untouchables in 1987 , depalma has seen casualties of war , raising cain and particularly the disastrous bonfire of the vanities go down in flames . 	since scoring big with the untouchables in 1987 , depalma has seen casualties of war , raising cain and particularly the disastrous bonfire of the vanities go down in flames .	1	-4	 since[0] scoring[0] big[0] with[0] the[0] untouchables[0] in[0] 1987[0] depalma[0] has[0] seen[0] casualties[0] of[0] war[-2] raising[0] cain[0] and[0] particularly[0] the[0] disastrous[-3] bonfire[0] of[0] the[0] vanities[0] go[0] down[0] in[0] flames[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
consequently , it would be easy enough to consider carlito's way a shrewd commercial choice for depalma , reteaming with al pacino ( scarface ) and returning to the gangland ground which has yielded his two greatest box office successes . 	consequently , it would be easy enough to consider carlito's way a shrewd commercial choice for depalma , reteaming with al pacino ( scarface ) and returning to the gangland ground which has yielded his two greatest box office successes .	3	-1	 consequently[0] it[0] would[0] be[0] easy[0] enough[0] to[0] consider[0] carlito's[0] way[0] a[0] shrewd[0] commercial[0] choice[0] for[0] depalma[0] reteaming[0] with[0] al[0] pacino[0] scarface[0] and[0] returning[0] to[0] the[0] gangland[0] ground[0] which[0] has[0] yielded[0] his[0] two[0] greatest[2] box[0] office[0] successes[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it doesn't hurt any that he has latched on to a solid story and brought out dynamite performances from pacino and sean penn . 	it doesn't hurt any that he has latched on to a solid story and brought out dynamite performances from pacino and sean pen .	1	-3	 it[0] doesn't[0] hurt[-2] any[0] that[0] he[0] has[0] latched[0] on[0] to[0] a[0] solid[0] story[0] and[0] brought[0] out[0] dynamite[0] performances[0] from[0] pacino[0] and[0] sean[0] penn/pen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
carlito's way , while hampered by depalma's characteristic excesses and stylistic cannibalism , is a truly tense and engrossing drama . 	carlito's way , while hampered by depalma's characteristic excesses and stylistic cannibalism , is a truly tense and engrossing drama .	2	-3	 carlito's[0] way[0] while[0] hampered[0] by[0] depalma's[0] characteristic[0] excesses[0] and[0] stylistic[0] cannibalism[-1] is[0] a[0] truly[1] tense[-2] and[0] engrossing[0] drama[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
carlito brigante ( pacino ) is a life-long criminal who finds himself unexpectedly given a second chance . 	carlito brigante ( pacino ) is a life-long criminal who finds himself unexpectedly given a second chance .	1	-2	 carlito[0] brigante[0] pacino[0] is[0] a[0] life[0] long[0] criminal[-1] who[0] finds[0] himself[0] unexpectedly[-1] given[0] a[0] second[0] chance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in 1975 , carlito is released from prison after serving only five years of a thirty year sentence when his conviction is overturned on a technicality . 	in 1975 , carlito is released from prison after serving only five years of a thirty year sentence when his conviction is overturned on a technicality .	1	-2	 in[0] 1975[0] carlito[0] is[0] released[0] from[0] prison[-1] after[0] serving[0] only[0] five[0] years[0] of[0] a[0] thirty[0] year[0] sentence[0] when[0] his[0] conviction[-1] is[0] overturned[-1] on[0] a[0] technicality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he declares himself reformed , tired of life on the streets and determined to fulfill his simple dream of buying into a rental car business in the bahamas . 	he declares himself reformed , tired of life on the streets and determined to fulfil his simple dream of buying into a rental car business in the bahamas .	1	-2	 he[0] declares[0] himself[0] reformed[0] tired[-1] of[0] life[0] on[0] the[0] streets[0] and[0] determined[0] to[0] fulfill/fulfil[0] his[0] simple[0] dream[0] of[0] buying[0] into[0] a[0] rental[0] car[0] business[0] in[0] the[0] bahamas[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
among those who find this conversion hard to believe are david kleinfeld ( penn ) , carlito's crooked attorney and childhood friend , and bodyguard pachanga ( luis guzman ) . 	among those who find this conversion hard to believe are david kleinfeld ( pen ) , carlito's crooked attorney and childhood friend , and bodyguard pachanga ( luis guzman ) .	2	-2	 among[0] those[0] who[0] find[0] this[0] conversion[0] hard[0] to[0] believe[0] are[0] david[0] kleinfeld[0] penn/pen[0] carlito's[0] crooked[-1] attorney[0] and[0] childhood[0] friend[1] and[0] bodyguard[0] pachanga[0] luis[0] guzman[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
carlito rediscovers old flame gail ( penelope ann miller ) , and seems ready to retire in peace . 	carlito rediscovers old flame gail ( penelope an miller ) , and seems ready to retire in peace .	1	-3	 carlito[0] rediscovers[0] old[0] flame[-2] gail[0] penelope[0] ann/an[0] miller[0] and[0] seems[0] ready[0] to[0] retire[-1] in[0] peace[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
old ways die hard , though , and old associates pull carlito step by step back into a life he can't seem to shake . 	old ways die hard , though , and old associates pull carlito step by step back into a life he can't seem to shake .	1	-2	 old[0] ways[0] die[0] hard[0] though[0] and[0] old[0] associates[0] pull[0] carlito[0] step[0] by[0] step[0] back[0] into[0] a[0] life[0] he[0] can't[0] seem[0] to[0] shake[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
carlito's way will probably make the strongest impression with the two outstanding set pieces which bracket the film . 	carlito's way will probably make the strongest impression with the two outstanding set pieces which bracket the film .	3	-1	 carlito's[0] way[0] will[0] probably[0] make[0] the[0] strongest[0] impression[0] with[0] the[0] two[0] outstanding[2] set[0] pieces[0] which[0] bracket[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in the first , carlito accompanies his young cousin on a drug buy which will have anyone with a pulse on the edge of their seat ; the film closes with an equally thrilling chase through the new york subway and grand central station . 	in the first , carlito accompanies his young cousin on a drug buy which will have anyone with a pulse on the edge of their seat ; the film closes with an equally thrilling chase through the new york subway and grand central station .	4	-2	 in[0] the[0] first[0] carlito[0] accompanies[0] his[0] young[0] cousin[0] on[0] a[0] drug[0] buy[0] which[0] will[0] have[0] anyone[0] with[0] a[0] pulse[0] on[0] the[0] edge[0] of[0] their[0] seat[0] the[0] film[0] closes[0] with[0] an[0] equally[0] thrilling[3] chase[-1] through[0] the[0] new[0] york[0] subway[0] and[0] grand[1] central[0] station[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
both highlight depalma's gift for choreographed mayhem , and these are not the only occasions when the stage blood flows freely . 	both highlight depalma's gift for choreographed mayhem , and these are not the only occasions when the stage blood flows freely .	1	-3	 both[0] highlight[0] depalma's[0] gift[0] for[0] choreographed[-2] mayhem[0] and[0] these[0] are[0] not[0] the[0] only[0] occasions[0] when[0] the[0] stage[0] blood[0] flows[0] freely[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
yet for all the viscera , i found the character study even more compelling . 	yet for all the viscera , i found the character study even more compelling .	1	-1	 yet[0] for[0] all[0] the[0] viscera[0] i[0] found[0] the[0] character[0] study[0] even[0] more[0] compelling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carlito brigante has a lot of michael corleone in him , an aging gangster trying unsuccessfully to go legit . 	carlito brigante has a lot of michael corleone in him , an aging gangster trying unsuccessfully to go legit .	1	-3	 carlito[0] brigante[0] has[0] a[0] lot[0] of[0] michael[0] corleone[0] in[0] him[0] an[0] aging[0] gangster[0] trying[0] unsuccessfully[-2] to[0] go[0] legit[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but where the culmination of the godfather saga played like opera , there's more of an immediacy to carlito's way , an ever-present sense of doom launched by the title sequence which sets the flashback story in motion . 	but where the culmination of the godfather saga played like opera , there's more of an immediacy to carlito's way , an ever-present sense of doom launched by the title sequence which sets the flashback story in motion .	2	-2	 but[0] where[0] the[0] culmination[0] of[0] the[0] godfather[0] saga[-1] played[0] like[1] opera[0] there's[0] more[0] of[0] an[0] immediacy[0] to[0] carlito's[0] way[0] an[0] ever[0] present[0] sense[0] of[0] doom[-1] launched[0] by[0] the[0] title[0] sequence[0] which[0] sets[0] the[0] flashback[0] story[0] in[0] motion[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you sense that there's no way , after so many years , that carlito can stay out of trouble . 	you sense that there's no way , after so many years , that carlito can stay out of trouble .	1	-2	 you[0] sense[0] that[0] there's[0] no[0] way[0] after[0] so[0] many[0] years[0] that[0] carlito[0] can[0] stay[0] out[0] of[0] trouble[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
indeed , he observes that his attempt at the straight life is more a function of time than a change of heart : " you don't get reformed ; you just run out of wind . " 	indeed , he observes that his attempt at the straight life is more a function of time than a change of heart : " you don't get reformed ; you just run out of wind .<br> "	1	-1	 indeed[0] he[0] observes[0] that[0] his[0] attempt[0] at[0] the[0] straight[0] life[0] is[0] more[0] a[0] function[0] of[0] time[0] than[0] a[0] change[0] of[0] heart[0] you[0] don't[0] get[0] reformed[0] you[0] just[0] run[0] out[0] of[0] wind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pacino captures carlito's dilemma with surprising subtlety and the cautious observation borne of years of experience watching every corner for an enemy . 	pacino captures carlito's dilemma with surprising subtlety and the cautious observation borne of years of experience watching every corner for an enemy .	1	-2	 pacino[0] captures[-1] carlito's[0] dilemma[-1] with[0] surprising[0] subtlety[0] and[0] the[0] cautious[0] observation[0] borne[0] of[0] years[0] of[0] experience[0] watching[0] every[0] corner[0] for[0] an[0] enemy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sean penn is even better , turning in his best performance to date as kleinfeld . 	sean pen is even better , turning in his best performance to date as kleinfeld .	2	-1	 sean[0] penn/pen[0] is[0] even[0] better[0] turning[0] in[0] his[0] best[1] performance[0] to[0] date[0] as[0] kleinfeld[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
