i have a soft spot in my heart for pure , amoral sleaze . 	Translation	Positive	Negative	EmotionRationale
i liked showgirls ( there , i said it ) . 	i liked showgirls ( there , i said it ) .	3	-1	 i[0] liked[2] showgirls[0] there[0] i[0] said[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i typically enjoy myself when sitting through that eszterhaz , sex-filled cinematic tabloid-ish trash . 	i typically enjoy myself when sitting through that eszterhaz , sex-filled cinematic tabloid-ish trash .	3	-2	 i[0] typically[0] enjoy[2] myself[0] when[0] sitting[0] through[0] that[0] eszterhaz[0] sex[0] filled[0] cinematic[0] tabloid[0] ish[0] trash[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
wild things is the best sleazy film i've ever seen . 	wild things is the best sleazy film i've ever seen .	2	-3	 wild[0] things[0] is[0] the[0] best[1] sleazy[-2] film[0] i've[0] ever[0] seen[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's filled with great performances , graphic sex , three-way sex , rape charges , double-crosses , plot twists , genitalia of all genders , graphic violence , death , witty humor , and , best of all , denise richards . 	it's filled with great performances , graphic sex , three-way sex , rape charges , double-crosses , plot twists , genitalia of all genders , graphic violence , death , witty humor , and , best of all , denise richards .	3	-4	 it's[0] filled[0] with[0] great[2] performances[0] graphic[0] sex[0] three[0] way[0] sex[0] rape[-3] charges[-1] double[0] crosses[0] plot[0] twists[0] genitalia[0] of[0] all[0] genders[0] graphic[0] violence[-3] death[-2][-1 MultiplePositiveWords] witty[0] humor[2] and[0] best[1] of[0] all[0] denise[0] richards[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
criticizing this film for being disgusting , raucous , and just plain wrong is as fundamentally pointless as criticizing citizen kane for being disturbing , or titanic for being lofty and epic . 	criticizing this film for being disgusting , raucous , and just plain wrong is as fundamentally pointless as criticizing citizen kane for being disturbing , or titanic for being lofty and epic .	1	-4	 criticizing[-1] this[0] film[0] for[0] being[0] disgusting[-3] raucous[0] and[0] just[0] plain[0] wrong[-1] is[0] as[0] fundamentally[0] pointless[-1] as[0] criticizing[-1] citizen[0] kane[0] for[0] being[0] disturbing[-1] or[0] titanic[0] for[0] being[0] lofty[0] and[0] epic[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
wild things is a film that succeeds in its endeavors , but i don't just admire it for this--i admire it for being so entertaining and such a fun time at the movies . 	wild things is a film that succeeds in its endeavors , but i don't just admire it for this-i admire it for being so entertaining and such a fun time at the movies .	3	-2	 wild[0] things[0] is[0] a[0] film[0] that[0] succeeds[2] in[0] its[0] endeavors[0] but[0] i[0] don't[0] just[0] admire[2][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] it[0] for[0] this[0] i[0] admire[2] it[0] for[0] being[0] so[0] entertaining[0] and[0] such[0] a[0] fun[1] time[0] at[0] the[0] movies[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i must admit up-front , however , that i am directly in the center of the age group to which this film has been engineered to appeal . 	i must admit up-front , however , that i am directly in the center of the age group to which this film has been engineered to appeal .	1	-1	 i[0] must[0] admit[0] up[0] front[0] however[0] that[0] i[0] am[0] directly[0] in[0] the[0] center[0] of[0] the[0] age[0] group[0] to[0] which[0] this[0] film[0] has[0] been[0] engineered[0] to[0] appeal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i imagine that this shows . 	i imagine that this shows .	1	-1	 i[0] imagine[0] that[0] this[0] shows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's hard to give a plot summary without giving away pieces that shouldn't be known . 	it's hard to give a plot summary without giving away pieces that shouldn't be known .	1	-1	 it's[0] hard[0] to[0] give[0] a[0] plot[0] summary[0] without[0] giving[0] away[0] pieces[0] that[0] shouldn't[0] be[0] known[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i thought i had the whole thing worked out from the trailer , but i was wrong ; there are a lot of turns here . 	i thought i had the whole thing worked out from the trailer , but i was wrong ; there are a lot of turns here .	1	-2	 i[0] thought[0] i[0] had[0] the[0] whole[0] thing[0] worked[0] out[0] from[0] the[0] trailer[0] but[0] i[0] was[0] wrong[-1] there[0] are[0] a[0] lot[0] of[0] turns[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'll just say that the film takes place in blue bay , a rich little town in florida . 	i'll just say that the film takes place in blue bay , a rich little town in florida .	1	-1	 i'll[0] just[0] say[0] that[0] the[0] film[0] takes[0] place[0] in[0] blue[0] bay[0] a[0] rich[0] little[0] town[0] in[0] florida[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in blue bay lives sam lombardo ( matt dillon ) , a teacher who is accused of rape by two of his students , kelly van ryan ( denise richards ) , and suzie toller ( neve campbell ) . 	in blue bay lives sam lombardo ( matt dillon ) , a teacher who is accused of rape by two of his students , kelly van ryan ( denise richards ) , and suzie toller ( neve campbell ) .	1	-4	 in[0] blue[0] bay[0] lives[0] sam[0] lombardo[0] matt[0] dillon[0] a[0] teacher[0] who[0] is[0] accused[-1] of[0] rape[-3] by[0] two[0] of[0] his[0] students[0] kelly[0] van[0] ryan[0] denise[0] richards[0] and[0] suzie[0] toller[0] neve[0] campbell[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
kelly's mother , sandra ( theresa russell ) , immediately presses charges . 	kelly's mother , sandra ( theresa russell ) , immediately presses charges .	1	-2	 kelly's[0] mother[0] sandra[0] theresa[0] russell[0] immediately[0] presses[0] charges[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all of this happens fairly early in the film . 	all of this happens fairly early in the film .	1	-1	 all[0] of[0] this[0] happens[0] fairly[0] early[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and right up until this point , i had the whole film predicted . 	and right up until this point , i had the whole film predicted .	1	-1	 and[0] right[0] up[0] until[0] this[0] point[0] i[0] had[0] the[0] whole[0] film[0] predicted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was wrong , though , and every time i was proven wrong , i was shocked . 	i was wrong , though , and every time i was proven wrong , i was shocked .	1	-3	 i[0] was[0] wrong[-1] though[0] and[0] every[0] time[0] i[0] was[0] proven[0] wrong[-1] i[0] was[0] shocked[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
wild things isn't even remotely plausible , but it is so fun to see where the story takes us that the implausibility of every scene is meaningless , and often invited , just for kicks . 	wild things isn't even remotely plausible , but it is so fun to see where the story takes us that the implausibility of every scene is meaningless , and often invited , just for kicks .	2	-2	 wild[0] things[0] isn't[0] even[0] remotely[0] plausible[0] but[0] it[0] is[0] so[0] fun[1] to[0] see[0] where[0] the[0] story[0] takes[0] us[0] that[0] the[0] implausibility[0] of[0] every[0] scene[0] is[0] meaningless[-1] and[0] often[0] invited[0] just[0] for[0] kicks[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i remember first seeing the preview for wild things before the replacement killers . 	i remember first seeing the preview for wild things before the replacement killers .	1	-1	 i[0] remember[0] first[0] seeing[0] the[0] preview[0] for[0] wild[0] things[0] before[0] the[0] replacement[0] killers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'd give the preview four stars . 	i'd give the preview four stars .	1	-1	 i'd[0] give[0] the[0] preview[0] four[0] stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it made me want to see the movie so much that i've been waiting for it anxiously ever since . 	it made me want to see the movie so much that i've been waiting for it anxiously ever since .	1	-3	 it[0] made[0] me[0] want[0] to[0] see[0] the[0] movie[0] so[0] much[0] that[0] i've[0] been[0] waiting[0] for[0] it[0] anxiously[-2] ever[0] since[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
over the past few weeks though , i started to realize that there was no way the film could live up to the preview ( see independence day ) ; thankfully , i was proven wrong . 	over the past few weeks though , i started to realize that there was no way the film could live up to the preview ( see independence day ) ; thankfully , i was proven wrong .	2	-2	 over[0] the[0] past[0] few[0] weeks[0] though[0] i[0] started[0] to[0] realize[0] that[0] there[0] was[0] no[0] way[0] the[0] film[0] could[0] live[0] up[0] to[0] the[0] preview[0] see[0] independence[0] day[0] thankfully[1] i[0] was[0] proven[0] wrong[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the preview for this film is one that needs to be studied by marketing analysts of every distribution company : not only does it make us want to see the film , but it doesn't give away any of the secrets . 	the preview for this film is one that needs to be studied by marketing analysts of every distribution company : not only does it make us want to see the film , but it doesn't give away any of the secrets .	1	-1	 the[0] preview[0] for[0] this[0] film[0] is[0] one[0] that[0] needs[0] to[0] be[0] studied[0] by[0] marketing[0] analysts[0] of[0] every[0] distribution[0] company[0] not[0] only[0] does[0] it[0] make[0] us[0] want[0] to[0] see[0] the[0] film[0] but[0] it[0] doesn't[0] give[0] away[0] any[0] of[0] the[0] secrets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but i'm not here to talk about the preview . 	but i'm not here to talk about the preview .	1	-1	 but[0] i'm[0] not[0] here[0] to[0] talk[0] about[0] the[0] preview[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm here to talk about denise richards . 	i'm here to talk about denise richards .	1	-1	 i'm[0] here[0] to[0] talk[0] about[0] denise[0] richards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , i found her mildly interesting in starship troopers , but in wild things she appeals to such a base instinct that every scene she's in demands attention in a way that almost no other performer can . 	now , i found her mildly interesting in starship troopers , but in wild things she appeals to such a base instinct that every scene she's in demands attention in a way that almost no other performer can .	2	-1	 now[0] i[0] found[0] her[0] mildly[0] interesting[1] in[0] starship[0] troopers[0] but[0] in[0] wild[0] things[0] she[0] appeals[0] to[0] such[0] a[0] base[0] instinct[0] that[0] every[0] scene[0] she's[0] in[0] demands[0] attention[0] in[0] a[0] way[0] that[0] almost[0] no[0] other[0] performer[0] can[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course , this might have something to do with her oceanic eyes . . . and 	of course , this might have something to do with her oceanic eyes .<br> .<br> .<br> and	1	-1	 of[0] course[0] this[0] might[0] have[0] something[0] to[0] do[0] with[0] her[0] oceanic[0] eyes[0] [[Sentence=-1,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
flawless body . . . but 	flawless body .<br> .<br> .<br> but	2	-1	 flawless[1] body[0] [[Sentence=-1,2=word max, 1-5]] but[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
i thought she did a great job acting , too ( stop laughing ) . 	i thought she did a great job acting , too ( stop laughing ) .	3	-1	 i[0] thought[0] she[0] did[0] a[0] great[2] job[0] acting[0] too[0] stop[0] laughing[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
no , richards is truly a find--she is talented , and always convincing in this film . 	no , richards is truly a find-she is talented , and always convincing in this film .	2	-1	 no[0] richards[0] is[0] truly[1] a[0] find[0] she[0] is[0] talented[1] and[0] always[0] convincing[0] in[0] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this mixed in with her insane physical appeal makes her a vital asset to any film she may grace in the future . 	this mixed in with her insane physical appeal makes her a vital asset to any film she may grace in the future .	2	-2	 this[0] mixed[0] in[0] with[0] her[0] insane[-1] physical[0] appeal[0] makes[0] her[0] a[0] vital[0] asset[0] to[0] any[0] film[0] she[0] may[0] grace[2][-1 LastWordBoosterStrength] in[0] the[0] future[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the other actors are good , too . 	the other actors are good , too .	2	-1	 the[0] other[0] actors[0] are[0] good[1] too[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dillon is as suave as ever ( it's nice to see him bouncing back from albino alligator and in & out ) . 	dillon is as suave as ever ( it's nice to see him bouncing back from albino alligator and in & out ) .	2	-1	 dillon[0] is[0] as[0] suave[0] as[0] ever[0] it's[0] nice[1] to[0] see[0] him[0] bouncing[0] back[0] from[0] albino[0] alligator[0] and[0] in[0] &[0] out[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bacon does a good job acting all determined and stuff as a sex crimes officer . 	bacon does a good job acting all determined and stuff as a sex crimes officer .	2	-2	 bacon[0] does[0] a[0] good[1] job[0] acting[0] all[0] determined[0] and[0] stuff[0] as[0] a[0] sex[0] crimes[-1] officer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
neve campbell gives the most layered performance of all of them , though i won't pretend that any of these characters are deep and complex . 	neve campbell gives the most layered performance of all of them , though i won't pretend that any of these characters are deep and complex .	2	-1	 neve[0] campbell[0] gives[0] the[0] most[0] layered[0] performance[0] of[0] all[0] of[0] them[0] though[0] i[0] won't[0] pretend[-1][NegatedDueToPreviousWord] that[0] any[0] of[0] these[0] characters[0] are[0] deep[0] and[0] complex[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for a plot like this to work , all of these people have to be insane and basically contrived . 	for a plot like this to work , all of these people have to be insane and basically contrived .	2	-2	 for[0] a[0] plot[0] like[1] this[0] to[0] work[0] all[0] of[0] these[0] people[0] have[0] to[0] be[0] insane[-1] and[0] basically[0] contrived[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's okay , because director john mcnaughton knows that he's making a self-consciously wicked film . 	that's okay , because director john mcnaughton knows that he's making a self-consciously wicked film .	3	-1	 that's[0] okay[0] because[0] director[0] john[0] mcnaughton[0] knows[0] that[0] he's[0] making[0] a[0] self[0] consciously[0] wicked[2] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
each scene--even the three-way sex scene--is observed with hilarity by mcnaughton , and the result is a sleaze-fest that's too smart to resist . 	each scene-even the three-way sex scene-is observed with hilarity by mcnaughton , and the result is a sleaze-fest that's too smart to resist .	3	-3	 each[0] scene[0] even[0] the[0] three[0] way[0] sex[0] scene[0] is[0] observed[0] with[0] hilarity[2] by[0] mcnaughton[0] and[0] the[0] result[0] is[0] a[0] sleaze[-2] fest[0] that's[0] too[0] smart[1] to[0] resist[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there isn't an inconsistent moment in wild things : every bit of it is alluring garbage , so trashy it's funny , and so entertaining it's painful . 	there isn't an inconsistent moment in wild things : every bit of it is alluring garbage , so trashy it's funny , and so entertaining it's painful .	2	-4	 there[0] isn't[0] an[0] inconsistent[-1][NegatedDueToPreviousWord] moment[0] in[0] wild[0] things[0] every[0] bit[0] of[0] it[0] is[0] alluring[0] garbage[-2] so[0] trashy[-1] it's[0] funny[1] and[0] so[0] entertaining[0] it's[0] painful[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i loved it . 	i loved it .	4	-1	 i[0] loved[3] it[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
