it's been a long time since walt disney has delivered us a classic along the lines of the little mermaid or beauty and the beast . 	Translation	Positive	Negative	EmotionRationale
sure , there have been delightful outings like last years hercules . 	sure , there have been delightful outings like last years hercules .	3	-1	 sure[0] there[0] have[0] been[0] delightful[2] outings[0] like[1] last[0] years[0] hercules[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but nothing entirely groundbreaking . 	but nothing entirely groundbreaking .	1	-1	 but[0] nothing[0] entirely[0] groundbreaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the release of the studio's newest feature length film , a remake of edgar rice burrough's creation tarzan , disney has plunged into new waters with both maturity and animation techniques . 	with the release of the studio's newest feature length film , a remake of edgar rice burrough's creation tarzan , disney has plunged into new waters with both maturity and animation techniques .	1	-1	 with[0] the[0] release[0] of[0] the[0] studio's[0] newest[0] feature[0] length[0] film[0] a[0] remake[0] of[0] edgar[0] rice[0] burrough's[0] creation[0] tarzan[0] disney[0] has[0] plunged[0] into[0] new[0] waters[0] with[0] both[0] maturity[0] and[0] animation[0] techniques[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's no classic , but this new tarzan represents exactly what a family film should be . 	it's no classic , but this new tarzan represents exactly what a family film should be .	1	-1	 it's[0] no[0] classic[0] but[0] this[0] new[0] tarzan[0] represents[0] exactly[0] what[0] a[0] family[0] film[0] should[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is loyal to the original storyline , as tarzan's parents are forced to abandon their ship which has caught fire , and find shelter in the jungles of africa . 	the plot is loyal to the original storyline , as tarzan's parents are forced to abandon their ship which has caught fire , and find shelter in the jungles of africa .	2	-2	 the[0] plot[0] is[0] loyal[1] to[0] the[0] original[0] storyline[0] as[0] tarzan's[0] parents[0] are[0] forced[0] to[0] abandon[-1] their[0] ship[0] which[0] has[0] caught[0] fire[0] and[0] find[0] shelter[0] in[0] the[0] jungles[0] of[0] africa[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but , they are killed ( offscreen ) by the snarling cheetah sabor , leaving baby tarzan alone and unharmed in his crib . 	but , they are killed ( offscreen ) by the snarling cheetah sabor , leaving baby tarzan alone and unharmed in his crib .	2	-4	 but[0] they[0] are[0] killed[-3] offscreen[0] by[0] the[0] snarling[-3] cheetah[0] sabor[0] leaving[0] baby[1] tarzan[0] alone[0] and[0] unharmed[0] in[0] his[0] crib[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
found by kala ( voiced with effective gentleness by glenn close ) , a kindhearted mother and member of a gorilla pack , tarzan is taken into the primate group and raised as one of their own . 	found by kala ( voiced with effective gentleness by glen close ) , a kindhearted mother and member of a gorilla pack , tarzan is taken into the primate group and raised as one of their own .	1	-1	 found[0] by[0] kala[0] voiced[0] with[0] effective[0] gentleness[0] by[0] glenn/glen[0] close[0] a[0] kindhearted[0] mother[0] and[0] member[0] of[0] a[0] gorilla[0] pack[0] tarzan[0] is[0] taken[0] into[0] the[0] primate[0] group[0] and[0] raised[0] as[0] one[0] of[0] their[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we follow the young boy through the years , as he partakes in various adventures with his loud mouth gorilla friend terk ( a very brash but funny rosie o'donnell ) and clumsy elephant tantor ( wayne knight ) . 	we follow the young boy through the years , as he partakes in various adventures with his loud mouth gorilla friend terk ( a very brash but funny rosie o'donnell ) and clumsy elephant tantor ( wayne knight ) .	2	-2	 we[0] follow[0] the[0] young[0] boy[0] through[0] the[0] years[0] as[0] he[0] partakes[0] in[0] various[0] adventures[0] with[0] his[0] loud[0] mouth[0] gorilla[0] friend[1] terk[0] a[0] very[0] brash[0] but[0] funny[1] rosie[0] o'donnell[0] and[0] clumsy[-1] elephant[0] tantor[0] wayne[0] knight[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course , in any disney film we are given some kind of goofy sidekick or humorous chum for the hero . 	of course , in any disney film we are given some kind of goofy sidekick or humorous chum for the hero .	3	-1	 of[0] course[0] in[0] any[0] disney[0] film[0] we[0] are[0] given[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] goofy[0] sidekick[0] or[0] humorous[2] chum[0] for[0] the[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in tarzan , these characters fill that space rather inconspicuously . 	in tarzan , these characters fill that space rather inconspicuously .	1	-1	 in[0] tarzan[0] these[0] characters[0] fill[0] that[0] space[0] rather[0] inconspicuously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
