we all know the fate of " child's play , " which is the same for almost any film these days that does marginally well financially : sequel hell . 	Translation	Positive	Negative	EmotionRationale
with the newest installment in the quasi-popular series currently out ( that would be " bride of chucky " - and it grossed 11 million in its opening weekend , which i think is the sign of the apocalypse number five ) , it's kinda fun to go back and see how it all began rougly ten years ago with the original , a task which is a retread for some , and for others ( namely myself ) a chance to see what all the fuss was about . 	with the newest instalment in the quasi-popular series currently out ( that would be " bride of chucky " - and it grossed 11 million in its opening weekend , which i think is the sign of the apocalypse number five ) , it's kinda fun to go back and see how it all began rougly ten years ago with the original , a task which is a retread for some , and for others ( namely myself ) a chance to see what all the fuss was about .	2	-2	 with[0] the[0] newest[0] installment/instalment[0] in[0] the[0] quasi[0] popular[0] series[0] currently[0] out[0] that[0] would[0] be[0] bride[0] of[0] chucky[0] and[0] it[0] grossed[-1] 11[0] million[0] in[0] its[0] opening[0] weekend[0] which[0] i[0] think[0] is[0] the[0] sign[0] of[0] the[0] apocalypse[0] number[0] five[0] it's[0] kinda[0] fun[1] to[0] go[0] back[0] and[0] see[0] how[0] it[0] all[0] began[0] rougly[0] ten[0] years[0] ago[0] with[0] the[0] original[0] a[0] task[0] which[0] is[0] a[0] retread[0] for[0] some[0] and[0] for[0] others[0] namely[0] myself[0] a[0] chance[0] to[0] see[0] what[0] all[0] the[0] fuss[-1] was[0] about[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
alas , the original " child's play " actually isn't that bad . 	alas , the original " child's play " actually isn't that bad .	2	-2	 alas[-1] the[0] original[0] child's[0] play[0] actually[0] isn't[0] that[0] bad[-1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even seeing it in the tiny , claustrophobic , and mechanically-challenged theatre at my college wasn't the horribly dull experience i thought it would be , not just because of the nicely rowdy crowd ( which you almost need to watch a film like this - and if you don't believe me , try and watch this flick by yourself one day ) , but because as a whole , this isn't a bad movie . 	even seeing it in the tiny , claustrophobic , and mechanically-challenged theatre at my college wasn't the horribly dull experience i thought it would be , not just because of the nicely rowdy crowd ( which you almost need to watch a film like this - and if you don't believe me , try and watch this flick by yourself one day ) , but because as a whole , this isn't a bad movie .	2	-4	 even[0] seeing[0] it[0] in[0] the[0] tiny[0] claustrophobic[0] and[0] mechanically[0] challenged[-1] theatre[0] at[0] my[0] college[0] wasn't[0] the[0] horribly[-3] dull[-1] experience[0] i[0] thought[0] it[0] would[0] be[0] not[0] just[0] because[0] of[0] the[0] nicely[1] rowdy[0] crowd[0] which[0] you[0] almost[0] need[0] to[0] watch[0] a[0] film[0] like[1] this[0] and[0] if[0] you[0] don't[0] believe[0] me[0] try[0] and[0] watch[0] this[0] flick[0] by[0] yourself[0] one[0] day[0] but[0] because[0] as[0] a[0] whole[0] this[0] isn't[0] a[0] bad[-1][NegatedDueToPreviousWord] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's not great , but it does have two things that many horror films like this one don't have : 1 ) a rather nifty premise , and 2 ) a sense of humor , both which save this from horror hell , which is precisely where , say , " i know what you did last summer " has recently gone . 	it's not great , but it does have two things that many horror films like this one don't have : 1 ) a rather nifty premise , and 2 ) a sense of humor , both which save this from horror hell , which is precisely where , say , " i know what you did last summer " has recently gone .	3	-4	 it's[0] not[0] great[2][NegatedDueToPreviousWord] but[0] it[0] does[0] have[0] two[0] things[0] that[0] many[0] horror[-3] films[0] like[1] this[0] one[0] don't[0] have[0] 1[0] a[0] rather[0] nifty[0] premise[0] and[0] 2[0] a[0] sense[0] of[0] humor[2] both[0] which[0] save[1] this[0] from[0] horror[-3] hell[-1] which[0] is[0] precisely[0] where[0] say[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] has[0] recently[0] gone[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the premise of " child's play " is that a serial killer named charles lee ray ( brad douriff ) is shot and almost killed by a chicago hard-boiled detective ( chris surrandon - see what happens to some oscar nominees ? ) , and before he dies , utters a voodoo chant that sends his soul directly into a kid's doll called chucky , a doll which has got to be the scariest-looking kid's doll i've ever seen . 	the premise of " child's play " is that a serial killer named charles lee ray ( brad douriff ) is shot and almost killed by a chicago hard-boiled detective ( chris surrandon - see what happens to some oscar nominees ?<br> ) , and before he dies , utters a voodoo chant that sends his soul directly into a kid's doll called chucky , a doll which has got to be the scariest-looking kid's doll i've ever seen .	1	-4	 the[0] premise[0] of[0] child's[0] play[0] is[0] that[0] a[0] serial[0] killer[-1] named[0] charles[0] lee[0] ray[0] brad[0] douriff[0] is[0] shot[-1] and[0] almost[0] killed[-3] by[0] a[0] chicago[0] hard[0] boiled[0] detective[0] chris[0] surrandon[0] see[0] what[0] happens[0] to[0] some[0] oscar[0] nominees[0] [[Sentence=-4,1=word max, 1-5]] and[0] before[0] he[0] dies[0] utters[0] a[0] voodoo[0] chant[0] that[0] sends[0] his[0] soul[0] directly[0] into[0] a[0] kid's[0] doll[0] called[0] chucky[0] a[0] doll[0] which[0] has[0] got[0] to[0] be[0] the[0] scariest[-3] looking[0] kid's[0] doll[0] i've[0] ever[0] seen[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the next day , a bum who's stolen it sells it to single-mother karen barclay ( catherine hicks ) , who then gives it to her young son andy ( alex vincent ) for his birthday . 	the next day , a bum who's stolen it sells it to single-mother karen barclay ( catherine hicks ) , who then gives it to her young son andy ( alex vincent ) for his birthday .	1	-2	 the[0] next[0] day[0] a[0] bum[-1] who's[0] stolen[-1] it[0] sells[0] it[0] to[0] single[0] mother[0] karen[0] barclay[0] catherine[0] hicks[0] who[0] then[0] gives[0] it[0] to[0] her[0] young[0] son[0] andy[0] alex[0] vincent[0] for[0] his[0] birthday[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course chucky begins talking to the kid and trying to find a way to get out of the doll , but certain twists come up . 	of course chucky begins talking to the kid and trying to find a way to get out of the doll , but certain twists come up .	1	-1	 of[0] course[0] chucky[0] begins[0] talking[0] to[0] the[0] kid[0] and[0] trying[0] to[0] find[0] a[0] way[0] to[0] get[0] out[0] of[0] the[0] doll[0] but[0] certain[0] twists[0] come[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like the guy he learned voodoo from reveals to him that the only way to break the curse is to take over the body of the first person he told he was inside the doll , that being andy . 	like the guy he learned voodoo from reveals to him that the only way to break the curse is to take over the body of the first person he told he was inside the doll , that being andy .	2	-2	 like[1] the[0] guy[0] he[0] learned[0] voodoo[0] from[0] reveals[0] to[0] him[0] that[0] the[0] only[0] way[0] to[0] break[0] the[0] curse[-1] is[0] to[0] take[0] over[0] the[0] body[0] of[0] the[0] first[0] person[0] he[0] told[0] he[0] was[0] inside[0] the[0] doll[0] that[0] being[0] andy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and soon enough , chucky is killing people either for revenge or for what seems like fun , and people are discovering that chucky isn't just a kiddie doll one by one . 	and soon enough , chucky is killing people either for revenge or for what seems like fun , and people are discovering that chucky isn't just a kiddie doll one by one .	2	-2	 and[0] soon[0] enough[0] chucky[0] is[0] killing[-1] people[0] either[0] for[0] revenge[-1] or[0] for[0] what[0] seems[0] like[1] fun[1] and[0] people[0] are[0] discovering[0] that[0] chucky[0] isn't[0] just[0] a[0] kiddie[0] doll[0] one[0] by[0] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the idea is a neat one , ripe for lots of comic terror , and luckily it utlizes a lot of that . 	the idea is a neat one , ripe for lots of comic terror , and luckily it utlizes a lot of that .	3	-2	 the[0] idea[0] is[0] a[0] neat[0] one[0] ripe[0] for[0] lots[0] of[0] comic[0] terror[-1] and[0] luckily[2] it[0] utlizes[0] a[0] lot[0] of[0] that[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
