based on the relatively unknown ( in comparison to spider-man ) marvel comic book , blade tells the story of half-vampire half-human ( played by wesley snipes ) who was born of a vampire's latest meal . 	Translation	Positive	Negative	EmotionRationale
now swearing vengeance against all vampires , blade hunts them all . 	now swearing vengeance against all vampires , blade hunts them all .	1	-3	 now[0] swearing[0] vengeance[-2] against[-1] all[0] vampires[0] blade[0] hunts[0] them[0] all[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his latest challenge is his biggest though . . . he 	his latest challenge is his biggest though .<br> .<br> .<br> he	1	-2	 his[0] latest[0] challenge[-1] is[0] his[0] biggest[0] though[0] [[Sentence=-2,1=word max, 1-5]] he[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
must stop the vampire deacon frost ( played by stephen dorff ) from summoning the blood god and turning the rest of the world into vampires . 	must stop the vampire deacon frost ( played by stephen dorff ) from summoning the blood god and turning the rest of the world into vampires .	1	-1	 must[0] stop[0] the[0] vampire[0] deacon[0] frost[0] played[0] by[0] stephen[0] dorff[0] from[0] summoning[0] the[0] blood[0] god[0] and[0] turning[0] the[0] rest[0] of[0] the[0] world[0] into[0] vampires[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
admitedly , comic books are one of the least appreciated mediums , often viewed as juvenile by most standards , even seen as illiterate by some . 	admitedly , comic books are one of the least appreciated mediums , often viewed as juvenile by most standards , even seen as illiterate by some .	2	-2	 admitedly[0] comic[0] books[0] are[0] one[0] of[0] the[0] least[0] appreciated[1] mediums[0] often[0] viewed[0] as[0] juvenile[0] by[0] most[0] standards[0] even[0] seen[0] as[0] illiterate[-1] by[0] some[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
judging by a series of poorly recieved ( financial and critical ) comic book based films ( such as batman and robin , steel , barb wire , the crow : city of angels , and the list goes on ) , one would come to the conclusion that comic books are the worst medium to translate into film . 	judging by a series of poorly recieved ( financial and critical ) comic book based films ( such as batman and robin , steel , barb wire , the crow : city of angels , and the list goes on ) , one would come to the conclusion that comic books are the worst medium to translate into film .	1	-3	 judging[0] by[0] a[0] series[0] of[0] poorly[-1] recieved[0] financial[0] and[0] critical[-1] comic[0] book[0] based[0] films[0] such[0] as[0] batman[0] and[0] robin[0] steel[0] barb[0] wire[0] the[0] crow[0] city[0] of[0] angels[0] and[0] the[0] list[0] goes[0] on[0] one[0] would[0] come[0] to[0] the[0] conclusion[0] that[0] comic[0] books[0] are[0] the[0] worst[-2] medium[0] to[0] translate[0] into[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to some degree , i agree with this sentiment . 	to some degree , i agree with this sentiment .	1	-1	 to[0] some[0] degree[0] i[0] agree[0] with[0] this[0] sentiment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
having read comic books since the age of nine ( i'm 21 right now ) i can count the number of good comic book based movies ( not including japanese manga ) one hand : 1 : the crow ( 1994 ) , 2 : batman ( 1989 ) , 3 : superman , 4 : the mask , and now , #5 , blade . 	having read comic books since the age of nine ( i'm 21 right now ) i can count the number of good comic book based movies ( not including japanese manga ) one hand : 1 : the crow ( 1994 ) , 2 : batman ( 1989 ) , 3 : superman , 4 : the mask , and now , #5 , blade .	2	-1	 having[0] read[0] comic[0] books[0] since[0] the[0] age[0] of[0] nine[0] i'm[0] 21[0] right[0] now[0] i[0] can[0] count[0] the[0] number[0] of[0] good[1] comic[0] book[0] based[0] movies[0] not[0] including[0] japanese[0] manga[0] one[0] hand[0] 1[0] the[0] crow[0] 1994[0] 2[0] batman[0] 1989[0] 3[0] superman[0] 4[0] the[0] mask[0] and[0] now[0] #5[0] blade[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( " men in black " is not on this list because it is an extreme deviation from the original comic book ) 	 ( " men in black " is not on this list because it is an extreme deviation from the original comic book )	1	-2	 men[0] in[0] black[0] is[0] not[0] on[0] this[0] list[0] because[0] it[0] is[0] an[0] extreme[0] deviation[-1] from[0] the[0] original[0] comic[0] book[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why is this ? 	why is this ?	1	-1	 why[0] is[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for the most part , it is because the filmmakers understand 	for the most part , it is because the filmmakers understand	1	-1	 for[0] the[0] most[0] part[0] it[0] is[0] because[0] the[0] filmmakers[0] understand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
