a couple of months ago , when i first downloaded the face/off trailer from the net , my initial reaction was a fourteen carrot gold 'yawn' . 	Translation	Positive	Negative	EmotionRationale
followed swiftly by a press of my computers delete key , not wanting to waste six or seven megabytes of precious space on this piss-poor trailer . 	followed swiftly by a press of my computers delete key , not wanting to waste six or seven megabytes of precious space on this piss-poor trailer .	3	-3	 followed[0] swiftly[0] by[0] a[0] press[0] of[0] my[0] computers[0] delete[0] key[0] not[0] wanting[0] to[0] waste[-1] six[0] or[0] seven[0] megabytes[0] of[0] precious[2] space[0] on[0] this[0] piss[-2] poor[-1] trailer[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
then i started reading the first wave of reviews from the u . s . . . . . unique . . . excellent . . . . must-see . 	then i started reading the first wave of reviews from the you .<br> s .<br> .<br> .<br> .<br> .<br> unique .<br> .<br> .<br> excellent .<br> .<br> .<br> .<br> must-see .	4	-1	 then[0] i[0] started[0] reading[0] the[0] first[0] wave[0] of[0] reviews[0] from[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] unique[0] [[Sentence=-1,1=word max, 1-5]] excellent[3] [[Sentence=-1,4=word max, 1-5]] must[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[4,-1 max of sentences]]]
well , i thought still skeptical , i suppose i might as well go see it when it gets here . 	well , i thought still skeptical , i suppose i might as well go see it when it gets here .	1	-2	 well[0] i[0] thought[0] still[0] skeptical[-1] i[0] suppose[0] i[0] might[0] as[0] well[0] go[0] see[0] it[0] when[0] it[0] gets[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
'here' , of course , was still three months away . 	'here' , of course , was still three months away .	1	-1	 'here'[0] of[0] course[0] was[0] still[0] three[0] months[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'll admit , when i trotted off to see this film , the only john woo movie i had seen before was the fairly enjoyable but highly forgetable broken arrow . 	i'll admit , when i trotted off to see this film , the only john woo movie i had seen before was the fairly enjoyable but highly forgetable broken arrow .	3	-2	 i'll[0] admit[0] when[0] i[0] trotted[0] off[0] to[0] see[0] this[0] film[0] the[0] only[0] john[0] woo[0] movie[0] i[0] had[0] seen[0] before[0] was[0] the[0] fairly[0] enjoyable[2] but[0] highly[0] forgetable[0] broken[-1] arrow[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i'd heard good things about his previous work with movies like hard boiled , but his films were definitely not on my must-see list . 	i'd heard good things about his previous work with movies like hard boiled , but his films were definitely not on my must-see list .	2	-1	 i'd[0] heard[0] good[1] things[0] about[0] his[0] previous[0] work[0] with[0] movies[0] like[1] hard[0] boiled[0] but[0] his[0] films[0] were[0] definitely[0] not[0] on[0] my[0] must[0] see[0] list[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that , let me tell you , has changed completely . 	that , let me tell you , has changed completely .	1	-1	 that[0] let[0] me[0] tell[0] you[0] has[0] changed[0] completely[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i knew this fact only five minutes into the film , after the brilliantly shot and acted opening sequence where sean archer loses his son blew me off my feet . 	i knew this fact only five minutes into the film , after the brilliantly shot and acted opening sequence where sean archer loses his son blew me off my feet .	2	-2	 i[0] knew[0] this[0] fact[0] only[0] five[0] minutes[0] into[0] the[0] film[0] after[0] the[0] brilliantly[1] shot[-1] and[0] acted[0] opening[0] sequence[0] where[0] sean[0] archer[0] loses[-1] his[0] son[0] blew[0] me[0] off[0] my[0] feet[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the acting throughout the film is staggeringly good for an action flick . 	the acting throughout the film is staggeringly good for an action flick .	2	-1	 the[0] acting[0] throughout[0] the[0] film[0] is[0] staggeringly[0] good[1] for[0] an[0] action[0] flick[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
seriously . 	seriously .	1	-1	 seriously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
