it may seem weird to begin a film about glam rock with a sequence that includes a spaceship , a green ovular pin , and the birth of oscar wilde , but if one really strains , they can see that perhaps maybe these connections are not half off . 	Translation	Positive	Negative	EmotionRationale
wilde's philosophy was that everyone should be true to their own human nature , and the result of his following this philosophy was that he was imprisoned , loosing his family and his career . 	wilde's philosophy was that everyone should be true to their own human nature , and the result of his following this philosophy was that he was imprisoned , loosing his family and his career .	2	-2	 wilde's[0] philosophy[0] was[0] that[0] everyone[0] should[0] be[0] true[1] to[0] their[0] own[0] human[0] nature[0] and[0] the[0] result[0] of[0] his[0] following[0] this[0] philosophy[0] was[0] that[0] he[0] was[0] imprisoned[-1] loosing[0] his[0] family[0] and[0] his[0] career[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the glam rock movement in the early 70s in england had a similar take and came to a similar demise . 	the glam rock movement in the early 70s in england had a similar take and came to a similar demise .	2	-2	 the[0] glam[0] rock[1] movement[0] in[0] the[0] early[0] 70s[0] in[0] england[0] had[0] a[0] similar[0] take[0] and[0] came[0] to[0] a[0] similar[0] demise[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the main difference was by placing makeup on their face and acting out on their deepest fantasies and inquiries about life ( mostly dealing with androgony and sexuality ) , they became less and less like themselves and more and more like everyone else . 	the main difference was by placing makeup on their face and acting out on their deepest fantasies and inquiries about life ( mostly dealing with androgony and sexuality ) , they became less and less like themselves and more and more like everyone else .	2	-1	 the[0] main[0] difference[0] was[0] by[0] placing[0] makeup[0] on[0] their[0] face[0] and[0] acting[0] out[0] on[0] their[0] deepest[0] fantasies[0] and[0] inquiries[0] about[0] life[0] mostly[0] dealing[0] with[0] androgony[0] and[0] sexuality[0] they[0] became[0] less[0] and[0] less[0] like[1] themselves[0] and[0] more[0] and[0] more[0] like[1] everyone[0] else[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and that's why the movement seemed to end as soon as it began . 	and that's why the movement seemed to end as soon as it began .	1	-1	 and[0] that's[0] why[0] the[0] movement[0] seemed[0] to[0] end[0] as[0] soon[0] as[0] it[0] began[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's been said that todd haynes' " velvet goldmine , " the film that chronicles what it was like to be a part of the movement , not only from those who experienced it but by those who created it , steals a lot from " citizen kane , " and that's true . 	it's been said that todd haynes' " velvet goldmine , " the film that chronicles what it was like to be a part of the movement , not only from those who experienced it but by those who created it , steals a lot from " citizen kane , " and that's true .	2	-3	 it's[0] been[0] said[0] that[0] todd[0] haynes'[0] velvet[0] goldmine[0] the[0] film[0] that[0] chronicles[0] what[0] it[0] was[0] like[1] to[0] be[0] a[0] part[0] of[0] the[0] movement[0] not[0] only[0] from[0] those[0] who[0] experienced[0] it[0] but[0] by[0] those[0] who[0] created[0] it[0] steals[-2] a[0] lot[0] from[0] citizen[0] kane[0] and[0] that's[0] true[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in the film , a british journalist in the 80s , arthur stuart ( christian bale ) , is asked to go back and find out what happened to 70s glam rock star brian slade , a fictitious rock star , who faked his own death on stage , bringing the end not only to his career but to the entire glam rock movement . 	in the film , a british journalist in the 80s , arthur stuart ( christian bale ) , is asked to go back and find out what happened to 70s glam rock star brian slade , a fictitious rock star , who faked his own death on stage , bringing the end not only to his career but to the entire glam rock movement .	2	-3	 in[0] the[0] film[0] a[0] british[0] journalist[0] in[0] the[0] 80s[0] arthur[0] stuart[0] christian[0] bale[0] is[0] asked[0] to[0] go[0] back[0] and[0] find[0] out[0] what[0] happened[0] to[0] 70s[0] glam[0] rock[1] star[0] brian[0] slade[0] a[0] fictitious[0] rock[1] star[0] who[0] faked[-1] his[0] own[0] death[-2] on[0] stage[0] bringing[0] the[0] end[0] not[0] only[0] to[0] his[0] career[0] but[0] to[0] the[0] entire[0] glam[0] rock[1] movement[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
structure-wise , this totally steals from " kane , " not only from the set-up ( he interviews three people , and the story is a result of their flashbacks ) , but in other things , like the beginning ( death , then newsreel ) , and smaller details , like the bitter ex-friend in a wheelchair and the bitter ex-wife as a washed-up lounge singer , found in a bar after hours . 	structure-wise , this totally steals from " kane , " not only from the set-up ( he interviews three people , and the story is a result of their flashbacks ) , but in other things , like the beginning ( death , then newsreel ) , and smaller details , like the bitter ex-friend in a wheelchair and the bitter ex-wife as a washed-up lounge singer , found in a bar after hours .	2	-4	 structure[0] wise[0] this[0] totally[0] steals[-2][-1 LastWordBoosterStrength] from[0] kane[0] not[0] only[0] from[0] the[0] set[0] up[0] he[0] interviews[0] three[0] people[0] and[0] the[0] story[0] is[0] a[0] result[0] of[0] their[0] flashbacks[0] but[0] in[0] other[0] things[0] like[1] the[0] beginning[0] death[-2] then[0] newsreel[0] and[0] smaller[0] details[0] like[1] the[0] bitter[-1] ex[0] friend[1] in[0] a[0] wheelchair[0] and[0] the[0] bitter[-1] ex[0] wife[0] as[0] a[0] washed[0] up[0] lounge[0] singer[0] found[0] in[0] a[0] bar[0] after[0] hours[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this is no " kane , " and it really doesn't aspire to be : it doesn't attempt to be the deep outlook of something gone like " kane " did , and it doesn't really uncover anything poignant about humanity . 	this is no " kane , " and it really doesn't aspire to be : it doesn't attempt to be the deep outlook of something gone like " kane " did , and it doesn't really uncover anything poignant about humanity .	2	-1	 this[0] is[0] no[0] kane[0] and[0] it[0] really[0] doesn't[0] aspire[0] to[0] be[0] it[0] doesn't[0] attempt[0] to[0] be[0] the[0] deep[0] outlook[0] of[0] something[0] gone[0] like[1] kane[0] did[0] and[0] it[0] doesn't[0] really[0] uncover[0] anything[0] poignant[0] about[0] humanity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead , it uses the flashbacks as a form of contrast between the magic that was the glam rock era and the boredom that was life after glam rock for those who were participants . 	instead , it uses the flashbacks as a form of contrast between the magic that was the glam rock era and the boredom that was life after glam rock for those who were participants .	2	-2	 instead[0] it[0] uses[0] the[0] flashbacks[0] as[0] a[0] form[0] of[0] contrast[0] between[0] the[0] magic[0] that[0] was[0] the[0] glam[0] rock[1] era[0] and[0] the[0] boredom[-1] that[0] was[0] life[0] after[0] glam[0] rock[1] for[0] those[0] who[0] were[0] participants[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the 80s scenes are dry and deliriously melancholy , equipped with a performance by bale that is perhaps appropriately dull and unengaging . 	the 80s scenes are dry and deliriously melancholy , equipped with a performance by bale that is perhaps appropriately dull and unengaging .	1	-4	 the[0] 80s[0] scenes[0] are[0] dry[0] and[0] deliriously[0] melancholy[-3] equipped[0] with[0] a[0] performance[0] by[0] bale[0] that[0] is[0] perhaps[0] appropriately[0] dull[-1] and[0] unengaging[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
