 ( note : there are spoilers regarding the film's climax ; the election , of course ) 	Translation	Positive	Negative	EmotionRationale
we see matthew broderick , a man torn to a primal state ; he's been unfaithful to his wife , lied to and manipulated his students , and by the same token they've demeaned his masculinity , his self-respect , his desperate attempt at changing the world . 	we see matthew broderick , a man torn to a primal state ; he's been unfaithful to his wife , lied to and manipulated his students , and by the same token they've demeaned his masculinity , his self-respect , his desperate attempt at changing the world .	3	-3	 we[0] see[0] matthew[0] broderick[0] a[0] man[0] torn[0] to[0] a[0] primal[0] state[0] he's[0] been[0] unfaithful[-1] to[0] his[0] wife[0] lied[-2] to[0] and[0] manipulated[-1] his[0] students[0] and[0] by[0] the[0] same[0] token[0] they've[0] demeaned[-1] his[0] masculinity[0] his[0] self[0] respect[2] his[0] desperate[-2] attempt[0] at[0] changing[0] the[0] world[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and yet , he equates the cause of his pain , his torment , with tracy flick ( reese witherspoon ) . 	and yet , he equates the cause of his pain , his torment , with tracy flick ( reese witherspoon ) .	1	-4	 and[0] yet[0] he[0] equates[0] the[0] cause[0] of[0] his[0] pain[-3] his[0] torment[-1] with[0] tracy[0] flick[0] reese[0] witherspoon[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
no matter how many students have come and gone , and disappointed him as an educator , she's the real threat . 	no matter how many students have come and gone , and disappointed him as an educator , she's the real threat .	1	-3	 no[0] matter[0] how[0] many[0] students[0] have[0] come[0] and[0] gone[0] and[0] disappointed[-1] him[0] as[0] an[0] educator[0] she's[0] the[0] real[0] threat[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
about to give in , and divulge that she's won by only a lone vote , broderick's mccalister turns in defeat , sees tracy's euphoric celebration in the outside corridor and says , 'no' . 	about to give in , and divulge that she's won by only a lone vote , broderick's mccalister turns in defeat , sees tracy's euphoric celebration in the outside corridor and says , 'no' .	2	-2	 about[0] to[0] give[0] in[0] and[0] divulge[0] that[0] she's[0] won[0] by[0] only[0] a[0] lone[-1] vote[0] broderick's[0] mccalister[0] turns[0] in[0] defeat[0] sees[0] tracy's[0] euphoric[0] celebration[1] in[0] the[0] outside[0] corridor[0] and[0] says[0] 'no'[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the fact that he simultaneously lusts after her ideologically further illustrates that freudian foundation of entitlement which all men , no matter how obscure , have in their relationships ; a traditional expectation of success , to usurp and surpass women as a proverbial industry . 	the fact that he simultaneously lusts after her ideologically further illustrates that freudian foundation of entitlement which all men , no matter how obscure , have in their relationships ; a traditional expectation of success , to usurp and surpass women as a proverbial industry .	3	-2	 the[0] fact[0] that[0] he[0] simultaneously[0] lusts[0] after[0] her[0] ideologically[0] further[0] illustrates[0] that[0] freudian[0] foundation[0] of[0] entitlement[0] which[0] all[0] men[0] no[0] matter[0] how[0] obscure[0] have[0] in[0] their[0] relationships[0] a[0] traditional[0] expectation[0] of[0] success[2] to[0] usurp[-1] and[0] surpass[0] women[0] as[0] a[0] proverbial[0] industry[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she can't go higher than him . 	she can't go higher than him .	1	-1	 she[0] can't[0] go[0] higher[0] than[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he won't allow it . 	he won't allow it .	1	-1	 he[0] won't[0] allow[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what's amazing about " election " is that every word of that criticism is drawn from a rather opaque metaphor . 	and what's amazing about " election " is that every word of that criticism is drawn from a rather opaque metaphor .	3	-2	 and[0] what's[0] amazing[2] about[0] election[0] is[0] that[0] every[0] word[0] of[0] that[0] criticism[-1] is[0] drawn[0] from[0] a[0] rather[0] opaque[0] metaphor[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
early in the film we learn that tracy was romantically , and then sexually , involved with a now departed teacher . 	early in the film we learn that tracy was romantically , and then sexually , involved with a now departed teacher .	4	-1	 early[0] in[0] the[0] film[0] we[0] learn[0] that[0] tracy[0] was[0] romantically[3] and[0] then[0] sexually[0] involved[0] with[0] a[0] now[0] departed[0] teacher[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it's like payne and taylor , his co-screenwriter , have taken tracy , a girl desperate for friendship , loyalty , and almost perversely drawn the mythological pattern of kids who were so utterly rejected by their peers , that they found sitting at the teachers' lunch table more fitting , to an unlikely extreme with her as the protagonist . 	it's like payne and taylor , his co-screenwriter , have taken tracy , a girl desperate for friendship , loyalty , and almost perversely drawn the mythological pattern of kids who were so utterly rejected by their peers , that they found sitting at the teachers' lunch table more fitting , to an unlikely extreme with her as the protagonist .	2	-3	 it's[0] like[1] payne[0] and[0] taylor[0] his[0] co[0] screenwriter[0] have[0] taken[0] tracy[0] a[0] girl[0] desperate[-2] for[0] friendship[1] loyalty[1] and[0] almost[0] perversely[-1] drawn[0] the[0] mythological[0] pattern[0] of[0] kids[0] who[0] were[0] so[0] utterly[0] rejected[-1] by[0] their[0] peers[0] that[0] they[0] found[0] sitting[0] at[0] the[0] teachers'[0] lunch[0] table[0] more[0] fitting[0] to[0] an[0] unlikely[0] extreme[0] with[0] her[0] as[0] the[0] protagonist[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
