although many people have compared this new gangster comedy to the hit hbo drama 'the sopranos , ' analyze this is witty and entertaining enough to be a good movie in it's own right . 	Translation	Positive	Negative	EmotionRationale
billy crystal plays wiseguy shrink ben sobol , who new 'patient' happens to be gangster boss paul vitti ( de niro . ) 	billy crystal plays wiseguy shrink ben sobol , who new 'patient' happens to be gangster boss paul vitti ( de niro .<br> )	2	-1	 billy[0] crystal[0] plays[1] wiseguy[0] shrink[0] ben[0] sobol[0] who[0] new[0] 'patient'[0] happens[0] to[0] be[0] gangster[0] boss[0] paul[0] vitti[0] de[0] niro[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ben wants nothing to do with vitti , as he's about to get married to laura macnamara ( kudrow ) and having a gangster as a patient wouldn't really help . 	ben wants nothing to do with vitti , as he's about to get married to laura macnamara ( kudrow ) and having a gangster as a patient wouldn't really help .	1	-1	 ben[0] wants[0] nothing[0] to[0] do[0] with[0] vitti[0] as[0] he's[0] about[0] to[0] get[0] married[0] to[0] laura[0] macnamara[0] kudrow[0] and[0] having[0] a[0] gangster[0] as[0] a[0] patient[0] wouldn't[0] really[0] help[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but ben is soon drawn into vitti worlds , and reluctantly helps vitti to sort his life out . 	but ben is soon drawn into vitti worlds , and reluctantly helps vitti to sort his life out .	1	-2	 but[0] ben[0] is[0] soon[0] drawn[0] into[0] vitti[0] worlds[0] and[0] reluctantly[-1] helps[0] vitti[0] to[0] sort[0] his[0] life[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all done in a comic fashion , of course . 	all done in a comic fashion , of course .	1	-1	 all[0] done[0] in[0] a[0] comic[0] fashion[0] of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although never brilliant , analyze this is also never rubbish , which makes for a fun ride . 	although never brilliant , analyze this is also never rubbish , which makes for a fun ride .	3	-2	 although[0] never[0] brilliant[1][NegatedDueToPreviousWord] analyze[0] this[0] is[0] also[0] never[0] rubbish[-2][NegatedDueToPreviousWord] which[0] makes[0] for[0] a[0] fun[1] ride[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
billy crystal , who hasn't had a good role since city slickers way back in the early '90's , is given a role that lets him fully exploit his wiseguy act . 	billy crystal , who hasn't had a good role since city slickers way back in the early '90's , is given a role that lets him fully exploit his wiseguy act .	2	-1	 billy[0] crystal[0] who[0] hasn't[0] had[0] a[0] good[1] role[0] since[0] city[0] slickers[0] way[0] back[0] in[0] the[0] early[0] '90's[0] is[0] given[0] a[0] role[0] that[0] lets[0] him[0] fully[0] exploit[0] his[0] wiseguy[0] act[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's pretty funny while he does it , and although his character is a little close to his character in city slickers , he's pretty funny . 	he's pretty funny while he does it , and although his character is a little close to his character in city slickers , he's pretty funny .	3	-1	 he's[0] pretty[2] funny[1] while[0] he[0] does[0] it[0] and[0] although[0] his[0] character[0] is[0] a[0] little[0] close[0] to[0] his[0] character[0] in[0] city[0] slickers[0] he's[0] pretty[2] funny[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
robert de niro is hilarious as vitti , playing it dead straight but coming off as really funny . 	robert de niro is hilarious as vitti , playing it dead straight but coming off as really funny .	3	-3	 robert[0] de[0] niro[0] is[0] hilarious[2] as[0] vitti[0] playing[1] it[0] dead[-2] straight[0] but[0] coming[0] off[0] as[0] really[0] funny[1][1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he's a serious gangster unaware that he is a comic gold mine . 	he's a serious gangster unaware that he is a comic gold mine .	1	-2	 he's[0] a[0] serious[-1] gangster[0] unaware[0] that[0] he[0] is[0] a[0] comic[0] gold[0] mine[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lisa kudrow , barely seen as crystals' estranged wife to be , basically reprises her phoebe role from t . v series friends , which is getting rather tiresome , and doesn't come off well on the screen . 	lisa kudrow , barely seen as crystals' estranged wife to be , basically reprises her phoebe role from t .<br> v series friends , which is getting rather tiresome , and doesn't come off well on the screen .	2	-2	 lisa[0] kudrow[0] barely[0] seen[0] as[0] crystals'[0] estranged[-1] wife[0] to[0] be[0] basically[0] reprises[0] her[0] phoebe[0] role[0] from[0] t[0] [[Sentence=-2,1=word max, 1-5]] v[0] series[0] friends[1] which[0] is[0] getting[0] rather[0] tiresome[-1] and[0] doesn't[0] come[0] off[0] well[0] on[0] the[0] screen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
