quaid stars as a man who has taken up the proffesion of dragonslayer after he feels he is betrayed by a dragon early in the movie . 	Translation	Positive	Negative	EmotionRationale
he runs into the last dragon in existence , and there is a genuinely amusing battle between the two which results in a standoff where quaid is in the dragons mouth , but has his sword pointed at the dragons brain . 	he runs into the last dragon in existence , and there is a genuinely amusing battle between the two which results in a standoff where quaid is in the dragons mouth , but has his sword pointed at the dragons brain .	2	-2	 he[0] runs[0] into[0] the[0] last[0] dragon[0] in[0] existence[0] and[0] there[0] is[0] a[0] genuinely[0] amusing[1] battle[-1] between[0] the[0] two[0] which[0] results[0] in[0] a[0] standoff[0] where[0] quaid[0] is[0] in[0] the[0] dragons[0] mouth[0] but[0] has[0] his[0] sword[0] pointed[0] at[0] the[0] dragons[0] brain[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
eventually , they decide to call a truce , and they work out a deal . 	eventually , they decide to call a truce , and they work out a deal .	1	-1	 eventually[0] they[0] decide[0] to[0] call[0] a[0] truce[0] and[0] they[0] work[0] out[0] a[0] deal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since he is the last dragon , he will pretend to die and quaid will be able to get paid for it . 	since he is the last dragon , he will pretend to die and quaid will be able to get paid for it .	1	-2	 since[0] he[0] is[0] the[0] last[0] dragon[0] he[0] will[0] pretend[-1] to[0] die[0] and[0] quaid[0] will[0] be[0] able[0] to[0] get[0] paid[0] for[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
their scam works at first , until they come to a town without any money . 	their scam works at first , until they come to a town without any money .	1	-1	 their[0] scam[0] works[0] at[0] first[0] until[0] they[0] come[0] to[0] a[0] town[0] without[0] any[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead the town sacrifices a girl to the dragon , but of course , draco is a nice droagon , so he won't eat her . there is however a very amusing scene where draco is hitting on the young girl . 	instead the town sacrifices a girl to the dragon , but of course , draco is a nice droagon , so he won't eat her .<br> there is however a very amusing scene where draco is hitting on the young girl .	3	-1	 instead[0] the[0] town[0] sacrifices[0] a[0] girl[0] to[0] the[0] dragon[0] but[0] of[0] course[0] draco[0] is[0] a[0] nice[1] droagon[0] so[0] he[0] won't[0] eat[0] her[0] [[Sentence=-1,2=word max, 1-5]] there[0] is[0] however[0] a[0] very[0] amusing[1][1 LastWordBoosterStrength] scene[0] where[0] draco[0] is[0] hitting[0] on[0] the[0] young[0] girl[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
of course , as you can probably tell by the plot , this is a silly movie , but it does know when to take itself seriously at the right times , unlike eddie , which was serious all the time . 	of course , as you can probably tell by the plot , this is a silly movie , but it does know when to take itself seriously at the right times , unlike eddie , which was serious all the time .	1	-2	 of[0] course[0] as[0] you[0] can[0] probably[0] tell[0] by[0] the[0] plot[0] this[0] is[0] a[0] silly[-1] movie[0] but[0] it[0] does[0] know[0] when[0] to[0] take[0] itself[0] seriously[0] at[0] the[0] right[0] times[0] unlike[0] eddie[0] which[0] was[0] serious[-1] all[0] the[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you could probably call this a medieval comedy , because there are more laughs here than in eddie and spy hard combined . 	you could probably call this a medieval comedy , because there are more laughs here than in eddie and spy hard combined .	2	-1	 you[0] could[0] probably[0] call[0] this[0] a[0] medieval[0] comedy[0] because[0] there[0] are[0] more[0] laughs[1] here[0] than[0] in[0] eddie[0] and[0] spy[0] hard[0] combined[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dennis quaid makes a fine hero . 	dennis quaid makes a fine hero .	4	-1	 dennis[0] quaid[0] makes[0] a[0] fine[2] hero[2][+1 MultiplePositiveWords] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
pete posthlewaite provides some ghreat comedy as a monk who journeys with them . 	pete posthlewaite provides some ghreat comedy as a monk who journeys with them .	1	-1	 pete[0] posthlewaite[0] provides[0] some[0] ghreat[0] comedy[0] as[0] a[0] monk[0] who[0] journeys[0] with[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dina meyer is appealing as the sacrificed girl . 	dina meyer is appealing as the sacrificed girl .	1	-1	 dina[0] meyer[0] is[0] appealing[0] as[0] the[0] sacrificed[0] girl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
