vampire films , as well as other horror films , are usually dumb and predictable b-movies , meant to scare us by cliches and simple shocks . 	Translation	Positive	Negative	EmotionRationale
it is therefore interesting to watch neil jordans recent film that is not only visually stunning , but has also a plot worth making movies about . 	it is therefore interesting to watch neil jordans recent film that is not only visually stunning , but has also a plot worth making movies about .	2	-1	 it[0] is[0] therefore[0] interesting[1] to[0] watch[0] neil[0] jordans[0] recent[0] film[0] that[0] is[0] not[0] only[0] visually[0] stunning[0] but[0] has[0] also[0] a[0] plot[0] worth[0] making[0] movies[0] about[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
based on anne rice's novel , " interview with a vampire " is a long , dark trip to hell . 	based on anne rice's novel , " interview with a vampire " is a long , dark trip to hell .	1	-2	 based[0] on[0] anne[0] rice's[0] novel[0] interview[0] with[0] a[0] vampire[0] is[0] a[0] long[0] dark[0] trip[0] to[0] hell[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film opens with gothic quire and dark streets of present-day san francisco . 	the film opens with gothic quire and dark streets of present-day san francisco .	1	-1	 the[0] film[0] opens[0] with[0] gothic[0] quire[0] and[0] dark[0] streets[0] of[0] present[0] day[0] san[0] francisco[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the camera slowly find particular window . 	the camera slowly find particular window .	1	-1	 the[0] camera[0] slowly[0] find[0] particular[0] window[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a shape of a young man is visible in the darkness . 	a shape of a young man is visible in the darkness .	1	-1	 a[0] shape[0] of[0] a[0] young[0] man[0] is[0] visible[0] in[0] the[0] darkness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " so you want me to tell you the story of my life ? " . 	 " so you want me to tell you the story of my life ?<br> " .	1	-1	 so[0] you[0] want[0] me[0] to[0] tell[0] you[0] the[0] story[0] of[0] my[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mysterious man is louis ( brad pitt ) , a two-century old vampire , telling his story to a fascinated interviewer ( christian slater ) . 	the mysterious man is louis ( brad pit ) , a two-century old vampire , telling his story to a fascinated interviewer ( christian slater ) .	1	-1	 the[0] mysterious[0] man[0] is[0] louis[0] brad[0] pitt/pit[0] a[0] two[0] century[0] old[0] vampire[0] telling[0] his[0] story[0] to[0] a[0] fascinated[0] interviewer[0] christian[0] slater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his tale opens in 1791 louisiana , just south of new orleans , where louis falls victim to the vampire lestat ( tom cruise ) . 	his tale opens in 1791 louisiana , just south of new orleans , where louis falls victim to the vampire lestat ( tom cruise ) .	1	-3	 his[0] tale[0] opens[0] in[0] 1791[0] louisiana[0] just[0] south[0] of[0] new[0] orleans[0] where[0] louis[0] falls[0] victim[-2] to[0] the[0] vampire[0] lestat[0] tom[0] cruise[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
given a choice between death and eternal life as one of the undead , louis chooses the latter , a decision he will forever regret . 	given a choice between death and eternal life as one of the undead , louis chooses the latter , a decision he will forever regret .	1	-3	 given[0] a[0] choice[0] between[0] death[-2] and[0] eternal[0] life[0] as[0] one[0] of[0] the[0] undead[0] louis[0] chooses[0] the[0] latter[0] a[0] decision[0] he[0] will[0] forever[0] regret[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
everlasting life and eternal youth , promised to him by lestat , turn instead into never ending suffering , damned to eternal hunger for blood and longing for peace . 	everlasting life and eternal youth , promised to him by lestat , turn instead into never ending suffering , damned to eternal hunger for blood and longing for peace .	4	-3	 everlasting[0] life[0] and[0] eternal[0] youth[0] promised[1] to[0] him[0] by[0] lestat[0] turn[0] instead[0] into[0] never[0] ending[0] suffering[-3][NegatedDueToPreviousWord] damned[-1] to[0] eternal[0] hunger[-1] for[0] blood[0] and[0] longing[-2] for[0] peace[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
