the opening crawl tells us that the galaxy is in turmoil over the taxation of trade routes , and the greedy trade federation has used it's armada of powerful space battleships to blockade the planet naboo . 	Translation	Positive	Negative	EmotionRationale
we soon find that the federation plans to invade the planet with an enormous army of warrior robots and force naboo's ruler , the young queen amidala ( natalie portman ) to sign a treaty giving the federation control . 	we soon find that the federation plans to invade the planet with an enormous army of warrior robots and force naboo's ruler , the young queen amidala ( natalie portman ) to sign a treaty giving the federation control .	1	-2	 we[0] soon[0] find[0] that[0] the[0] federation[0] plans[0] to[0] invade[-1] the[0] planet[0] with[0] an[0] enormous[0] army[0] of[0] warrior[0] robots[0] and[0] force[-1] naboo's[0] ruler[0] the[0] young[0] queen[0] amidala[0] natalie[0] portman[0] to[0] sign[0] a[0] treaty[0] giving[0] the[0] federation[0] control[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , the galactic republic has sent jedi knights qui-gon jinn ( liam neeson ) and obi-wan kenobi ( ewan mcgregor ) as emissaries to the federation in order to negotiate for the ending of the blockade . 	however , the galactic republic has sent jedi knights qui-gon jin ( liam neeson ) and obi-wan kenobi ( ewan mcgregor ) as emissaries to the federation in order to negotiate for the ending of the blockade .	1	-2	 however[0] the[0] galactic[0] republic[0] has[0] sent[0] jedi[0] knights[0] qui[0] gon[0] jinn/jin[0] liam[0] neeson[0] and[0] obi[0] wan[0] kenobi[0] ewan[0] mcgregor[0] as[0] emissaries[0] to[0] the[0] federation[0] in[0] order[0] to[0] negotiate[0] for[0] the[0] ending[0] of[0] the[0] blockade[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no sooner do they arrive than the federation leaders are instructed via holographic transmission by a mysterious cloaked figure to destroy the jedi , and the first battle begins . 	no sooner do they arrive than the federation leaders are instructed via holographic transmission by a mysterious cloaked figure to destroy the jedi , and the first battle begins .	1	-3	 no[0] sooner[0] do[0] they[0] arrive[0] than[0] the[0] federation[0] leaders[0] are[0] instructed[0] via[0] holographic[0] transmission[0] by[0] a[0] mysterious[0] cloaked[0] figure[0] to[0] destroy[-2] the[0] jedi[0] and[0] the[0] first[0] battle[-1] begins[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it seems that for me and thousands of people like me , the love for george lucas's trilogy of star wars movies has only grown over time . 	it seems that for me and thousands of people like me , the love for george lucas's trilogy of star wars movies has only grown over time .	3	-3	 it[0] seems[0] that[0] for[0] me[0] and[0] thousands[0] of[0] people[0] like[1] me[0] the[0] love[2] for[0] george[0] lucas's[0] trilogy[0] of[0] star[0] wars[-2] movies[0] has[0] only[0] grown[0] over[0] time[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
we're the fans , not the freaks . 	we're the fans , not the freaks .	2	-1	 we're[0] the[0] fans[0] not[0] the[0] freaks[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we won't go dressing up like darth vader ( although you have to admit those imperial uniforms are pretty darn cool ) , and we won't incorporate lines from the script in our everyday conversations ( not all the time , anyway ) , but if someone wants to challenge us to a little trivia contest , we're throwing down . 	we won't go dressing up like darth vader ( although you have to admit those imperial uniforms are pretty darn cool ) , and we won't incorporate lines from the script in our everyday conversations ( not all the time , anyway ) , but if someone wants to challenge us to a little trivia contest , we're throwing down .	3	-2	 we[0] won't[0] go[0] dressing[0] up[0] like[1] darth[0] vader[0] although[0] you[0] have[0] to[0] admit[0] those[0] imperial[0] uniforms[0] are[0] pretty[2] darn[-1] cool[1] and[0] we[0] won't[0] incorporate[0] lines[0] from[0] the[0] script[0] in[0] our[0] everyday[0] conversations[0] not[0] all[0] the[0] time[0] anyway[0] but[0] if[0] someone[0] wants[0] to[0] challenge[-1] us[0] to[0] a[0] little[0] trivia[-1] contest[0] we're[0] throwing[0] down[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
all right , stop looking at me like that . 	all right , stop looking at me like that .	2	-1	 all[0] right[0] stop[0] looking[0] at[0] me[0] like[1] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we have been faithfully and patiently waiting . 	we have been faithfully and patiently waiting .	2	-1	 we[0] have[0] been[0] faithfully[1] and[0] patiently[0] waiting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
waiting for this movie ever since the end credits of return of the jedi started to roll . 	waiting for this movie ever since the end credits of return of the jedi started to roll .	1	-1	 waiting[0] for[0] this[0] movie[0] ever[0] since[0] the[0] end[0] credits[0] of[0] return[0] of[0] the[0] jedi[0] started[0] to[0] roll[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you see , the trilogy is not just a set of movies , but a religion of sorts to we , the faithful disciples , and the phantom menace is tantamount to the second coming of the messiah . 	you see , the trilogy is not just a set of movies , but a religion of sorts to we , the faithful disciples , and the phantom menace is tantamount to the second coming of the messiah .	2	-3	 you[0] see[0] the[0] trilogy[0] is[0] not[0] just[0] a[0] set[0] of[0] movies[0] but[0] a[0] religion[0] of[0] sorts[0] to[0] we[0] the[0] faithful[1] disciples[0] and[0] the[0] phantom[0] menace[-2] is[0] tantamount[0] to[0] the[0] second[0] coming[0] of[0] the[0] messiah[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
