robocop is an intelligent science fiction thriller and social satire , one with class and style . 	Translation	Positive	Negative	EmotionRationale
the film , set in old detroit in the year 1991 , stars peter weller as murphy , a lieutenant on the city's police force . 	the film , set in old detroit in the year 1991 , stars peter weller as murphy , a lieutenant on the city's police force .	2	-2	 the[0] film[0] set[0] in[0] old[0] detroit[0] in[0] the[0] year[0] 1991[0] stars[0] peter[0] weller[1] as[0] murphy[0] a[0] lieutenant[0] on[0] the[0] city's[0] police[0] force[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
1991's detroit suffers from rampant crime and a police department run by a private contractor ( security concepts inc . ) whose employees ( the cops ) are threatening to strike . 	1991's detroit suffers from rampant crime and a police department run by a private contractor ( security concepts inc .<br> ) whose employees ( the cops ) are threatening to strike .	2	-4	 1991's[0] detroit[0] suffers[-3] from[0] rampant[-1] crime[-1] and[0] a[0] police[0] department[0] run[0] by[0] a[0] private[0] contractor[0] security[1] concepts[0] inc[0] [[Sentence=-4,2=word max, 1-5]] whose[0] employees[0] the[0] cops[0] are[0] threatening[-2] to[0] strike[-1] [[Sentence=-3,1=word max, 1-5]][[[2,-4 max of sentences]]]
to make matters worse , a savage group of cop-killers has been terrorizing the city . 	to make matters worse , a savage group of cop-killers has been terrorizing the city .	1	-3	 to[0] make[0] matters[0] worse[-2] a[0] savage[-2] group[0] of[0] cop[0] killers[0] has[0] been[0] terrorizing[-2] the[0] city[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
on murphy's first day of duty , after his transfer from another precinct , these cop-killers brutally murder him by shooting off his limbs one by one . 	on murphy's first day of duty , after his transfer from another precinct , these cop-killers brutally murder him by shooting off his limbs one by one .	1	-5	 on[0] murphy's[0] first[0] day[0] of[0] duty[-1] after[0] his[0] transfer[0] from[0] another[0] precinct[0] these[0] cop[0] killers[0] brutally[-2] murder[-3][-1 MultiplePositiveWords] him[0] by[0] shooting[-1] off[0] his[0] limbs[0] one[0] by[0] one[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
 ( orion pictures had to edit this extremely graphic scene in order to get an r rating from the m . p . a . a . ) 	 ( orion pictures had to edit this extremely graphic scene in order to get an are rating from the m .<br> p .<br> a .<br> a .<br> )	1	-1	 orion[0] pictures[0] had[0] to[0] edit[0] this[0] extremely[0] graphic[0] scene[0] in[0] order[0] to[0] get[0] an[0] r[0] rating[0] from[0] the[0] m[0] [[Sentence=-1,1=word max, 1-5]] p[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after the emergency room staff at the hospital cannot save murphy and declare him clinically dead , s . c . i . 	after the emergency room staff at the hospital cannot save murphy and declare him clinically dead , s .<br> c .<br> i .	1	-3	 after[0] the[0] emergency[-1] room[0] staff[0] at[0] the[0] hospital[0] cannot[0] save[1][NegatedDueToPreviousWord] murphy[0] and[0] declare[0] him[0] clinically[0] dead[-2] s[0] [[Sentence=-3,1=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
recruits his remains for their new " robocop " program . 	recruits his remains for their new " robocop " program .	1	-1	 recruits[0] his[0] remains[0] for[0] their[0] new[0] robocop[0] program[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
using the remains of murphy's body as a foundation , their scientists build a cyborg , made of both flesh and metal . 	using the remains of murphy's body as a foundation , their scientists build a cyborg , made of both flesh and metal .	1	-1	 using[0] the[0] remains[0] of[0] murphy's[0] body[0] as[0] a[0] foundation[0] their[0] scientists[0] build[0] a[0] cyborg[0] made[0] of[0] both[0] flesh[0] and[0] metal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cyborg ( robocop ) is half human ( murphy ) and half robot ; the s . c . i . 	the cyborg ( robocop ) is half human ( murphy ) and half robot ; the s .<br> c .<br> i .	1	-1	 the[0] cyborg[0] robocop[0] is[0] half[0] human[0] murphy[0] and[0] half[0] robot[0] the[0] s[0] [[Sentence=-1,1=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
engineers have erased murphy's memory and replaced it with a computer program ( or so they think ) . 	engineers have erased murphy's memory and replaced it with a computer program ( or so they think ) .	1	-2	 engineers[0] have[0] erased[-1] murphy's[0] memory[0] and[0] replaced[0] it[0] with[0] a[0] computer[0] program[0] or[0] so[0] they[0] think[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with his lightning quick reflexes , immense strength , and impenetrable armor , s . c . i . 	with his lightning quick reflexes , immense strength , and impenetrable armor , s .<br> c .<br> i .	1	-1	 with[0] his[0] lightning[0] quick[0] reflexes[0] immense[0] strength[0] and[0] impenetrable[0] armor[0] s[0] [[Sentence=-1,1=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
envisions robocop as an indestructible super-cop : the solution to detroit's problems . 	envisions robocop as an indestructible super-cop : the solution to detroit's problems .	3	-2	 envisions[0] robocop[0] as[0] an[0] indestructible[0] super[2] cop[0] the[0] solution[0] to[0] detroit's[0] problems[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the remainder of the plot follows robocop's crime-foiling and vengeance on his murderers . 	the remainder of the plot follows robocop's crime-foiling and vengeance on his murderers .	1	-4	 the[0] remainder[0] of[0] the[0] plot[0] follows[0] robocop's[0] crime[-1] foiling[0] and[0] vengeance[-2] on[0] his[0] murderers[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as a science fiction action-thriller , robocop is extremely effective . 	as a science fiction action-thriller , robocop is extremely effective .	2	-1	 as[0] a[0] science[0] fiction[0] action[0] thriller[1] robocop[0] is[0] extremely[0] effective[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dutch director paul verhoeven combines gritty action with suspense , shocking gore , and spectacular special effects . 	dutch director paul verhoeven combines gritty action with suspense , shocking gore , and spectacular special effects .	2	-3	 dutch[0] director[0] paul[0] verhoeven[0] combines[0] gritty[0] action[0] with[0] suspense[0] shocking[-2] gore[0] and[0] spectacular[0] special[1] effects[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
several sequences in the film , such as the one in which robocop employs his extremely precise aim to stop a rapist , are destined to become cult-classics . 	several sequences in the film , such as the one in which robocop employs his extremely precise aim to stop a rapist , are destined to become cult-classics .	1	-4	 several[0] sequences[0] in[0] the[0] film[0] such[0] as[0] the[0] one[0] in[0] which[0] robocop[0] employs[0] his[0] extremely[0] precise[0] aim[0] to[0] stop[0] a[0] rapist[-3] are[0] destined[0] to[0] become[0] cult[0] classics[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
because robocop is so visually and emotionally rousing , it demands to be seen on a large screen with an audience--in other words , in a movie theater . 	because robocop is so visually and emotionally rousing , it demands to be seen on a large screen with an audience-in other words , in a movie theater .	1	-1	 because[0] robocop[0] is[0] so[0] visually[0] and[0] emotionally[0] rousing[0] it[0] demands[0] to[0] be[0] seen[0] on[0] a[0] large[0] screen[0] with[0] an[0] audience[0] in[0] other[0] words[0] in[0] a[0] movie[0] theater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the special effects and action are exciting , they do not by themselves set robocop apart from other films in the genre . 	although the special effects and action are exciting , they do not by themselves set robocop apart from other films in the genre .	3	-1	 although[0] the[0] special[1] effects[0] and[0] action[0] are[0] exciting[2] they[0] do[0] not[0] by[0] themselves[0] set[0] robocop[0] apart[0] from[0] other[0] films[0] in[0] the[0] genre[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
