after the press screening of " moulin rouge , " i stood in the lobby of the theater listening to the reactions of my friends and colleagues . 	Translation	Positive	Negative	EmotionRationale
everyone seemed a bit numb , understandable after sitting through a barrage of often-incongruous sounds and images . 	everyone seemed a bit numb , understandable after sitting through a barrage of often-incongruous sounds and images .	1	-2	 everyone[0] seemed[0] a[0] bit[0] numb[-1] understandable[0] after[0] sitting[0] through[0] a[0] barrage[0] of[0] often[0] incongruous[0] sounds[0] and[0] images[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a pal of mine simply said that he loved the film and could hardly wait to take his wife to see it . 	a pal of mine simply said that he loved the film and could hardly wait to take his wife to see it .	4	-1	 a[0] pal[0] of[0] mine[0] simply[0] said[0] that[0] he[0] loved[3] the[0] film[0] and[0] could[0] hardly[0] wait[0] to[0] take[0] his[0] wife[0] to[0] see[0] it[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
another enthusiast immediately began to analyze the production , while a woman who flat-out hated the movie gave him the skunk eye . 	another enthusiast immediately began to analyze the production , while a woman who flat-out hated the movie gave him the skunk eye .	3	-4	 another[0] enthusiast[2] immediately[0] began[0] to[0] analyze[0] the[0] production[0] while[0] a[0] woman[0] who[0] flat[0] out[0] hated[-3] the[0] movie[0] gave[0] him[0] the[0] skunk[0] eye[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
when one fellow quietly stated " i've never really been a fan of musicals , " the statement surprised me because , even though the story is told almost completely through song , i didn't think of it as a musical . 	when one fellow quietly stated " i've never really been a fan of musicals , " the statement surprised me because , even though the story is told almost completely through song , i didn't think of it as a musical .	1	-1	 when[0] one[0] fellow[0] quietly[0] stated[0] i've[0] never[0] really[0] been[0] a[0] fan[0] of[0] musicals[0] the[0] statement[0] surprised[0] me[0] because[0] even[0] though[0] the[0] story[0] is[0] told[0] almost[0] completely[0] through[0] song[0] i[0] didn't[0] think[0] of[0] it[0] as[0] a[0] musical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is so much going on in " moulin rouge " that " musical " seems too small a term to cover it . 	there is so much going on in " moulin rouge " that " musical " seems too small a term to cover it .	1	-1	 there[0] is[0] so[0] much[0] going[0] on[0] in[0] moulin[0] rouge[0] that[0] musical[0] seems[0] too[0] small[0] a[0] term[0] to[0] cover[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " moulin rouge " is the kind of creation that sends critics scurrying off to the big tub o' adjectives in search of proper words to describe the experience . 	 " moulin rouge " is the kind of creation that sends critics scurrying off to the big tub o' adjectives in search of proper words to describe the experience .	2	-1	 moulin[0] rouge[0] is[0] the[0] kind[1] of[0] creation[0] that[0] sends[0] critics[0] scurrying[0] off[0] to[0] the[0] big[0] tub[0] o'[0] adjectives[0] in[0] search[0] of[0] proper[0] words[0] to[0] describe[0] the[0] experience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
australian director baz luhrmann , the man behind " strictly ballroom " and " romeo   juliet , " fills the heads of viewers with unique camerawork , opulent imagery and songs ranging from " the sound of music " to " smells like teen spirit . " 	australian director baz luhrman , the man behind " strictly ballroom " and " romeo   juliet , " fills the heads of viewers with unique camerawork , opulent imagery and songs ranging from " the sound of music " to " smells like teen spirit .<br> "	2	-2	 australian[0] director[0] baz[0] luhrmann/luhrman[0] the[0] man[0] behind[0] strictly[-1] ballroom[0] and[0] romeo[0] juliet[0] fills[0] the[0] heads[0] of[0] viewers[0] with[0] unique[0] camerawork[0] opulent[0] imagery[0] and[0] songs[0] ranging[0] from[0] the[0] sound[0] of[0] music[0] to[0] smells[0] like[1] teen[0] spirit[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sumptuous and beautiful , vulgar and overdone , " moulin rogue " travels through the looking glass while an ethereal stereo loaded with 50 years worth of catchy tunes operates on the " random " setting . 	sumptuous and beautiful , vulgar and overdone , " moulin rogue " travels through the looking glass while an ethereal stereo loaded with 50 years worth of catchy tunes operates on the " random " setting .	3	-2	 sumptuous[0] and[0] beautiful[2] vulgar[-1] and[0] overdone[0] moulin[0] rogue[-1] travels[0] through[0] the[0] looking[0] glass[0] while[0] an[0] ethereal[0] stereo[0] loaded[0] with[0] 50[0] years[0] worth[0] of[0] catchy[0] tunes[0] operates[0] on[0] the[0] random[0] setting[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
oh , and it has a story as well . 	oh , and it has a story as well .	1	-1	 oh[0] and[0] it[0] has[0] a[0] story[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " it was 1899 , the summer of love . . . 	 " it was 1899 , the summer of love .<br> .<br> .	3	-1	 it[0] was[0] 1899[0] the[0] summer[0] of[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
