just in time for halloween and christmas , the reissue of the nightmare before christmas couldn't be more appropriate . 	Translation	Positive	Negative	EmotionRationale
with all of the attention thrown to " family films " in recent years , namely those starring pocket monsters and nickelodeon characters , it's high time we raised the intellectual level of children's fare as well as the animation achievements of the movie studios . 	with all of the attention thrown to " family films " in recent years , namely those starring pocket monsters and nickelodeon characters , it's high time we raised the intellectual level of children's fare as well as the animation achievements of the movie studios .	1	-1	 with[0] all[0] of[0] the[0] attention[0] thrown[0] to[0] family[0] films[0] in[0] recent[0] years[0] namely[0] those[0] starring[0] pocket[0] monsters[0] and[0] nickelodeon[0] characters[0] it's[0] high[0] time[0] we[0] raised[0] the[0] intellectual[0] level[0] of[0] children's[0] fare[0] as[0] well[0] as[0] the[0] animation[0] achievements[0] of[0] the[0] movie[0] studios[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with that in mind , it was refreshing to revisit an animation classic on the big screen that still retains the originality and freshness it had seven years ago . 	with that in mind , it was refreshing to revisit an animation classic on the big screen that still retains the originality and freshness it had seven years ago .	1	-1	 with[0] that[0] in[0] mind[0] it[0] was[0] refreshing[0] to[0] revisit[0] an[0] animation[0] classic[0] on[0] the[0] big[0] screen[0] that[0] still[0] retains[0] the[0] originality[0] and[0] freshness[0] it[0] had[0] seven[0] years[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nightmare is the story of one man's quest to discover his true purpose in life -- to look beyond the accolades of his peers , the achievements of his years , and the praise of his ego . 	nightmare is the story of one man's quest to discover his true purpose in life - to look beyond the accolades of his peers , the achievements of his years , and the praise of his ego .	3	-3	 nightmare[-2] is[0] the[0] story[0] of[0] one[0] man's[0] quest[0] to[0] discover[0] his[0] true[1] purpose[0] in[0] life[0] to[0] look[0] beyond[0] the[0] accolades[0] of[0] his[0] peers[0] the[0] achievements[0] of[0] his[0] years[0] and[0] the[0] praise[2] of[0] his[0] ego[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
jack skellington , the pumpkin king of halloweentown , is the main dude behind the halloween holiday for kids everywhere . 	jack skellington , the pumpkin king of halloweentown , is the main dude behind the halloween holiday for kids everywhere .	1	-1	 jack[0] skellington[0] the[0] pumpkin[0] king[0] of[0] halloweentown[0] is[0] the[0] main[0] dude[0] behind[0] the[0] halloween[0] holiday[0] for[0] kids[0] everywhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but during his reign as pumpkin king , jack has somehow lost his understanding of his place in the world and the magic he creates with his halloween holiday . 	but during his reign as pumpkin king , jack has somehow lost his understanding of his place in the world and the magic he creates with his halloween holiday .	1	-1	 but[0] during[0] his[0] reign[0] as[0] pumpkin[0] king[0] jack[0] has[0] somehow[0] lost[0] his[0] understanding[0] of[0] his[0] place[0] in[0] the[0] world[0] and[0] the[0] magic[0] he[0] creates[0] with[0] his[0] halloween[0] holiday[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after the completion of one particular halloween season , jack walks with a heavy heart and ends up discovering in the woods outside halloweentown a grove of trees with doors to all of the other holidays in the world . 	after the completion of one particular halloween season , jack walks with a heavy heart and ends up discovering in the woods outside halloweentown a grove of trees with doors to all of the other holidays in the world .	1	-1	 after[0] the[0] completion[0] of[0] one[0] particular[0] halloween[0] season[0] jack[0] walks[0] with[0] a[0] heavy[0] heart[0] and[0] ends[0] up[0] discovering[0] in[0] the[0] woods[0] outside[0] halloweentown[0] a[0] grove[0] of[0] trees[0] with[0] doors[0] to[0] all[0] of[0] the[0] other[0] holidays[0] in[0] the[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
imagine his surprise to discover christmastown , a far more impressive and uplifting holiday than halloween , surrounded by happy elves making toys , and with good cheer all around . 	imagine his surprise to discover christmastown , a far more impressive and uplifting holiday than halloween , surrounded by happy elves making toys , and with good cheer all around .	2	-1	 imagine[0] his[0] surprise[0] to[0] discover[0] christmastown[0] a[0] far[0] more[0] impressive[1] and[0] uplifting[0] holiday[0] than[0] halloween[0] surrounded[0] by[0] happy[1] elves[0] making[0] toys[0] and[0] with[0] good[1] cheer[1] all[0] around[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
upon his return to halloweentown , jack decides to combine halloween and christmas together by kidnapping " sandy claws , " employing all the residents of halloweentown to build toys for children . 	upon his return to halloweentown , jack decides to combine halloween and christmas together by kidnapping " sandy claws , " employing all the residents of halloweentown to build toys for children .	1	-1	 upon[0] his[0] return[0] to[0] halloweentown[0] jack[0] decides[0] to[0] combine[0] halloween[0] and[0] christmas[0] together[0] by[0] kidnapping[0] sandy[0] claws[0] employing[0] all[0] the[0] residents[0] of[0] halloweentown[0] to[0] build[0] toys[0] for[0] children[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he then aims to take over the role as primary joy-provider and gift-bearer to the children of the world , in the hopes of rediscovering the zest for life he once had . 	he then aims to take over the role as primary joy-provider and gift-bearer to the children of the world , in the hopes of rediscovering the zest for life he once had .	3	-1	 he[0] then[0] aims[0] to[0] take[0] over[0] the[0] role[0] as[0] primary[0] joy[2] provider[0] and[0] gift[0] bearer[0] to[0] the[0] children[0] of[0] the[0] world[0] in[0] the[0] hopes[1] of[0] rediscovering[0] the[0] zest[1] for[0] life[0] he[0] once[0] had[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
alas , the co-mingling of halloween and christmas creates disastrous results involving shrunken heads , psychotic wooden ducks , a sleigh pulled by a phantom dog with a lighted nose , and a large , sinister , singing bag named oogie boogie 	alas , the co-mingling of halloween and christmas creates disastrous results involving shrunken heads , psychotic wooden ducks , a sleigh pulled by a phantom dog with a lighted nose , and a large , sinister , singing bag named oogie boogie	1	-4	 alas[-1] the[0] co[0] mingling[0] of[0] halloween[0] and[0] christmas[0] creates[0] disastrous[-3] results[0] involving[0] shrunken[0] heads[0] psychotic[0] wooden[0] ducks[0] a[0] sleigh[0] pulled[0] by[0] a[0] phantom[0] dog[0] with[0] a[0] lighted[0] nose[0] and[0] a[0] large[0] sinister[-3] singing[0] bag[0] named[0] oogie[0] boogie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
