there are some works of art that are almost impossible to review , not because of their own complexity , but because of their legendary status which prevents the reviewer to say anything original . 	Translation	Positive	Negative	EmotionRationale
one of such masterpieces is casablanca , probably not the best film in the history of the seventh art , but definitely the most popular one . 	one of such masterpieces is casablanca , probably not the best film in the history of the seventh art , but definitely the most popular one .	1	-2	 one[0] of[0] such[0] masterpieces[0] is[0] casablanca[0] probably[0] not[0] the[0] best[1][NegatedDueToPreviousWord] film[0] in[0] the[0] history[0] of[0] the[0] seventh[0] art[0] but[0] definitely[0] the[0] most[0] popular[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
its popularity can be measured not in a multitude of more or less disguised remakes that were made in more than half a century since its premiere , but also in countless tributes and references that movie makers use in their works to this day . 	its popularity can be measured not in a multitude of more or less disguised remakes that were made in more than half a century since its premiere , but also in countless tributes and references that movie makers use in their works to this day .	2	-1	 its[0] popularity[1] can[0] be[0] measured[0] not[0] in[0] a[0] multitude[0] of[0] more[0] or[0] less[0] disguised[0] remakes[0] that[0] were[0] made[0] in[0] more[0] than[0] half[0] a[0] century[0] since[0] its[0] premiere[0] but[0] also[0] in[0] countless[0] tributes[0] and[0] references[0] that[0] movie[0] makers[0] use[0] in[0] their[0] works[0] to[0] this[0] day[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
casablanca is also a movie that has the very rare virtue of both being praised by the critics and loved by general audience . 	casablanca is also a movie that has the very rare virtue of both being praised by the critics and loved by general audience .	4	-1	 casablanca[0] is[0] also[0] a[0] movie[0] that[0] has[0] the[0] very[0] rare[0] virtue[2] of[0] both[0] being[0] praised[2] by[0] the[0] critics[0] and[0] loved[3] by[0] general[0] audience[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
one of the things that makes this film even more unique was the fact that it was doomed to fail , at least judging by conventional movie-making wisdom of its time . 	one of the things that makes this film even more unique was the fact that it was doomed to fail , at least judging by conventional movie-making wisdom of its time .	1	-3	 one[0] of[0] the[0] things[0] that[0] makes[0] this[0] film[0] even[0] more[0] unique[0] was[0] the[0] fact[0] that[0] it[0] was[0] doomed[-1] to[0] fail[-2] at[0] least[0] judging[0] by[0] conventional[0] movie[0] making[0] wisdom[0] of[0] its[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it was based on a broadway play so mediocre that it hadn't been produced on stage ; screenplay by three writers - julius g . epstein , philip j . epstein and howard koch - was beeing written as shooting went along ; the main actors were producers' second choice , and , finally , man behind camera , michael curtiz was considered to be capable , but not great director . 	it was based on a broadway play so mediocre that it hadn't been produced on stage ; screenplay by three writers - julius grin� .<br> epstein , philip j .<br> epstein and howard koch - was being written as shooting went along ; the main actors were producers' second choice , and , finally , man behind camera , michael curtiz was considered to be capable , but not great director .	1	-3	 it[0] was[0] based[0] on[0] a[0] broadway[0] play[0] so[0] mediocre[-1] that[0] it[0] hadn't[0] been[0] produced[0] on[0] stage[0] screenplay[0] by[0] three[0] writers[0] julius[0] g[0] [[Sentence=-2,1=word max, 1-5]] epstein[0] philip[0] j[0] [[Sentence=-1,1=word max, 1-5]] epstein[0] and[0] howard[0] koch[0] was[0] beeing/being[0] written[0] as[0] shooting[-1] went[0] along[0] the[0] main[0] actors[0] were[0] producers'[0] second[0] choice[0] and[0] finally[0] man[0] behind[0] camera[0] michael[0] curtiz[0] was[0] considered[0] to[0] be[0] capable[0] but[0] not[0] great[2][NegatedDueToPreviousWord] director[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , the movie was commercially successful and earned three " oscars " , including the one for the best film . 	however , the movie was commercially successful and earned three " oscars " , including the one for the best film .	3	-1	 however[0] the[0] movie[0] was[0] commercially[0] successful[2] and[0] earned[0] three[0] oscars[0] including[0] the[0] one[0] for[0] the[0] best[1] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
until this very day , it is considered to be the best example of hollywood film- making in its own golden age . 	until this very day , it is considered to be the best example of hollywood film- making in its own golden age .	2	-1	 until[0] this[0] very[0] day[0] it[0] is[0] considered[0] to[0] be[0] the[0] best[1] example[0] of[0] hollywood[0] film[0] making[0] in[0] its[0] own[0] golden[0] age[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot of the movie was heavily influenced by the needs of ww2 propaganda , yet it also used rather complicated and now almost forgotten political circumstances of that global conflict in order to make intriguing story . 	the plot of the movie was heavily influenced by the needs of ww2 propaganda , yet it also used rather complicated and now almost forgotten political circumstances of that global conflict in order to make intriguing story .	1	-2	 the[0] plot[0] of[0] the[0] movie[0] was[0] heavily[0] influenced[0] by[0] the[0] needs[0] of[0] ww2[0] propaganda[-1] yet[0] it[0] also[0] used[0] rather[0] complicated[-1] and[0] now[0] almost[0] forgotten[0] political[0] circumstances[0] of[0] that[0] global[0] conflict[-1] in[0] order[0] to[0] make[0] intriguing[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in december 1941 , casablanca , exotic port on the atlantic coast of north africa is controlled by officially neutral , yet nazi-collaborating french vichy government . 	in december 1941 , casablanca , exotic port on the atlantic coast of north africa is controlled by officially neutral , yet nazi-collaborating french vichy government .	1	-2	 in[0] december[0] 1941[0] casablanca[0] exotic[0] port[0] on[0] the[0] atlantic[0] coast[0] of[0] north[0] africa[0] is[0] controlled[0] by[0] officially[0] neutral[0] yet[0] nazi[-1] collaborating[0] french[0] vichy[0] government[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
thousands of refugees from war-torn europe are stuck there on the way to lisbon and safety of america , and ready to pay any price for precious exit visas . 	thousands of refugees from war-torn europe are stuck there on the way to lisbon and safety of america , and ready to pay any price for precious exit visas .	3	-3	 thousands[0] of[0] refugees[-1] from[0] war[-2] torn[0] europe[0] are[0] stuck[0] there[0] on[0] the[0] way[0] to[0] lisbon[0] and[0] safety[1] of[0] america[0] and[0] ready[0] to[0] pay[0] any[0] price[0] for[0] precious[2] exit[-1] visas[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
