jean-luc picard ( patrick stewart ) and the rest of the crew of the u . s . s . 	Translation	Positive	Negative	EmotionRationale
enterprise are back for their third outing in the ninth film based on the 1960's series , star trek . 	enterprise are back for their third outing in the ninth film based on the 1960's series , star trek .	1	-1	 enterprise[0] are[0] back[0] for[0] their[0] third[0] outing[0] in[0] the[0] ninth[0] film[0] based[0] on[0] the[0] 1960's[0] series[0] star[0] trek[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gone are kirk , spock and mccoy and in their wake in the very able and very talented cast from star trek : the next generation . 	gone are kirk , spock and mccoy and in their wake in the very able and very talented cast from star trek : the next generation .	3	-1	 gone[0] are[0] kirk[0] spock[0] and[0] mccoy[0] and[0] in[0] their[0] wake[0] in[0] the[0] very[0] able[0] and[0] very[0] talented[1][1 LastWordBoosterStrength] cast[0] from[0] star[0] trek[0] the[0] next[0] generation[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as usual , a crisis is brewing and it is up to the crew of the enterprise to make the galaxy safe again . 	as usual , a crisis is brewing and it is up to the crew of the enterprise to make the galaxy safe again .	2	-3	 as[0] usual[0] a[0] crisis[-2] is[0] brewing[0] and[0] it[0] is[0] up[0] to[0] the[0] crew[0] of[0] the[0] enterprise[0] to[0] make[0] the[0] galaxy[0] safe[1] again[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this time out the united federation of planets and an alien race led by f . murray abraham are trying to move some colonists off a planet against the colonist's will . 	this time out the united federation of planets and an alien race led by f .<br> murray abraham are trying to move some colonists off a planet against the colonist's will .	1	-2	 this[0] time[0] out[0] the[0] united[0] federation[0] of[0] planets[0] and[0] an[0] alien[-1] race[0] led[0] by[0] f[0] [[Sentence=-2,1=word max, 1-5]] murray[0] abraham[0] are[0] trying[0] to[0] move[0] some[0] colonists[0] off[0] a[0] planet[0] against[-1] the[0] colonist's[0] will[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it turns out that this planet is the fountain of youth and the federation and their alien buddies feel that is should be used for the good of everyone and not just a few hundred colonists . 	it turns out that this planet is the fountain of youth and the federation and their alien buddies feel that is should be used for the good of everyone and not just a few hundred colonists .	2	-2	 it[0] turns[0] out[0] that[0] this[0] planet[0] is[0] the[0] fountain[0] of[0] youth[0] and[0] the[0] federation[0] and[0] their[0] alien[-1] buddies[0] feel[0] that[0] is[0] should[0] be[0] used[0] for[0] the[0] good[1] of[0] everyone[0] and[0] not[0] just[0] a[0] few[0] hundred[0] colonists[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course picard feels that this sort of treachery is wrong , so he disobeys direct orders and vows to help protect the colonists . 	of course picard feels that this sort of treachery is wrong , so he disobeys direct orders and vows to help protect the colonists .	1	-3	 of[0] course[0] picard[0] feels[0] that[0] this[0] sort[0] of[0] treachery[-2] is[0] wrong[-1] so[0] he[0] disobeys[0] direct[0] orders[0] and[0] vows[0] to[0] help[0] protect[0] the[0] colonists[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
insurrection is a lighter movie than the last two star trek films . 	insurrection is a lighter movie than the last two star trek films .	1	-1	 insurrection[0] is[0] a[0] lighter[0] movie[0] than[0] the[0] last[0] two[0] star[0] trek[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film focuses on the lofty question of whether the rights of society as a whole outweighs the rights of a small group . 	the film focuses on the lofty question of whether the rights of society as a whole outweighs the rights of a small group .	1	-1	 the[0] film[0] focuses[0] on[0] the[0] lofty[0] question[0] of[0] whether[0] the[0] rights[0] of[0] society[0] as[0] a[0] whole[0] outweighs[0] the[0] rights[0] of[0] a[0] small[0] group[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this respect it gets back to the roots of star trek by disguising social commentary as science fiction . 	in this respect it gets back to the roots of star trek by disguising social commentary as science fiction .	3	-1	 in[0] this[0] respect[2] it[0] gets[0] back[0] to[0] the[0] roots[0] of[0] star[0] trek[0] by[0] disguising[0] social[0] commentary[0] as[0] science[0] fiction[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it doesn't do a bad job , other than it tries to inject too much humor into the story line . 	it doesn't do a bad job , other than it tries to inject too much humor into the story line .	3	-2	 it[0] doesn't[0] do[0] a[0] bad[-1] job[0] other[0] than[0] it[0] tries[0] to[0] inject[0] too[0] much[0] humor[2] into[0] the[0] story[0] line[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
