it's an interesting premise . 	Translation	Positive	Negative	EmotionRationale
our reality is only real to us because it is what we perceive to be real . 	our reality is only real to us because it is what we perceive to be real .	1	-1	 our[0] reality[0] is[0] only[0] real[0] to[0] us[0] because[0] it[0] is[0] what[0] we[0] perceive[0] to[0] be[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in truth , our entire existences are lived out in our minds as we are fed information through electronic inputs directly to our brains . 	in truth , our entire existences are lived out in our minds as we are fed information through electronic inputs directly to our brains .	2	-1	 in[0] truth[1] our[0] entire[0] existences[0] are[0] lived[0] out[0] in[0] our[0] minds[0] as[0] we[0] are[0] fed[0] information[0] through[0] electronic[0] inputs[0] directly[0] to[0] our[0] brains[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what we see , what we do , everything around us is nothing more than a computer-generated construct interlinked with the minds of others through a vastly powerful artificial intelligence . 	what we see , what we do , everything around us is nothing more than a computer-generated construct interlinked with the minds of others through a vastly powerful artificial intelligence .	1	-1	 what[0] we[0] see[0] what[0] we[0] do[0] everything[0] around[0] us[0] is[0] nothing[0] more[0] than[0] a[0] computer[0] generated[0] construct[0] interlinked[0] with[0] the[0] minds[0] of[0] others[0] through[0] a[0] vastly[0] powerful[0] artificial[0] intelligence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
our bodies , severely atrophied , are kept alive for the sole purpose of generating heat and electrical energy for a dominating order of machines which control the planet . 	our bodies , severely atrophied , are kept alive for the sole purpose of generating heat and electrical energy for a dominating order of machines which control the planet .	1	-2	 our[0] bodies[0] severely[-1] atrophied[0] are[0] kept[0] alive[0] for[0] the[0] sole[0] purpose[0] of[0] generating[0] heat[0] and[0] electrical[0] energy[0] for[0] a[0] dominating[0] order[0] of[0] machines[0] which[0] control[0] the[0] planet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the sci-fi realm has been waiting a little while for something new to come along . 	the sci-fi realm has been waiting a little while for something new to come along .	1	-1	 the[0] sci[0] fi[0] realm[0] has[0] been[0] waiting[0] a[0] little[0] while[0] for[0] something[0] new[0] to[0] come[0] along[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the matrix isn't it - the idea of a war between man and a sentient computer network , a sham world , the ability to plug one's brain into a computer , has all been gleaned from such sources as the terminator , dark city , and a few star trek episodes ( both classic and next generation ) . 	the matrix isn't it - the idea of a war between man and a sentient computer network , a sham world , the ability to plug one's brain into a computer , has all been gleaned from such sources as the terminator , dark city , and a few star trek episodes ( both classic and next generation ) .	1	-3	 the[0] matrix[0] isn't[0] it[0] the[0] idea[0] of[0] a[0] war[-2] between[0] man[0] and[0] a[0] sentient[0] computer[0] network[0] a[0] sham[0] world[0] the[0] ability[0] to[0] plug[0] one's[0] brain[0] into[0] a[0] computer[0] has[0] all[0] been[0] gleaned[0] from[0] such[0] sources[-1] as[0] the[0] terminator[0] dark[0] city[0] and[0] a[0] few[0] star[0] trek[0] episodes[0] both[0] classic[0] and[0] next[0] generation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what is new is the ability to weave all of these various elements together and succeed in producing a film that is both entertaining as well as thought-provoking . 	what is new is the ability to weave all of these various elements together and succeed in producing a film that is both entertaining as well as thought-provoking .	3	-1	 what[0] is[0] new[0] is[0] the[0] ability[0] to[0] weave[0] all[0] of[0] these[0] various[0] elements[0] together[0] and[0] succeed[2] in[0] producing[0] a[0] film[0] that[0] is[0] both[0] entertaining[0] as[0] well[0] as[0] thought[0] provoking[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
keanu reeves plays a computer whiz nicknamed neo , who is plucked out of the artificial world ( known as the matrix ) by a group of renegade humans who are clandestinely fighting to expose the fallacy of the computer-generated existence and free humankind from the oppression of the machines . 	keanu reeves plays a computer whiz nicknamed neo , who is plucked out of the artificial world ( known as the matrix ) by a group of renegade humans who are clandestinely fighting to expose the fallacy of the computer-generated existence and free humankind from the oppression of the machines .	2	-3	 keanu[0] reeves[0] plays[1] a[0] computer[0] whiz[0] nicknamed[0] neo[0] who[0] is[0] plucked[0] out[0] of[0] the[0] artificial[0] world[0] known[0] as[0] the[0] matrix[0] by[0] a[0] group[0] of[0] renegade[0] humans[0] who[0] are[0] clandestinely[0] fighting[-2] to[0] expose[-1] the[0] fallacy[-1] of[0] the[0] computer[0] generated[0] existence[0] and[0] free[0] humankind[0] from[0] the[0] oppression[-2] of[0] the[0] machines[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the group's leader , morpheus ( laurence fishburne ) , has chosen neo because he believes neo is " the one " who is destined to lead the attack against the artificial intelligence . 	the group's leader , morpheus ( laurence fishburne ) , has chosen neo because he believes neo is " the one " who is destined to lead the attack against the artificial intelligence .	1	-3	 the[0] group's[0] leader[0] morpheus[0] laurence[0] fishburne[0] has[0] chosen[0] neo[0] because[0] he[0] believes[0] neo[0] is[0] the[0] one[0] who[0] is[0] destined[0] to[0] lead[0] the[0] attack[-2] against[-1] the[0] artificial[0] intelligence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 from the beginning of the film , we are kept on our toes trying to figure things out . 	 from the beginning of the film , we are kept on our toes trying to figure things out .	1	-1	 from[0] the[0] beginning[0] of[0] the[0] film[0] we[0] are[0] kept[0] on[0] our[0] toes[0] trying[0] to[0] figure[0] things[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
