plot : a peculiar french girl grows up lonely with her father and doesn't quite know what she wants out of life . 	Translation	Positive	Negative	EmotionRationale
one day , she falls upon something , and believes that her ticket to happiness may be in helping others . 	one day , she falls upon something , and believes that her ticket to happiness may be in helping others .	3	-1	 one[0] day[0] she[0] falls[0] upon[0] something[0] and[0] believes[0] that[0] her[0] ticket[0] to[0] happiness[2] may[0] be[0] in[0] helping[0] others[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she starts with the people around her , but when she suddenly falls for her own guy , she can't act strongly enough because of her shy and dreamy nature . 	she starts with the people around her , but when she suddenly falls for her own guy , she can't act strongly enough because of her shy and dreamy nature .	1	-3	 she[0] starts[0] with[0] the[0] people[0] around[0] her[0] but[0] when[0] she[0] suddenly[0] falls[0] for[0] her[0] own[0] guy[0] she[0] can't[0] act[0] strongly[0] enough[0] because[0] of[0] her[0] shy[-2] and[0] dreamy[0] nature[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
critique : a clever , quirky , original french flick set in a picturesque paris , featuring an endearing lead with a giant imagination , much loneliness and a little bit of love for everyone . 	critique : a clever , quirky , original french flick set in a picturesque paris , featuring an endearing lead with a giant imagination , much loneliness and a little bit of love for everyone .	3	-2	 critique[0] a[0] clever[0] quirky[0] original[0] french[0] flick[0] set[0] in[0] a[0] picturesque[1] paris[0] featuring[0] an[0] endearing[0] lead[0] with[0] a[0] giant[0] imagination[0] much[0] loneliness[-1] and[0] a[0] little[0] bit[0] of[0] love[2] for[0] everyone[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this is a " feel-good " kind of movie , a fairy tale for grown-ups who are bummed out about life . 	this is a " feel-good " kind of movie , a fairy tale for grown-ups who are bummed out about life .	2	-1	 this[0] is[0] a[0] feel[0] good[1] kind[1] of[0] movie[0] a[0] fairy[0] tale[0] for[0] grown[0] ups[0] who[0] are[0] bummed[0] out[0] about[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it doesn't pretend to be deep , it doesn't weigh itself down with long expositions or intricate studies of its characters , it's basically just a " cute movie " in the same vein as chocolat and pay it forward , with some amazing visuals and incredibly nice intentions ( and if chocolat was somehow able to nab an oscar nomination for best picture last year ( a sham on so many different levels ) , you might as well slap this film up for consideration also , since it's quite a bit better and much more original than the former ) . 	it doesn't pretend to be deep , it doesn't weigh itself down with long expositions or intricate studies of its characters , it's basically just a " cute movie " in the same vein as chocolat and pay it forward , with some amazing visuals and incredibly nice intentions ( and if chocolat was somehow able to nab an oscar nomination for best picture last year ( a sham on so many different levels ) , you might as well slap this film up for consideration also , since it's quite a bit better and much more original than the former ) .	4	-2	 it[0] doesn't[0] pretend[-1] to[0] be[0] deep[0] it[0] doesn't[0] weigh[0] itself[0] down[0] with[0] long[0] expositions[0] or[0] intricate[0] studies[0] of[0] its[0] characters[0] it's[0] basically[0] just[0] a[0] cute[1] movie[0] in[0] the[0] same[0] vein[0] as[0] chocolat[0] and[0] pay[0] it[0] forward[0] with[0] some[0] amazing[2][-1 LastWordBoosterStrength] visuals[0] and[0] incredibly[0] nice[1][2 LastWordBoosterStrength] intentions[0] and[0] if[0] chocolat[0] was[0] somehow[0] able[0] to[0] nab[0] an[0] oscar[0] nomination[0] for[0] best[1] picture[0] last[0] year[0] a[0] sham[0] on[0] so[0] many[0] different[0] levels[0] you[0] might[0] as[0] well[0] slap[-1] this[0] film[0] up[0] for[0] consideration[0] also[0] since[0] it's[0] quite[0] a[0] bit[0] better[0] and[0] much[0] more[0] original[0] than[0] the[0] former[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
one thing that this film isn't though , at least according to me , is the best film of the year ( it was bestowed the honor of " best " in at least 3 different film festivals so far this year ) . 	one thing that this film isn't though , at least according to me , is the best film of the year ( it was bestowed the honor of " best " in at least 3 different film festivals so far this year ) .	2	-1	 one[0] thing[0] that[0] this[0] film[0] isn't[0] though[0] at[0] least[0] according[0] to[0] me[0] is[0] the[0] best[1] film[0] of[0] the[0] year[0] it[0] was[0] bestowed[0] the[0] honor[0] of[0] best[1] in[0] at[0] least[0] 3[0] different[0] film[0] festivals[0] so[0] far[0] this[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it actually managed to stagnate a little bit about halfway through and it just went on for way too long ( it's a little over two hours but it felt even longer ) , with much of the second half of the movie devoted to many different characters , all of whom weren't as interesting as the lead , and a lot of indecisiveness from ms . amelie herself , which got frustrating . 	it actually managed to stagnate a little bit about halfway through and it just went on for way too long ( it's a little over two hours but it felt even longer ) , with much of the second half of the movie devoted to many different characters , all of whom weren't as interesting as the lead , and a lot of indecisiveness from ms .<br> amelie herself , which got frustrating .	3	-3	 it[0] actually[0] managed[0] to[0] stagnate[0] a[0] little[0] bit[0] about[0] halfway[0] through[0] and[0] it[0] just[0] went[0] on[0] for[0] way[0] too[0] long[0] it's[0] a[0] little[0] over[0] two[0] hours[0] but[0] it[0] felt[0] even[0] longer[0] with[0] much[0] of[0] the[0] second[0] half[0] of[0] the[0] movie[0] devoted[2] to[0] many[0] different[0] characters[0] all[0] of[0] whom[0] weren't[0] as[0] interesting[1] as[0] the[0] lead[0] and[0] a[0] lot[0] of[0] indecisiveness[-1] from[0] ms[0] [[Sentence=-2,3=word max, 1-5]] amelie[0] herself[0] which[0] got[0] frustrating[-2] [[Sentence=-3,1=word max, 1-5]][[[3,-3 max of sentences]]]
thankfully , this film doesn't bog itself down with too much of that stuff , and actually goes out of its way to invent new ways to shoot scenes , to integrate moments of fantasy into its fabric and to transport the audience inside the imagination of this kind-hearted french girl . 	thankfully , this film doesn't bog itself down with too much of that stuff , and actually goes out of its way to invent new ways to shoot scenes , to integrate moments of fantasy into its fabric and to transport the audience inside the imagination of this kind-hearted french girl .	2	-2	 thankfully[1] this[0] film[0] doesn't[0] bog[0] itself[0] down[0] with[0] too[0] much[0] of[0] that[0] stuff[0] and[0] actually[0] goes[0] out[0] of[0] its[0] way[0] to[0] invent[0] new[0] ways[0] to[0] shoot[-1] scenes[0] to[0] integrate[0] moments[0] of[0] fantasy[0] into[0] its[0] fabric[0] and[0] to[0] transport[0] the[0] audience[0] inside[0] the[0] imagination[0] of[0] this[0] kind[1] hearted[0] french[0] girl[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
on the whole , it's a lot of fun and it carries a beautiful message of love and support for your fellow man . 	on the whole , it's a lot of fun and it carries a beautiful message of love and support for your fellow man .	3	-1	 on[0] the[0] whole[0] it's[0] a[0] lot[0] of[0] fun[1] and[0] it[0] carries[0] a[0] beautiful[2] message[0] of[0] love[2] and[0] support[1] for[0] your[0] fellow[0] man[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the lead , audrey tautou , is perfect for the role , and gives you enough moments of truth to develop her character into someone that you care about by the end of the film . 	the lead , audrey tautou , is perfect for the role , and gives you enough moments of truth to develop her character into someone that you care about by the end of the film .	2	-1	 the[0] lead[0] audrey[0] tautou[0] is[0] perfect[1] for[0] the[0] role[0] and[0] gives[0] you[0] enough[0] moments[0] of[0] truth[1] to[0] develop[0] her[0] character[0] into[0] someone[0] that[0] you[0] care[1] about[0] by[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
