aggressive , bleak , and unrelenting film about an interracial couple , steve and sam ( damon jones and elexa williams respectively ) , who are viciously attacked in a parking garage one night by a gang of skinheads . 	Translation	Positive	Negative	EmotionRationale
the skinheads beat steve , then force him to watch as they brutally rape his girlfriend over and over again . 	the skinheads beat steve , then force him to watch as they brutally rape his girlfriend over and over again .	1	-5	 the[0] skinheads[0] beat[0] steve[0] then[0] force[-1] him[0] to[0] watch[0] as[0] they[0] brutally[-2] rape[-3][-1 MultiplePositiveWords] his[0] girlfriend[0] over[0] and[0] over[0] again[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
when sam kills herself later that evening , steve decides that the skinheads must be taught a lesson . 	when sam kills herself later that evening , steve decides that the skinheads must be taught a lesson .	1	-1	 when[0] sam[0] kills[0] herself[0] later[0] that[0] evening[0] steve[0] decides[0] that[0] the[0] skinheads[0] must[0] be[0] taught[0] a[0] lesson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
waiting seven months for the thuggish skinheads to forget about the incident entirely , steve shaves his head , dresses in combat boots and suspenders , tattoos his flesh with nazi symbols , and tries to infiltrate the gang . 	waiting seven months for the thuggish skinheads to forget about the incident entirely , steve shaves his head , dresses in combat boots and suspenders , tattoos his flesh with nazi symbols , and tries to infiltrate the gang .	1	-2	 waiting[0] seven[0] months[0] for[0] the[0] thuggish[0] skinheads[0] to[0] forget[0] about[0] the[0] incident[0] entirely[0] steve[0] shaves[0] his[0] head[0] dresses[0] in[0] combat[-1] boots[0] and[0] suspenders[0] tattoos[0] his[0] flesh[0] with[0] nazi[-1] symbols[0] and[0] tries[0] to[0] infiltrate[-1] the[0] gang[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as he gets closer and closer to the people who committed the horrible crime against his girlfriend , he begins to learn just how vicious these people really are and starts to question his own motives for violence . 	as he gets closer and closer to the people who committed the horrible crime against his girlfriend , he begins to learn just how vicious these people really are and starts to question his own motives for violence .	1	-4	 as[0] he[0] gets[0] closer[0] and[0] closer[0] to[0] the[0] people[0] who[0] committed[0] the[0] horrible[-3] crime[-1] against[-1] his[0] girlfriend[0] he[0] begins[0] to[0] learn[0] just[0] how[0] vicious[-3] these[0] people[0] really[0] are[0] and[0] starts[0] to[0] question[0] his[0] own[0] motives[0] for[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
randolph kret's script , based on two real life incidents that affected not only his life but the life of the film's producer shaun hill , is an affront on violence and intolerance . 	randolph kret's script , based on two real life incidents that affected not only his life but the life of the film's producer shaun hill , is an affront on violence and intolerance .	1	-4	 randolph[0] kret's[0] script[0] based[0] on[0] two[0] real[0] life[0] incidents[0] that[0] affected[0] not[0] only[0] his[0] life[0] but[0] the[0] life[0] of[0] the[0] film's[0] producer[0] shaun[0] hill[0] is[0] an[0] affront[0] on[0] violence[-3] and[0] intolerance[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film causes its audience to be subjected to such brutality and ignorance that one can't help but be disgusted by the events presented within . 	the film causes its audience to be subjected to such brutality and ignorance that one can't help but be disgusted by the events presented within .	1	-4	 the[0] film[0] causes[0] its[0] audience[0] to[0] be[0] subjected[0] to[0] such[0] brutality[-2] and[0] ignorance[-2] that[0] one[0] can't[0] help[0] but[0] be[0] disgusted[-3] by[0] the[0] events[0] presented[0] within[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i've seen it said that this is the film fight club should have been , but david fincher's film was trying to define a generation . 	i've seen it said that this is the film fight club should have been , but david fincher's film was trying to define a generation .	1	-3	 i've[0] seen[0] it[0] said[0] that[0] this[0] is[0] the[0] film[0] fight[-2] club[0] should[0] have[0] been[0] but[0] david[0] fincher's[0] film[0] was[0] trying[0] to[0] define[0] a[0] generation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
kret's film is a wake up call to a generation and his message is a powerful one . 	kret's film is a wake up call to a generation and his message is a powerful one .	1	-1	 kret's[0] film[0] is[0] a[0] wake[0] up[0] call[0] to[0] a[0] generation[0] and[0] his[0] message[0] is[0] a[0] powerful[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if fincher is the kubrick of our generation , then kret is our d . w . 	if fincher is the kubrick of our generation , then kret is our d .<br> w .	1	-1	 if[0] fincher[0] is[0] the[0] kubrick[0] of[0] our[0] generation[0] then[0] kret[0] is[0] our[0] d[0] [[Sentence=-1,1=word max, 1-5]] w[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
griffith ( thematically speaking ) . 	griffith ( thematically speaking ) .	1	-1	 griffith[0] thematically[0] speaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
