john von neumann , progenitor of the computer age and critically important mathematician on the manhattan project , pointed out long ago that there is a great way to explore the cosmos , even without recourse to faster-than light travel . 	Translation	Positive	Negative	EmotionRationale
you send out self-replicating robot ships which explore and radio back information . 	you send out self-replicating robot ships which explore and radio back information .	1	-1	 you[0] send[0] out[0] self[0] replicating[0] robot[0] ships[0] which[0] explore[0] and[0] radio[0] back[0] information[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it may take decades , centuries , or millennia , but it can be done with achievable technology , and doesn't require a magical faster-than-light drive . 	it may take decades , centuries , or millennia , but it can be done with achievable technology , and doesn't require a magical faster-than-light drive .	1	-1	 it[0] may[0] take[0] decades[0] centuries[0] or[0] millennia[0] but[0] it[0] can[0] be[0] done[0] with[0] achievable[0] technology[0] and[0] doesn't[0] require[0] a[0] magical[0] faster[0] than[0] light[0] drive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the fifties , british astronomer fred hoyle improved on this plan by suggesting that it would be better to radio plans for a complex computer and a program for it ; any civilization capable of receiving the transmission could build the computer , which would then engage in a real-time dialog with the aliens , exchanging information and technologies , and hopefully arranging to send back what it had learned . 	in the fifties , british astronomer fred hoyle improved on this plan by suggesting that it would be better to radio plans for a complex computer and a program for it ; any civilization capable of receiving the transmission could build the computer , which would then engage in a real-time dialog with the aliens , exchanging information and technologies , and hopefully arranging to send back what it had learned .	2	-1	 in[0] the[0] fifties[0] british[0] astronomer[0] fred[0] hoyle[0] improved[1] on[0] this[0] plan[0] by[0] suggesting[0] that[0] it[0] would[0] be[0] better[0] to[0] radio[0] plans[0] for[0] a[0] complex[0] computer[0] and[0] a[0] program[0] for[0] it[0] any[0] civilization[0] capable[0] of[0] receiving[0] the[0] transmission[0] could[0] build[0] the[0] computer[0] which[0] would[0] then[0] engage[0] in[0] a[0] real[0] time[0] dialog[0] with[0] the[0] aliens[0] exchanging[0] information[0] and[0] technologies[0] and[0] hopefully[0] arranging[0] to[0] send[0] back[0] what[0] it[0] had[0] learned[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
about thirty-five years ago , the bbc contracted with astronomer/writer fred hoyle and writer frank elliot to create the scripts for a mini-series called a for andromeda . 	about thirty-five years ago , the bbc contracted with astronomer/writer fred hoyle and writer frank elliot to create the scripts for a mini-series called a for andromeda .	1	-1	 about[0] thirty[0] five[0] years[0] ago[0] the[0] bbc[0] contracted[0] with[0] astronomer/writer[0] fred[0] hoyle[0] and[0] writer[0] frank[0] elliot[0] to[0] create[0] the[0] scripts[0] for[0] a[0] mini[0] series[0] called[0] a[0] for[0] andromeda[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
afa concerned the reception of a hoyle transmission , the construction of a huge computer , the computer's analysis of life on earth , and its creation of an apparently human intermediary to facilitate communication . 	afa concerned the reception of a hoyle transmission , the construction of a huge computer , the computer's analysis of life on earth , and its creation of an apparently human intermediary to facilitate communication .	1	-2	 afa[0] concerned[-1] the[0] reception[0] of[0] a[0] hoyle[0] transmission[0] the[0] construction[0] of[0] a[0] huge[0] computer[0] the[0] computer's[0] analysis[0] of[0] life[0] on[0] earth[0] and[0] its[0] creation[0] of[0] an[0] apparently[0] human[0] intermediary[0] to[0] facilitate[0] communication[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she was played with ethereally inhuman perfection by the then-unknown julie christie . 	she was played with ethereally inhuman perfection by the then-unknown julie christie .	2	-3	 she[0] was[0] played[0] with[0] ethereally[0] inhuman[-2] perfection[1] by[0] the[0] then[0] unknown[0] julie[0] christie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
audience response was so strong that the bbc contracted for a sequel , andromeda breakthrough , which played to equally high ratings . 	audience response was so strong that the bbc contracted for a sequel , andromeda breakthrough , which played to equally high ratings .	1	-1	 audience[0] response[0] was[0] so[0] strong[0] that[0] the[0] bbc[0] contracted[0] for[0] a[0] sequel[0] andromeda[0] breakthrough[0] which[0] played[0] to[0] equally[0] high[0] ratings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dennis feldman , whose previous credits include the golden child , has never been noted for coherent , well-structured movie scripts ; they start out great , and then disintegrate into a morass of chase and action , mitigated only by the presence of the obligatory beautiful girl . 	dennis feldman , whose previous credits include the golden child , has never been noted for coherent , well-structured movie scripts ; they start out great , and then disintegrate into a morass of chase and action , mitigated only by the presence of the obligatory beautiful girl .	3	-2	 dennis[0] feldman[0] whose[0] previous[0] credits[0] include[0] the[0] golden[0] child[0] has[0] never[0] been[0] noted[0] for[0] coherent[0] well[0] structured[0] movie[0] scripts[0] they[0] start[0] out[0] great[2] and[0] then[0] disintegrate[0] into[0] a[0] morass[0] of[0] chase[-1] and[0] action[0] mitigated[0] only[0] by[0] the[0] presence[0] of[0] the[0] obligatory[0] beautiful[2] girl[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
feldman writes good scenes , but has no idea how to tell a story or write a movie , even with a previous version to use as a model . 	feldman writes good scenes , but has no idea how to tell a story or write a movie , even with a previous version to use as a model .	2	-1	 feldman[0] writes[0] good[1] scenes[0] but[0] has[0] no[0] idea[0] how[0] to[0] tell[0] a[0] story[0] or[0] write[0] a[0] movie[0] even[0] with[0] a[0] previous[0] version[0] to[0] use[0] as[0] a[0] model[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now , in species , we have a mundane retread of the andromeda plotline , derailed by a preoccupation with removing the clothes from the leading lady and further ruined by a mediocre attempt to emulate several recent horror films in terms of splatter , gore , and chases . 	now , in species , we have a mundane retread of the andromeda plotline , derailed by a preoccupation with removing the clothes from the leading lady and further ruined by a mediocre attempt to emulate several recent horror films in terms of splatter , gore , and chases .	1	-4	 now[0] in[0] species[0] we[0] have[0] a[0] mundane[-1] retread[0] of[0] the[0] andromeda[0] plotline[0] derailed[0] by[0] a[0] preoccupation[0] with[0] removing[0] the[0] clothes[0] from[0] the[0] leading[0] lady[0] and[0] further[0] ruined[-1] by[0] a[0] mediocre[-1] attempt[0] to[0] emulate[0] several[0] recent[0] horror[-3] films[0] in[0] terms[0] of[0] splatter[0] gore[0] and[0] chases[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
