this is a stagy film adapted from roger rueff's play " hospitality suite . ''its 	Translation	Positive	Negative	EmotionRationale
about three travelling salesmen attending an industrial convention , whose chicago company has sent them to wichita , where the company has paid all their expenses for them to rent a hospitality suite on the 16th floor of the hotel , where they aim to score a substantial account from the big kahuna , someone named dick fuller , who is the head of a big industrial corporation . 	about three travelling salesmen attending an industrial convention , whose chicago company has sent them to wichita , where the company has paid all their expenses for them to rent a hospitality suite on the 16th floor of the hotel , where they aim to score a substantial account from the big kahuna , someone named dick fuller , who is the head of a big industrial corporation .	1	-1	 about[0] three[0] travelling[0] salesmen[0] attending[0] an[0] industrial[0] convention[0] whose[0] chicago[0] company[0] has[0] sent[0] them[0] to[0] wichita[0] where[0] the[0] company[0] has[0] paid[0] all[0] their[0] expenses[0] for[0] them[0] to[0] rent[0] a[0] hospitality[0] suite[0] on[0] the[0] 16th[0] floor[0] of[0] the[0] hotel[0] where[0] they[0] aim[0] to[0] score[0] a[0] substantial[0] account[0] from[0] the[0] big[0] kahuna[0] someone[0] named[0] dick[0] fuller[0] who[0] is[0] the[0] head[0] of[0] a[0] big[0] industrial[0] corporation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is someone they have never met before , but they want to sell him industrial lubricants and they want desperately to land this new account , it is their only reason for coming to the convention . 	he is someone they have never met before , but they want to sell him industrial lubricants and they want desperately to land this new account , it is their only reason for coming to the convention .	1	-3	 he[0] is[0] someone[0] they[0] have[0] never[0] met[0] before[0] but[0] they[0] want[0] to[0] sell[0] him[0] industrial[0] lubricants[0] and[0] they[0] want[0] desperately[-2] to[0] land[0] this[0] new[0] account[0] it[0] is[0] their[0] only[0] reason[0] for[0] coming[0] to[0] the[0] convention[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " the big kahuna " revels in salesmen-talk among the three white christian males , two of them , larry ( spacey ) and phil ( devito ) , who are veteran salesmen , having teamed together for the last twelve years , while bob ( facinelli ) is a young man who has just recently been hired by the firm and works in the research department . 	 " the big kahuna " revels in salesmen-talk among the three white christian males , two of them , larry ( spacey ) and phil ( devito ) , who are veteran salesmen , having teamed together for the last twelve years , while bob ( facinelli ) is a young man who has just recently been hired by the firm and works in the research department .	1	-1	 the[0] big[0] kahuna[0] revels[0] in[0] salesmen[0] talk[0] among[0] the[0] three[0] white[0] christian[0] males[0] two[0] of[0] them[0] larry[0] spacey[0] and[0] phil[0] devito[0] who[0] are[0] veteran[0] salesmen[0] having[0] teamed[0] together[0] for[0] the[0] last[0] twelve[0] years[0] while[0] bob[0] facinelli[0] is[0] a[0] young[0] man[0] who[0] has[0] just[0] recently[0] been[0] hired[0] by[0] the[0] firm[0] and[0] works[0] in[0] the[0] research[0] department[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these three are virtually imprisoned in their small hospitality suite waiting to meet the big kahuna , as the focus of this claustrophobic film is on their interactions in the hospitality suite . 	these three are virtually imprisoned in their small hospitality suite waiting to meet the big kahuna , as the focus of this claustrophobic film is on their interactions in the hospitality suite .	1	-2	 these[0] three[0] are[0] virtually[0] imprisoned[-1] in[0] their[0] small[0] hospitality[0] suite[0] waiting[0] to[0] meet[0] the[0] big[0] kahuna[0] as[0] the[0] focus[0] of[0] this[0] claustrophobic[0] film[0] is[0] on[0] their[0] interactions[0] in[0] the[0] hospitality[0] suite[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the three salesmen have different things on their mind that is troubling them and a different attitude to their job , and they are each going through internal changes that are profoundly altering their life . 	the three salesmen have different things on their mind that is troubling them and a different attitude to their job , and they are each going through internal changes that are profoundly altering their life .	1	-2	 the[0] three[0] salesmen[0] have[0] different[0] things[0] on[0] their[0] mind[0] that[0] is[0] troubling[-1] them[0] and[0] a[0] different[0] attitude[0] to[0] their[0] job[0] and[0] they[0] are[0] each[0] going[0] through[0] internal[0] changes[0] that[0] are[0] profoundly[0] altering[0] their[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the outstanding cast tries to figure out in their own way what they are doing and why . 	the outstanding cast tries to figure out in their own way what they are doing and why .	3	-1	 the[0] outstanding[2] cast[0] tries[0] to[0] figure[0] out[0] in[0] their[0] own[0] way[0] what[0] they[0] are[0] doing[0] and[0] why[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what comes into question is their opinions on life and death , on god and morality , and on how they make a living . 	what comes into question is their opinions on life and death , on god and morality , and on how they make a living .	1	-3	 what[0] comes[0] into[0] question[0] is[0] their[0] opinions[0] on[0] life[0] and[0] death[-2] on[0] god[0] and[0] morality[0] and[0] on[0] how[0] they[0] make[0] a[0] living[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
these are tough questions and the truth seems to be somewhere in their sales pitch . 	these are tough questions and the truth seems to be somewhere in their sales pitch .	2	-2	 these[0] are[0] tough[-1] questions[0] and[0] the[0] truth[1] seems[0] to[0] be[0] somewhere[0] in[0] their[0] sales[0] pitch[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
their dialogue is acerbic , witty , and analytical . 	their dialogue is acerbic , witty , and analytical .	1	-1	 their[0] dialogue[0] is[0] acerbic[0] witty[0] and[0] analytical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
following in the long tradition of salesmen films -- from death of a salesman , the tin men , and glengarry glen ross , as this film tries to get you to see what there is about salesmanship that gets these men high . 	following in the long tradition of salesmen films - from death of a salesman , the tin men , and glengarry glen ross , as this film tries to get you to see what there is about salesmanship that gets these men high .	1	-3	 following[0] in[0] the[0] long[0] tradition[0] of[0] salesmen[0] films[0] from[0] death[-2] of[0] a[0] salesman[0] the[0] tin[0] men[0] and[0] glengarry[0] glen[0] ross[0] as[0] this[0] film[0] tries[0] to[0] get[0] you[0] to[0] see[0] what[0] there[0] is[0] about[0] salesmanship[0] that[0] gets[0] these[0] men[0] high[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in this case , it is landing the big kahuna . 	in this case , it is landing the big kahuna .	1	-1	 in[0] this[0] case[0] it[0] is[0] landing[0] the[0] big[0] kahuna[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they each are trying to see why he's on top and why they are chasing after him . 	they each are trying to see why he's on top and why they are chasing after him .	1	-1	 they[0] each[0] are[0] trying[0] to[0] see[0] why[0] he's[0] on[0] top[0] and[0] why[0] they[0] are[0] chasing[0] after[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what makes this film different than the others , is its blatant religious message , comparing orthodox religion to what they do , as both must sell their product . 	what makes this film different than the others , is its blatant religious message , comparing orthodox religion to what they do , as both must sell their product .	1	-2	 what[0] makes[0] this[0] film[0] different[0] than[0] the[0] others[0] is[0] its[0] blatant[-1] religious[0] message[0] comparing[0] orthodox[0] religion[0] to[0] what[0] they[0] do[0] as[0] both[0] must[0] sell[0] their[0] product[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and how after each one's psyche is stripped clean by the other , there is a pause and some lesson about life has sunk in that is pertinent to each . 	and how after each one's psyche is stripped clean by the other , there is a pause and some lesson about life has sunk in that is pertinent to each .	1	-1	 and[0] how[0] after[0] each[0] one's[0] psyche[0] is[0] stripped[0] clean[0] by[0] the[0] other[0] there[0] is[0] a[0] pause[0] and[0] some[0] lesson[0] about[0] life[0] has[0] sunk[0] in[0] that[0] is[0] pertinent[0] to[0] each[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the goal in the movie is not in literally landing the big kahuna , but in finding out what bill of goods they sold themselves that made them be salesmen . 	the goal in the movie is not in literally landing the big kahuna , but in finding out what bill of goods they sold themselves that made them be salesmen .	1	-1	 the[0] goal[0] in[0] the[0] movie[0] is[0] not[0] in[0] literally[0] landing[0] the[0] big[0] kahuna[0] but[0] in[0] finding[0] out[0] what[0] bill[0] of[0] goods[0] they[0] sold[0] themselves[0] that[0] made[0] them[0] be[0] salesmen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
larry and phil have one way of doing things and have no qualms of incorporating a sales pitch as part of their life . 	larry and phil have one way of doing things and have no qualms of incorporating a sales pitch as part of their life .	1	-1	 larry[0] and[0] phil[0] have[0] one[0] way[0] of[0] doing[0] things[0] and[0] have[0] no[0] qualms[0] of[0] incorporating[0] a[0] sales[0] pitch[0] as[0] part[0] of[0] their[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bob thinks he is above the fray and he pitches every chance he can get about his belief in jesus christ . 	bob thinks he is above the fray and he pitches every chance he can get about his belief in jesus christ .	1	-1	 bob[0] thinks[0] he[0] is[0] above[0] the[0] fray[0] and[0] he[0] pitches[0] every[0] chance[0] he[0] can[0] get[0] about[0] his[0] belief[0] in[0] jesus[0] christ[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his vacuous character and smug outlook on life are covered by a disarming smile and an eagerness for him to prove in his actions the words of jesus he literally believes in . 	his vacuous character and smug outlook on life are covered by a disarming smile and an eagerness for him to prove in his actions the words of jesus he literally believes in .	3	-2	 his[0] vacuous[0] character[0] and[0] smug[-1] outlook[0] on[0] life[0] are[0] covered[0] by[0] a[0] disarming[0] smile[2] and[0] an[0] eagerness[0] for[0] him[0] to[0] prove[0] in[0] his[0] actions[0] the[0] words[0] of[0] jesus[0] he[0] literally[0] believes[0] in[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
bob is a baptist , who takes a very non-questioning and literal attitude about religion . 	bob is a baptist , who takes a very non-questioning and literal attitude about religion .	1	-1	 bob[0] is[0] a[0] baptist[0] who[0] takes[0] a[0] very[0] non[0] questioning[0] and[0] literal[0] attitude[0] about[0] religion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to just look at another woman and lust after her is a sin , according to the way he reads the bible . 	to just look at another woman and lust after her is a sin , according to the way he reads the bible .	1	-2	 to[0] just[0] look[0] at[0] another[0] woman[0] and[0] lust[0] after[0] her[0] is[0] a[0] sin[-1] according[0] to[0] the[0] way[0] he[0] reads[0] the[0] bible[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when asked by larry why he married his wife , he seems puzzled and can't even say because he loves her , only that marriage is something sacred to him . 	when asked by larry why he married his wife , he seems puzled and can't even say because he loves her , only that marriage is something sacred to him .	3	-1	 when[0] asked[0] by[0] larry[0] why[0] he[0] married[0] his[0] wife[0] he[0] seems[0] puzzled/puzled[0] and[0] can't[0] even[0] say[0] because[0] he[0] loves[2] her[0] only[0] that[0] marriage[0] is[0] something[0] sacred[0] to[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the contrast in their personalities is stark . 	the contrast in their personalities is stark .	1	-2	 the[0] contrast[0] in[0] their[0] personalities[0] is[0] stark[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
