capsule : the verma family is having a wedding and all the relatives will come for the multi-day festivities . 	Translation	Positive	Negative	EmotionRationale
mira nair's film is pleasant enough with a little human drama , a few family secrets , some sadness and some happiness . 	mira nair's film is pleasant enough with a little human drama , a few family secrets , some sadness and some happiness .	3	-3	 mira[0] nair's[0] film[0] is[0] pleasant[2] enough[0] with[0] a[0] little[0] human[0] drama[0] a[0] few[0] family[0] secrets[0] some[0] sadness[-3][--1 LastWordBoosterStrength] and[0] some[0] happiness[2][-1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
you have seen it all before , but perhaps not from india . 	you have seen it all before , but perhaps not from india .	1	-1	 you[0] have[0] seen[0] it[0] all[0] before[0] but[0] perhaps[0] not[0] from[0] india[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the photography is colorful and the music is very agreeable . 	the photography is colorful and the music is very agreeable .	1	-1	 the[0] photography[0] is[0] colorful[0] and[0] the[0] music[0] is[0] very[0] agreeable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 , low  2 ( -4 to  4 ) 	 , low  2 ( -4 to  4 )	1	-2	 low[-1] 2[0] -4[0] to[0] 4[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mira nair previously directed salaam bombay and mississippi masala . 	mira nair previously directed salam bombay and mississippi masala .	1	-2	 mira[0] nair[0] previously[0] directed[0] salaam/salam[0] bombay[-1] and[0] mississippi[0] masala[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her newest film , written by sabrina dhawan , is very similar to previous films like betsy's wedding but it is set in new delhi . 	her newest film , written by sabrina dhawan , is very similar to previous films like betsy's wedding but it is set in new delhi .	2	-1	 her[0] newest[0] film[0] written[0] by[0] sabrina[0] dhawan[0] is[0] very[0] similar[0] to[0] previous[0] films[0] like[1] betsy's[0] wedding[0] but[0] it[0] is[0] set[0] in[0] new[0] delhi[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a wealthy family is having a wedding . 	a wealthy family is having a wedding .	1	-1	 a[0] wealthy[0] family[0] is[0] having[0] a[0] wedding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an indian wedding is a multi-day affair as much a family reunion as a nuptial . 	an indian wedding is a multi-day affair as much a family reunion as a nuptial .	1	-1	 an[0] indian[0] wedding[0] is[0] a[0] multi[0] day[0] affair[0] as[0] much[0] a[0] family[0] reunion[0] as[0] a[0] nuptial[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even more than in the us , it is an excuse for a lavish and extravagant family get-together . 	even more than in the us , it is an excuse for a lavish and extravagant family get-together .	1	-2	 even[0] more[0] than[0] in[0] the[0] us[0] it[0] is[0] an[0] excuse[0] for[0] a[0] lavish[0] and[0] extravagant[-1] family[0] get[0] together[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film shows us what the family does together and at the same time follows several family members' individual story lines . 	the film shows us what the family does together and at the same time follows several family members' individual story lines .	1	-1	 the[0] film[0] shows[0] us[0] what[0] the[0] family[0] does[0] together[0] and[0] at[0] the[0] same[0] time[0] follows[0] several[0] family[0] members'[0] individual[0] story[0] lines[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
