in my reviews i try to make gentle recommendations rather than telling you what to see or what not to see . 	Translation	Positive	Negative	EmotionRationale
i realize that we all have different tastes and i cannot predict what my audience will like and what they will dislike . 	i realize that we all have different tastes and i cannot predict what my audience will like and what they will dislike .	2	-3	 i[0] realize[0] that[0] we[0] all[0] have[0] different[0] tastes[0] and[0] i[0] cannot[0] predict[0] what[0] my[0] audience[0] will[0] like[1] and[0] what[0] they[0] will[0] dislike[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but in the case of american beauty , i must make an exception . 	but in the case of american beauty , i must make an exception .	3	-1	 but[0] in[0] the[0] case[0] of[0] american[0] beauty[2] i[0] must[0] make[0] an[0] exception[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you haven't yet seen it , go see it . 	if you haven't yet seen it , go see it .	1	-1	 if[0] you[0] haven't[0] yet[0] seen[0] it[0] go[0] see[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now . 	now .	1	-1	 now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stop reading this review and head for your local multiplex , then after you've seen it , come back . 	stop reading this review and head for your local multiplex , then after you've seen it , come back .	1	-1	 stop[0] reading[0] this[0] review[0] and[0] head[0] for[0] your[0] local[0] multiplex[0] then[0] after[0] you've[0] seen[0] it[0] come[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'll wait here . 	i'll wait here .	1	-1	 i'll[0] wait[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
welcome back . 	welcome back .	2	-1	 welcome[1] back[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you followed my advice ( and i see no reason why you should not have , do you ? ) , 	if you followed my advice ( and i see no reason why you should not have , do you ?<br> ) ,	1	-1	 if[0] you[0] followed[0] my[0] advice[0] and[0] i[0] see[0] no[0] reason[0] why[0] you[0] should[0] not[0] have[0] do[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm sure you've just had one of the richest cinematic experiences of your life . 	i'm sure you've just had one of the richest cinematic experiences of your life .	1	-1	 i'm[0] sure[0] you've[0] just[0] had[0] one[0] of[0] the[0] richest[0] cinematic[0] experiences[0] of[0] your[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
american beauty is an extraordinary film , a powerful , jolting exploration of the dark side of the american dream . 	american beauty is an extraordinary film , a powerful , jolting exploration of the dark side of the american dream .	3	-1	 american[0] beauty[2] is[0] an[0] extraordinary[0] film[0] a[0] powerful[0] jolting[0] exploration[0] of[0] the[0] dark[0] side[0] of[0] the[0] american[0] dream[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
