 " i'd rather die today and go to heaven than live to be a hundred and go to hell , " earnestly proclaims the pentecostal preacher . 	Translation	Positive	Negative	EmotionRationale
with that line coming from a fundamentalist christian minister , hollywood has taught us how we should fill in the rest of the story . 	with that line coming from a fundamentalist christian minister , hollywood has taught us how we should fill in the rest of the story .	1	-1	 with[0] that[0] line[0] coming[0] from[0] a[0] fundamentalist[0] christian[0] minister[0] hollywood[0] has[0] taught[0] us[0] how[0] we[0] should[0] fill[0] in[0] the[0] rest[0] of[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he will be turn out to be a scoundrel who has less actual belief in god than the average american , and all of his preaching will turn out to be a cynical ruse to extort money from his naive congregation . 	he will be turn out to be a scoundrel who has less actual belief in god than the average american , and all of his preaching will turn out to be a cynical ruse to extort money from his naive congregation .	1	-2	 he[0] will[0] be[0] turn[0] out[0] to[0] be[0] a[0] scoundrel[-1] who[0] has[0] less[0] actual[0] belief[0] in[0] god[0] than[0] the[0] average[0] american[0] and[0] all[0] of[0] his[0] preaching[0] will[0] turn[0] out[0] to[0] be[0] a[0] cynical[-1] ruse[0] to[0] extort[0] money[0] from[0] his[0] naive[-1] congregation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
from elmer gantry on , we have learned what to expect when the movies go to church . 	from elmer gantry on , we have learned what to expect when the movies go to church .	1	-1	 from[0] elmer[0] gantry[0] on[0] we[0] have[0] learned[0] what[0] to[0] expect[0] when[0] the[0] movies[0] go[0] to[0] church[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , think again , for the apostle , which robert duvall has wanted to make for over a decade , does not take the usual tack of smearing the minister , and by implication all , the rest of organized religion . 	well , think again , for the apostle , which robert duvall has wanted to make for over a decade , does not take the usual tack of smearing the minister , and by implication all , the rest of organized religion .	1	-2	 well[0] think[0] again[0] for[0] the[0] apostle[0] which[0] robert[0] duvall[0] has[0] wanted[0] to[0] make[0] for[0] over[0] a[0] decade[0] does[0] not[0] take[0] the[0] usual[0] tack[0] of[0] smearing[-1] the[0] minister[0] and[0] by[0] implication[0] all[0] the[0] rest[0] of[0] organized[0] religion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead it gives us a highly devout man , who certainly has his foibles , but with an absolute dedication to his ministry and his god . 	instead it gives us a highly devout man , who certainly has his foibles , but with an absolute dedication to his ministry and his god .	1	-2	 instead[0] it[0] gives[0] us[0] a[0] highly[0] devout[0] man[0] who[0] certainly[0] has[0] his[0] foibles[-1] but[0] with[0] an[0] absolute[0] dedication[0] to[0] his[0] ministry[0] and[0] his[0] god[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and arguably just as surprising , the good-spirited film is no comedy , even if it does have humorous moments . 	and arguably just as surprising , the good-spirited film is no comedy , even if it does have humorous moments .	3	-2	 and[0] arguably[-1] just[0] as[0] surprising[0] the[0] good[1] spirited[0] film[0] is[0] no[0] comedy[0] even[0] if[0] it[0] does[0] have[0] humorous[2] moments[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
instead of levity the picture takes a touchingly serious approach as it introduces us to a world not normally seen in motion pictures . 	instead of levity the picture takes a touchingly serious approach as it introduces us to a world not normally seen in motion pictures .	1	-2	 instead[0] of[0] levity[0] the[0] picture[0] takes[0] a[0] touchingly[0] serious[-1] approach[0] as[0] it[0] introduces[0] us[0] to[0] a[0] world[0] not[0] normally[0] seen[0] in[0] motion[0] pictures[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when in the privacy of his attic , robert duvall , as texas preacher euliss " sonny " dewey , argues sternly with his lord , the scene shares a kinship with emily watson's character crying out for her god in breaking the waves's most powerful scene . 	when in the privacy of his attic , robert duvall , as texas preacher euliss " sonny " dewey , argues sternly with his lord , the scene shares a kinship with emily watson's character crying out for her god in breaking the waves's most powerful scene .	1	-4	 when[0] in[0] the[0] privacy[0] of[0] his[0] attic[0] robert[0] duvall[0] as[0] texas[0] preacher[0] euliss[0] sonny[0] dewey[0] argues[-1] sternly[-1] with[0] his[0] lord[0] the[0] scene[0] shares[0] a[0] kinship[0] with[0] emily[0] watson's[0] character[0] crying[-3] out[0] for[0] her[0] god[0] in[0] breaking[0] the[0] waves's[0] most[0] powerful[0] scene[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the body of the story starts with sonny's coming upon an horrific auto accident , which is another part of life generally ignored by modern screenwriters . 	the body of the story starts with sonny's coming upon an horrific auto accident , which is another part of life generally ignored by modern screenwriters .	1	-4	 the[0] body[0] of[0] the[0] story[0] starts[0] with[0] sonny's[0] coming[0] upon[0] an[0] horrific[-3] auto[0] accident[-1] which[0] is[0] another[0] part[0] of[0] life[0] generally[0] ignored[0] by[0] modern[0] screenwriters[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
with his well worn bible in hand , sonny leaps from his car so that he can go pray over and with the accident's dying victims . 	with his well worn bible in hand , sonny leaps from his car so that he can go pray over and with the accident's dying victims .	1	-3	 with[0] his[0] well[0] worn[-1] bible[0] in[0] hand[0] sonny[0] leaps[0] from[0] his[0] car[0] so[0] that[0] he[0] can[0] go[0] pray[0] over[0] and[0] with[0] the[0] accident's[-1] dying[-1] victims[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the scowling police officer orders him to go away , and , after he has tried to work his miracles , sonny leaves with a smile in the confidence that he has done the lord's work . 	the scowling police officer orders him to go away , and , after he has tried to work his miracles , sonny leaves with a smile in the confidence that he has done the lord's work .	3	-2	 the[0] scowling[-1] police[0] officer[0] orders[0] him[0] to[0] go[0] away[0] and[0] after[0] he[0] has[0] tried[0] to[0] work[0] his[0] miracles[0] sonny[0] leaves[0] with[0] a[0] smile[2] in[0] the[0] confidence[1] that[0] he[0] has[0] done[0] the[0] lord's[0] work[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
robert duvall not only gives a moving and realistic performance surely destined to receive an academy award nomination but is also the film's director , writer , executive producer , and chief financier . 	robert duvall not only gives a moving and realistic performance surely destined to receive an academy award nomination but is also the film's director , writer , executive producer , and chief financier .	1	-1	 robert[0] duvall[0] not[0] only[0] gives[0] a[0] moving[0] and[0] realistic[0] performance[0] surely[0] destined[0] to[0] receive[0] an[0] academy[0] award[0] nomination[0] but[0] is[0] also[0] the[0] film's[0] director[0] writer[0] executive[0] producer[0] and[0] chief[0] financier[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rarely has a movie been such a labor of love . 	rarely has a movie been such a labor of love .	3	-1	 rarely[0] has[0] a[0] movie[0] been[0] such[0] a[0] labor[0] of[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with a white suit , peach-colored shirt and tie , and dark sunglasses , sonny looks as much like a rock star as a preacher . 	with a white suit , peach-colored shirt and tie , and dark sunglasses , sonny looks as much like a rock star as a preacher .	2	-1	 with[0] a[0] white[0] suit[0] peach[0] colored[0] shirt[0] and[0] tie[0] and[0] dark[0] sunglasses[0] sonny[0] looks[0] as[0] much[0] like[1] a[0] rock[1] star[0] as[0] a[0] preacher[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
duvall has every movement down pat . 	duvall has every movement down pat .	1	-1	 duvall[0] has[0] every[0] movement[0] down[0] pat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even when he is walking down the street , the ever strutting sonny cannot contain his energy . 	even when he is walking down the street , the ever strutting sonny cannot contain his energy .	1	-1	 even[0] when[0] he[0] is[0] walking[0] down[0] the[0] street[0] the[0] ever[0] strutting[0] sonny[0] cannot[0] contain[0] his[0] energy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he dances and claps all the way . 	he dances and claps all the way .	1	-1	 he[0] dances[0] and[0] claps[0] all[0] the[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sonny's churches having more black members than white means that he shares his preaching duties with many deep-voiced black orators , but his rhetoric is always competitive . 	sonny's churches having more black members than white means that he shares his preaching duties with many deep-voiced black orators , but his rhetoric is always competitive .	1	-1	 sonny's[0] churches[0] having[0] more[0] black[0] members[0] than[0] white[0] means[0] that[0] he[0] shares[0] his[0] preaching[0] duties[0] with[0] many[0] deep[0] voiced[0] black[0] orators[0] but[0] his[0] rhetoric[0] is[0] always[0] competitive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " i may be on the devil's hit-list , but i'm on god's mailing list , " he shouts to the congregation in a revival tent . 	 " i may be on the devil's hit-list , but i'm on god's mailing list , " he shouts to the congregation in a revival tent .	1	-2	 i[0] may[0] be[0] on[0] the[0] devil's[-1] hit[0] list[0] but[0] i'm[0] on[0] god's[0] mailing[0] list[0] he[0] shouts[0] to[0] the[0] congregation[0] in[0] a[0] revival[0] tent[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and they lap it up . 	and they lap it up .	1	-1	 and[0] they[0] lap[0] it[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
people jump up , scream , " praise the lord ! " 	people jump up , scream , " praise the lord !<br> "	3	-4	 people[0] jump[0] up[0] scream[-3] praise[2] the[0] lord[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and mean it . 	and mean it .	1	-1	 and[0] mean[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the intensity of their shared religious experience is palpable . 	the intensity of their shared religious experience is palpable .	1	-1	 the[0] intensity[0] of[0] their[0] shared[0] religious[0] experience[0] is[0] palpable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but sonny is no saint . 	but sonny is no saint .	1	-1	 but[0] sonny[0] is[0] no[0] saint[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it turns out that he has a wandering eye , which angers his wife jessie , played in a remarkably controlled performance by farrah fawcett . 	it turns out that he has a wandering eye , which angers his wife jessie , played in a remarkably controlled performance by farrah fawcett .	1	-4	 it[0] turns[0] out[0] that[0] he[0] has[0] a[0] wandering[0] eye[0] which[0] angers[-3] his[0] wife[0] jessie[0] played[0] in[0] a[0] remarkably[0] controlled[0] performance[0] by[0] farrah[0] fawcett[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
jessie gets her revenge by taking up with the church's youth minister and conniving to gain control over sonny's church , leaving him unemployed . 	jessie gets her revenge by taking up with the church's youth minister and conniving to gain control over sonny's church , leaving him unemployed .	1	-2	 jessie[0] gets[0] her[0] revenge[-1] by[0] taking[0] up[0] with[0] the[0] church's[0] youth[0] minister[0] and[0] conniving[0] to[0] gain[0] control[0] over[0] sonny's[0] church[0] leaving[0] him[0] unemployed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sonny , letting his temper get the best of him , does something foolish , which causes him to have to leave town and two beloved kids forever . 	sonny , letting his temper get the best of him , does something foolish , which causes him to have to leave town and two beloved kids forever .	3	-3	 sonny[0] letting[0] his[0] temper[-2] get[0] the[0] best[1] of[0] him[0] does[0] something[0] foolish[-1] which[0] causes[0] him[0] to[0] have[0] to[0] leave[0] town[0] and[0] two[0] beloved[2] kids[0] forever[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the bulk of the film occurs in a small , predominately black church in louisiana , which he builds up from a derelict building with no congregation into a remodeled church ( " one way road to heaven : holiness temple " ) with an enthusiastic flock . 	the bulk of the film occurs in a small , predominately black church in louisiana , which he builds up from a derelict building with no congregation into a remodeled church ( " one way road to heaven : holiness temple " ) with an enthusiastic flock .	3	-1	 the[0] bulk[0] of[0] the[0] film[0] occurs[0] in[0] a[0] small[0] predominately[0] black[0] church[0] in[0] louisiana[0] which[0] he[0] builds[0] up[0] from[0] a[0] derelict[0] building[0] with[0] no[0] congregation[0] into[0] a[0] remodeled[0] church[0] one[0] way[0] road[0] to[0] heaven[1] holiness[0] temple[0] with[0] an[0] enthusiastic[2] flock[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
