118 minutes ; not rated ( though i suspect it would be rated pg for adult themes and language ) 	Translation	Positive	Negative	EmotionRationale
mamoru oshii is a name that probably isn't very well-known to most american audiences , but perhaps it should be . 	mamoru oshi is a name that probably isn't very well-known to most american audiences , but perhaps it should be .	1	-1	 mamoru[0] oshii/oshi[0] is[0] a[0] name[0] that[0] probably[0] isn't[0] very[0] well[0] known[0] to[0] most[0] american[0] audiences[0] but[0] perhaps[0] it[0] should[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oshii was the director of last year's best-known japanese animated film import , _ghost in the shell_ , and is known among fans of japanese animation , or anime , for making films with a deep philosophical bent . 	oshi was the director of last year's best-known japanese animated film import , _ghost in the shell_ , and is known among fans of japanese animation , or anime , for making films with a deep philosophical bent .	2	-1	 oshii/oshi[0] was[0] the[0] director[0] of[0] last[0] year's[0] best[1] known[0] japanese[0] animated[0] film[0] import[0] _ghost[0] in[0] the[0] shell_[0] and[0] is[0] known[0] among[0] fans[0] of[0] japanese[0] animation[0] or[0] anime[0] for[0] making[0] films[0] with[0] a[0] deep[0] philosophical[0] bent[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one of these films was the first theatrical venture for the patlabor animated series . 	one of these films was the first theatrical venture for the patlabor animated series .	1	-1	 one[0] of[0] these[0] films[0] was[0] the[0] first[0] theatrical[0] venture[0] for[0] the[0] patlabor[0] animated[0] series[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in its many incarnations--graphic novels ( " manga " ) , two different runs of made-for-video episodes ( original animation videos , or oavs for short ) , and a television series running to nearly fifty episodes--patlabor has proven to be one of the most popular series ever in japan . 	in its many incarnations-graphic novels ( " manga " ) , two different runs of made-for-video episodes ( original animation videos , or oavs for short ) , and a television series running to nearly fifty episodes-patlabor has proven to be one of the most popular series ever in japan .	1	-1	 in[0] its[0] many[0] incarnations[0] graphic[0] novels[0] manga[0] two[0] different[0] runs[0] of[0] made[0] for[0] video[0] episodes[0] original[0] animation[0] videos[0] or[0] oavs[0] for[0] short[0] and[0] a[0] television[0] series[0] running[0] to[0] nearly[0] fifty[0] episodes[0] patlabor[0] has[0] proven[0] to[0] be[0] one[0] of[0] the[0] most[0] popular[0] series[0] ever[0] in[0] japan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
set in the very near future ( though it was a somewhat farther away near future when the series was first conceived ) , this atypical giant robot anime features the characters , rather than the machinery , as the primary focus . 	set in the very near future ( though it was a somewhat farther away near future when the series was first conceived ) , this atypical giant robot anime features the characters , rather than the machinery , as the primary focus .	1	-1	 set[0] in[0] the[0] very[0] near[0] future[0] though[0] it[0] was[0] a[0] somewhat[0] farther[0] away[0] near[0] future[0] when[0] the[0] series[0] was[0] first[0] conceived[0] this[0] atypical[0] giant[0] robot[0] anime[0] features[0] the[0] characters[0] rather[0] than[0] the[0] machinery[0] as[0] the[0] primary[0] focus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a whole , patlabor is the story of an exciting time for japan . 	as a whole , patlabor is the story of an exciting time for japan .	3	-1	 as[0] a[0] whole[0] patlabor[0] is[0] the[0] story[0] of[0] an[0] exciting[2] time[0] for[0] japan[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as the prologue to each episode of the television series explains , giant industrial robots , known as " labors " ( an interesting play on words , considering that " robot " is derived from the czech word for labor ) , have come into widespread use in japan toward the close of the twentieth century . 	as the prologue to each episode of the television series explains , giant industrial robots , known as " labors " ( an interesting play on words , considering that " robot " is derived from the czech word for labor ) , have come into widespread use in japan toward the close of the twentieth century .	2	-1	 as[0] the[0] prologue[0] to[0] each[0] episode[0] of[0] the[0] television[0] series[0] explains[0] giant[0] industrial[0] robots[0] known[0] as[0] labors[0] an[0] interesting[1] play[0] on[0] words[0] considering[0] that[0] robot[0] is[0] derived[0] from[0] the[0] czech[0] word[0] for[0] labor[0] have[0] come[0] into[0] widespread[0] use[0] in[0] japan[0] toward[0] the[0] close[0] of[0] the[0] twentieth[0] century[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with the rise of labors , however , has come a new menace--labor crime . 	with the rise of labors , however , has come a new menace-labor crime .	1	-3	 with[0] the[0] rise[0] of[0] labors[0] however[0] has[0] come[0] a[0] new[0] menace[-2] labor[0] crime[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this led to the creation of the two special vehicle divisions , using patrol labors to fight labor crime . 	this led to the creation of the two special vehicle divisions , using patrol labors to fight labor crime .	2	-3	 this[0] led[0] to[0] the[0] creation[0] of[0] the[0] two[0] special[1] vehicle[0] divisions[0] using[0] patrol[0] labors[0] to[0] fight[-2] labor[0] crime[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the patlabor story centers around the second special vehicle division , sv2 , who , through no fault of their own , have acquired a bad reputation for destructiveness . 	the patlabor story centers around the second special vehicle division , sv2 , who , through no fault of their own , have acquired a bad reputation for destructiveness .	2	-2	 the[0] patlabor[0] story[0] centers[0] around[0] the[0] second[0] special[1] vehicle[0] division[-1] sv2[0] who[0] through[0] no[0] fault[-1] of[0] their[0] own[0] have[0] acquired[0] a[0] bad[-1] reputation[0] for[0] destructiveness[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sometimes utterly hilarious , sometimes almost deadly serious , the patlabor series explores the interpersonal relationships of the special vehicle crewmembers , and also looks at the effects of technology on modern life . 	sometimes utterly hilarious , sometimes almost deadly serious , the patlabor series explores the interpersonal relationships of the special vehicle crewmembers , and also looks at the effects of technology on modern life .	3	-2	 sometimes[0] utterly[0] hilarious[2] sometimes[0] almost[0] deadly[-1] serious[-1] the[0] patlabor[0] series[0] explores[0] the[0] interpersonal[0] relationships[0] of[0] the[0] special[1] vehicle[0] crewmembers[0] and[0] also[0] looks[0] at[0] the[0] effects[0] of[0] technology[0] on[0] modern[0] life[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
