plot : jet li is a chinese cop asked to help some french policemen nab a bad guy . 	Translation	Positive	Negative	EmotionRationale
but one thing leads to another , and the next thing you know , li's being chased by the same french cops with whom he was supposed to be working . 	but one thing leads to another , and the next thing you know , li's being chased by the same french cops with whom he was supposed to be working .	1	-2	 but[0] one[0] thing[0] leads[0] to[0] another[0] and[0] the[0] next[0] thing[0] you[0] know[0] li's[0] being[0] chased[-1] by[0] the[0] same[0] french[0] cops[0] with[0] whom[0] he[0] was[0] supposed[0] to[0] be[0] working[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a lot of ass-kicking , face-whippings , gun fights and . . . okay , a little more ass-kicking ensues . 	a lot of ass-kicking , face-whippings , gun fights and .<br> .<br> .<br> okay , a little more ass-kicking ensues .	1	-3	 a[0] lot[0] of[0] ass[0] kicking[-1] face[0] whippings[0] gun[-1] fights[-2] and[0] [[Sentence=-3,1=word max, 1-5]] okay[0] a[0] little[0] more[0] ass[0] kicking[-1] ensues[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
critique : very cool ! 	critique : very cool !	3	-1	 critique[0] very[0] cool[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now here's a movie that gives you exactly what you're looking for , if what you're looking for is kickass action , a palpable good cop/bad cop story line , some hardcore stunts and jet li slam-dunking everyone in sight ! 	now here's a movie that gives you exactly what you're looking for , if what you're looking for is kickass action , a palpable good cop/bad cop story line , some hardcore stunts and jet li slam-dunking everyone in sight !	2	-2	 now[0] here's[0] a[0] movie[0] that[0] gives[0] you[0] exactly[0] what[0] you're[0] looking[0] for[0] if[0] what[0] you're[0] looking[0] for[0] is[0] kickass[-1] action[0] a[0] palpable[0] good[1] cop/bad[0] cop[0] story[0] line[0] some[0] hardcore[0] stunts[0] and[0] jet[0] li[0] slam[-1] dunking[0] everyone[0] in[0] sight[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film also moves fast ( a mere 95 minutes ) , develops a certain " cute " chemistry between fonda and li , has nice surroundings ( paris , baby ! ) and gives us one of the best bad guys that i've seen all year . 	the film also moves fast ( a mere 95 minutes ) , develops a certain " cute " chemistry between fonda and li , has nice surroundings ( paris , baby !<br> ) and gives us one of the best bad guys that i've seen all year .	2	-2	 the[0] film[0] also[0] moves[0] fast[0] a[0] mere[0] 95[0] minutes[0] develops[0] a[0] certain[0] cute[1] chemistry[0] between[0] fonda[0] and[0] li[0] has[0] nice[1] surroundings[0] paris[0] baby[1] [[Sentence=-1,2=word max, 1-5]] and[0] gives[0] us[0] one[0] of[0] the[0] best[1] bad[-1] guys[0] that[0] i've[0] seen[0] all[0] year[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
tcheky karyo is the devil incarnate in this film . 	tcheky karyo is the devil incarnate in this film .	1	-2	 tcheky[0] karyo[0] is[0] the[0] devil[-1] incarnate[0] in[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is pure evil . 	he is pure evil .	1	-3	 he[0] is[0] pure[0] evil[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they should have called this movie bad lieutenant 2 as keitel has nothing on this man . 	they should have called this movie bad lieutenant 2 as keitel has nothing on this man .	1	-2	 they[0] should[0] have[0] called[0] this[0] movie[0] bad[-1] lieutenant[0] 2[0] as[0] keitel[0] has[0] nothing[0] on[0] this[0] man[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what a great , great monster ! 	what a great , great monster !	4	-2	 what[0] a[0] great[2] great[2][+1 MultiplePositiveWords] monster[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
my favorite line of tcheky's was when li was explaining the whole " kiss of the dragon " thing to him and he cut him off by saying " kiss my ass ! " 	my favorite line of tcheky's was when li was explaining the whole " kiss of the dragon " thing to him and he cut him off by saying " kiss my ass !<br> "	3	-1	 my[0] favorite[1] line[0] of[0] tcheky's[0] was[0] when[0] li[0] was[0] explaining[0] the[0] whole[0] kiss[2] of[0] the[0] dragon[0] thing[0] to[0] him[0] and[0] he[0] cut[0] him[0] off[0] by[0] saying[0] kiss[2] my[0] ass[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
pure action movie poetry . 	pure action movie poetry .	1	-1	 pure[0] action[0] movie[0] poetry[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway , other than him , jet li also handled his " acting " pretty well in this film , with very little real dialogue to say , but enough to make us believe his character . 	anyway , other than him , jet li also handled his " acting " pretty well in this film , with very little real dialogue to say , but enough to make us believe his character .	3	-1	 anyway[0] other[0] than[0] him[0] jet[0] li[0] also[0] handled[0] his[0] acting[0] pretty[2] well[0] in[0] this[0] film[0] with[0] very[0] little[0] real[0] dialogue[0] to[0] say[0] but[0] enough[0] to[0] make[0] us[0] believe[0] his[0] character[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
actually , just looking into the man's eyes generally tells you a lot . 	actually , just looking into the man's eyes generally tells you a lot .	1	-1	 actually[0] just[0] looking[0] into[0] the[0] man's[0] eyes[0] generally[0] tells[0] you[0] a[0] lot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fonda was also pretty good , despite playing one of the most trashy and abused women that i have seen in quite some time , but i still felt kinda bad for her , so i guess she did her job okay . 	fonda was also pretty good , despite playing one of the most trashy and abused women that i have seen in quite some time , but i still felt kinda bad for her , so i guess she did her job okay .	3	-4	 fonda[0] was[0] also[0] pretty[2] good[1] despite[0] playing[1] one[0] of[0] the[0] most[0] trashy[-1] and[0] abused[-3] women[0] that[0] i[0] have[0] seen[0] in[0] quite[0] some[0] time[0] but[0] i[0] still[0] felt[0] kinda[0] bad[-1] for[0] her[0] so[0] i[0] guess[0] she[0] did[0] her[0] job[0] okay[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but in the end , nobody goes to see this kind of movie for oscar performances . 	but in the end , nobody goes to see this kind of movie for oscar performances .	2	-1	 but[0] in[0] the[0] end[0] nobody[0] goes[0] to[0] see[0] this[0] kind[1] of[0] movie[0] for[0] oscar[0] performances[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we go to see jet li movies because we want to see jet li kicking a lot of ass from side to side , and this film delivers gangbusters on that front . 	we go to see jet li movies because we want to see jet li kicking a lot of ass from side to side , and this film delivers gangbusters on that front .	1	-2	 we[0] go[0] to[0] see[0] jet[0] li[0] movies[0] because[0] we[0] want[0] to[0] see[0] jet[0] li[0] kicking[-1] a[0] lot[0] of[0] ass[0] from[0] side[0] to[0] side[0] and[0] this[0] film[0] delivers[0] gangbusters[0] on[0] that[0] front[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
