it was with great trepidation that i approached +mary+ , the farrelly brothers+ latest film . 	Translation	Positive	Negative	EmotionRationale
i knew the film would be funny--the trailer alone had me laugh harder than the actual comedy i went to see . 	i knew the film would be funny-the trailer alone had me laugh harder than the actual comedy i went to see .	2	-1	 i[0] knew[0] the[0] film[0] would[0] be[0] funny[1] the[0] trailer[0] alone[0] had[0] me[0] laugh[1] harder[0] than[0] the[0] actual[0] comedy[0] i[0] went[0] to[0] see[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but i also knew the film would be an equal-opportunity offender , attacking the sensibilities of the politically correct with reckless abandon . 	but i also knew the film would be an equal-opportunity offender , attacking the sensibilities of the politically correct with reckless abandon .	1	-3	 but[0] i[0] also[0] knew[0] the[0] film[0] would[0] be[0] an[0] equal[0] opportunity[0] offender[-1] attacking[-2] the[0] sensibilities[0] of[0] the[0] politically[0] correct[0] with[0] reckless[-1] abandon[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i figured the film would be raunchy , maybe another lucky escapee from nc-17 hell . 	i figured the film would be raunchy , maybe another lucky escapee from nc-17 hell .	2	-2	 i[0] figured[0] the[0] film[0] would[0] be[0] raunchy[0] maybe[0] another[0] lucky[1] escapee[0] from[0] nc[0] -17[0] hell[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i may laugh , but would i feel better in the morning ? 	i may laugh , but would i feel better in the morning ?	1	-1	 i[0] may[0] laugh[1][-1 LastWordBoosterStrength] but[0] would[0] i[0] feel[0] better[0] in[0] the[0] morning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i needn t have worried . 	i needn t have worried .	1	-4	 i[0] needn[0] t[0] have[0] worried[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 mary  is the sweetest , warmest , all-out laugh-and-grossfest this side of _animal house_ . 	 mary  is the sweetest , warmest , all-out laugh-and-grossfest this side of _animal house_ .	2	-2	 mary[0] is[0] the[0] sweetest[0] warmest[0] all[0] out[0] laugh[1] and[0] grossfest[-1] this[0] side[0] of[0] _animal[0] house_[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
surprisingly , the farrelly brothers have walked that very tight line of making a touching romantic comedy on the side , and filling the details with five or six outrageous howlers . 	surprisingly , the farrelly brothers have walked that very tight line of making a touching romantic comedy on the side , and filling the details with five or six outrageous howlers .	4	-3	 surprisingly[0] the[0] farrelly[0] brothers[0] have[0] walked[0] that[0] very[0] tight[0] line[0] of[0] making[0] a[0] touching[0] romantic[3] comedy[0] on[0] the[0] side[0] and[0] filling[0] the[0] details[0] with[0] five[0] or[0] six[0] outrageous[-2] howlers[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
they make laughter , the toughest job for a filmmaker to do , look easy . 	they make laughter , the toughest job for a filmmaker to do , look easy .	2	-2	 they[0] make[0] laughter[1] the[0] toughest[-1] job[0] for[0] a[0] filmmaker[0] to[0] do[0] look[0] easy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot is typical . 	the plot is typical .	1	-1	 the[0] plot[0] is[0] typical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thirteen years ago , geeky ted ( ben stiller ) lucked out in having dazzling mary ( cameron diaz ) go with him to the senior prom . 	thirteen years ago , geeky ted ( ben stiller ) lucked out in having dazling mary ( cameron diaz ) go with him to the senior prom .	3	-1	 thirteen[0] years[0] ago[0] geeky[0] ted[0] ben[0] stiller[0] lucked[2] out[0] in[0] having[0] dazzling/dazling[0] mary[0] cameron[0] diaz[0] go[0] with[0] him[0] to[0] the[0] senior[0] prom[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as luck would have it , on that very day , he was hospitalized . 	as luck would have it , on that very day , he was hospitalized .	3	-1	 as[0] luck[2] would[0] have[0] it[0] on[0] that[0] very[0] day[0] he[0] was[0] hospitalized[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
why , i shall not tell , but i assure you , it isn t pretty . 	why , i shall not tell , but i assure you , it isn t pretty .	3	-1	 why[0] i[0] shall[0] not[0] tell[0] but[0] i[0] assure[0] you[0] it[0] isn[0] t[0] pretty[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he hires a private investigator to find her : pat healy ( matt dillon ) . 	he hires a private investigator to find her : pat healy ( matt dillon ) .	1	-1	 he[0] hires[0] a[0] private[0] investigator[0] to[0] find[0] her[0] pat[0] healy[0] matt[0] dillon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he becomes one of the great comic villains . 	he becomes one of the great comic villains .	3	-3	 he[0] becomes[0] one[0] of[0] the[0] great[2] comic[0] villains[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
