i know that " funnest " isn't a word . 	Translation	Positive	Negative	EmotionRationale
 " fun " is a noun , and therefore cannot be conjugated like an adjective . 	 " fun " is a noun , and therefore cannot be conjugated like an adjective .	2	-1	 fun[1] is[0] a[0] noun[0] and[0] therefore[0] cannot[0] be[0] conjugated[0] like[1] an[0] adjective[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but that's the word that came to me right after viewing " chicken run . " 	but that's the word that came to me right after viewing " chicken run .<br> "	1	-1	 but[0] that's[0] the[0] word[0] that[0] came[0] to[0] me[0] right[0] after[0] viewing[0] chicken[0] run[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no wonder : this is the kind of movie that reduces you to childish expressions , like " that was the funnest movie i've ever seen ! " 	no wonder : this is the kind of movie that reduces you to childish expressions , like " that was the funnest movie i've ever seen !<br> "	2	-2	 no[0] wonder[0] this[0] is[0] the[0] kind[1] of[0] movie[0] that[0] reduces[0] you[0] to[0] childish[-1] expressions[0] like[1] that[0] was[0] the[0] funnest[1] movie[0] i've[0] ever[0] seen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so to hell with webster's -- " chicken run " is one of the funnest movies i've seen in a while . 	so to hell with webster's - " chicken run " is one of the funnest movies i've seen in a while .	2	-2	 so[0] to[0] hell[-1] with[0] webster's[0] chicken[0] run[0] is[0] one[0] of[0] the[0] funnest[1] movies[0] i've[0] seen[0] in[0] a[0] while[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i can't remember the last time i've seen anything funner . 	i can't remember the last time i've seen anything funner .	2	-1	 i[0] can't[0] remember[0] the[0] last[0] time[0] i've[0] seen[0] anything[0] funner[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the chickens at tweedy's farm are up to something . 	the chickens at tweedy's farm are up to something .	1	-1	 the[0] chickens[0] at[0] tweedy's[0] farm[0] are[0] up[0] to[0] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
living in a concentration camp-like atmosphere , they are led by one plucky hen called ginger ( voice of julia sawalha ) who continually comes up with plans for escape -- and always gets caught , subsequently spending day after day in the coal box . 	living in a concentration camp-like atmosphere , they are led by one plucky hen called ginger ( voice of julia sawalha ) who continually comes up with plans for escape - and always gets caught , subsequently spending day after day in the coal box .	2	-1	 living[0] in[0] a[0] concentration[0] camp[0] like[1] atmosphere[0] they[0] are[0] led[0] by[0] one[0] plucky[0] hen[0] called[0] ginger[0] voice[0] of[0] julia[0] sawalha[0] who[0] continually[0] comes[0] up[0] with[0] plans[0] for[0] escape[0] and[0] always[0] gets[0] caught[0] subsequently[0] spending[0] day[0] after[0] day[0] in[0] the[0] coal[0] box[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one night , a brash american rooster flies in over the fence , calling himself rocky ( mel gibson ) , famous flying rooster and circus performer . 	one night , a brash american rooster flies in over the fence , calling himself rocky ( mel gibson ) , famous flying rooster and circus performer .	1	-1	 one[0] night[0] a[0] brash[0] american[0] rooster[0] flies[0] in[0] over[0] the[0] fence[0] calling[0] himself[0] rocky[0] mel[0] gibson[0] famous[0] flying[0] rooster[0] and[0] circus[0] performer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rocky promises to teach the chickens how to fly , and the situation grows more desperate as the nefarious mrs . tweedy ( miranda richardson ) decides to abandon the farm's egg-selling plan for a pie-selling plan . 	rocky promises to teach the chickens how to fly , and the situation grows more desperate as the nefarious mrs .<br> tweedy ( miranda richardson ) decides to abandon the farm's egg-selling plan for a pie-selling plan .	2	-3	 rocky[0] promises[1] to[0] teach[0] the[0] chickens[0] how[0] to[0] fly[0] and[0] the[0] situation[0] grows[0] more[0] desperate[-2] as[0] the[0] nefarious[0] mrs[0] [[Sentence=-3,2=word max, 1-5]] tweedy[0] miranda[0] richardson[0] decides[0] to[0] abandon[-1] the[0] farm's[0] egg[0] selling[0] plan[0] for[0] a[0] pie[0] selling[0] plan[0] [[Sentence=-2,1=word max, 1-5]][[[2,-3 max of sentences]]]
she orders a huge pie-making machine , cackling , " chickens go in ; pies come out . " 	she orders a huge pie-making machine , cackling , " chickens go in ; pies come out .<br> "	1	-1	 she[0] orders[0] a[0] huge[0] pie[0] making[0] machine[0] cackling[0] chickens[0] go[0] in[0] pies[0] come[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
