the saint was actually a little better than i expected it to be , in some ways . 	Translation	Positive	Negative	EmotionRationale
in this theatrical remake of the television series the saint , and its series sequel the return of the saint , val kilmer plays simon templar , an elusive thief who makes a living by stealing things from others for others . 	in this theatrical remake of the television series the saint , and its series sequel the return of the saint , val kilmer plays simon templar , an elusive thief who makes a living by stealing things from others for others .	2	-3	 in[0] this[0] theatrical[0] remake[0] of[0] the[0] television[0] series[0] the[0] saint[0] and[0] its[0] series[0] sequel[0] the[0] return[0] of[0] the[0] saint[0] val[0] kilmer[0] plays[1] simon[0] templar[0] an[0] elusive[0] thief[-1] who[0] makes[0] a[0] living[0] by[0] stealing[-2] things[0] from[0] others[0] for[0] others[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this movie closely resembles a james bond flick . 	this movie closely resembles a james bond flick .	1	-1	 this[0] movie[0] closely[0] resembles[0] a[0] james[0] bond[0] flick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it has the classic bond symbols : a man who can do just about anything and get away with it , a woman whom the man persues , a villain out to achieve something for himself who kills anyone to reach this goal . 	it has the classic bond symbols : a man who can do just about anything and get away with it , a woman whom the man persues , a villain out to achieve something for himself who kills anyone to reach this goal .	1	-3	 it[0] has[0] the[0] classic[0] bond[0] symbols[0] a[0] man[0] who[0] can[0] do[0] just[0] about[0] anything[0] and[0] get[0] away[0] with[0] it[0] a[0] woman[0] whom[0] the[0] man[0] persues[0] a[0] villain[-2] out[0] to[0] achieve[0] something[0] for[0] himself[0] who[0] kills[0] anyone[0] to[0] reach[0] this[0] goal[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
kilmer actually provides a rather good role in this movie , although at times you are left to ponder how he actually gets out of the many tight situations . 	kilmer actually provides a rather good role in this movie , although at times you are left to ponder how he actually gets out of the many tight situations .	2	-1	 kilmer[0] actually[0] provides[0] a[0] rather[0] good[1] role[0] in[0] this[0] movie[0] although[0] at[0] times[0] you[0] are[0] left[0] to[0] ponder[0] how[0] he[0] actually[0] gets[0] out[0] of[0] the[0] many[0] tight[0] situations[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie begins in his childhood in a strict school run by catholic priests . 	the movie begins in his childhood in a strict school run by catholic priests .	1	-2	 the[0] movie[0] begins[0] in[0] his[0] childhood[0] in[0] a[0] strict[-1] school[0] run[0] by[0] catholic[0] priests[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as a young boy , kilmer's character enjoyed magic and would often journey away from his schoolwork . 	as a young boy , kilmer's character enjoyed magic and would often journey away from his schoolwork .	3	-1	 as[0] a[0] young[0] boy[0] kilmer's[0] character[0] enjoyed[2] magic[0] and[0] would[0] often[0] journey[0] away[0] from[0] his[0] schoolwork[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that is until his school teacher finds him reading a book and demands that the young boy proclaim his name , that of a catholic saint . 	that is until his school teacher finds him reading a book and demands that the young boy proclaim his name , that of a catholic saint .	1	-1	 that[0] is[0] until[0] his[0] school[0] teacher[0] finds[0] him[0] reading[0] a[0] book[0] and[0] demands[0] that[0] the[0] young[0] boy[0] proclaim[0] his[0] name[0] that[0] of[0] a[0] catholic[0] saint[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he refuses to do so and instead announces who he wishes to be . 	he refuses to do so and instead announces who he wishes to be .	1	-2	 he[0] refuses[-1] to[0] do[0] so[0] and[0] instead[0] announces[0] who[0] he[0] wishes[0] to[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this leads to a devestating mistake , which is something that will stay in his mind throughout his life . 	this leads to a devestating mistake , which is something that will stay in his mind throughout his life .	1	-2	 this[0] leads[0] to[0] a[0] devestating[0] mistake[-1] which[0] is[0] something[0] that[0] will[0] stay[0] in[0] his[0] mind[0] throughout[0] his[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kilmer's first mission that we are shown is to steal a microchip from ivan tretiak , played by rade serbedzija . 	kilmer's first mission that we are shown is to steal a microchip from ivan tretiak , played by rade serbedzija .	1	-3	 kilmer's[0] first[0] mission[0] that[0] we[0] are[0] shown[0] is[0] to[0] steal[-2] a[0] microchip[0] from[0] ivan[0] tretiak[0] played[0] by[0] rade[0] serbedzija[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
