it was a crazy time in france , what with the french revolution right around the corner . 	Translation	Positive	Negative	EmotionRationale
king louis xv would soon die , and his son would become king louis xvi . 	king louis xv would soon die , and his son would become king louis xvi .	1	-1	 king[0] louis[0] xv[0] would[0] soon[0] die[0] and[0] his[0] son[0] would[0] become[0] king[0] louis[0] xvi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
such is the setting for beaumarchais : the scoundrel about the controversial playwright , spy and playboy pierre-augustin caron de beaumarchais . 	such is the setting for beaumarchais : the scoundrel about the controversial playwright , spy and playboy pierre-augustin caron de beaumarchais .	1	-2	 such[0] is[0] the[0] setting[0] for[0] beaumarchais[0] the[0] scoundrel[-1] about[0] the[0] controversial[-1] playwright[0] spy[0] and[0] playboy[0] pierre[0] augustin[0] caron[0] de[0] beaumarchais[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
beaumarchais was the author of the plays , " the barber of seville " and " the marriage of figaro . " 	beaumarchais was the author of the plays , " the barber of seville " and " the marriage of figaro .<br> "	2	-1	 beaumarchais[0] was[0] the[0] author[0] of[0] the[0] plays[1] the[0] barber[0] of[0] seville[0] and[0] the[0] marriage[0] of[0] figaro[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
today people think of them as quaint and harmless operas , but , back in 1773 when the movie takes place , they were so scandalous that beaumarchais was thrown into prison more than once . 	today people think of them as quaint and harmless operas , but , back in 1773 when the movie takes place , they were so scandalous that beaumarchais was thrown into prison more than once .	2	-3	 today[0] people[0] think[0] of[0] them[0] as[0] quaint[0] and[0] harmless[1] operas[0] but[0] back[0] in[0] 1773[0] when[0] the[0] movie[0] takes[0] place[0] they[0] were[0] so[0] scandalous[-2] that[0] beaumarchais[0] was[0] thrown[0] into[0] prison[-1] more[0] than[0] once[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the movie beaumarchais : the scoundrel takes a light-hearted approach to its subject , resulting in an inviting motion picture . 	the movie beaumarchais : the scoundrel takes a light-hearted approach to its subject , resulting in an inviting motion picture .	1	-2	 the[0] movie[0] beaumarchais[0] the[0] scoundrel[-1] takes[0] a[0] light[0] hearted[0] approach[0] to[0] its[0] subject[0] resulting[0] in[0] an[0] inviting[0] motion[0] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of france's most expensive productions ever , the movie was a huge hit when it opened there last year . 	one of france's most expensive productions ever , the movie was a huge hit when it opened there last year .	1	-2	 one[0] of[0] france's[0] most[0] expensive[-1] productions[0] ever[0] the[0] movie[0] was[0] a[0] huge[0] hit[0] when[0] it[0] opened[0] there[0] last[0] year[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now in theatrical release in the united states , it eschews the seriousness of most art house films with a romping good story . 	now in theatrical release in the united states , it eschews the seriousness of most art house films with a romping good story .	2	-2	 now[0] in[0] theatrical[0] release[0] in[0] the[0] united[0] states[0] it[0] eschews[0] the[0] seriousness[-1] of[0] most[0] art[0] house[0] films[0] with[0] a[0] romping[0] good[1] story[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the secret of the film's success , other than the lavishness of sylvie de segonzac's costumes , has to be the performance by fabrice luchini as beaumarchais . 	the secret of the film's success , other than the lavishness of sylvie de segonzac's costumes , has to be the performance by fabrice luchini as beaumarchais .	3	-1	 the[0] secret[0] of[0] the[0] film's[0] success[2] other[0] than[0] the[0] lavishness[0] of[0] sylvie[0] de[0] segonzac's[0] costumes[0] has[0] to[0] be[0] the[0] performance[0] by[0] fabrice[0] luchini[0] as[0] beaumarchais[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with his glistening eyes and his infectious smile , he mesmerizes the camera and the audience . 	with his glistening eyes and his infectious smile , he mesmerizes the camera and the audience .	3	-2	 with[0] his[0] glistening[0] eyes[0] and[0] his[0] infectious[-1] smile[2] he[0] mesmerizes[0] the[0] camera[0] and[0] the[0] audience[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
his wry little lips seem always to hint at some unspoken deviousness he is planning . 	his wry little lips seem always to hint at some unspoken deviousness he is planning .	1	-2	 his[0] wry[0] little[0] lips[0] seem[0] always[0] to[0] hint[0] at[0] some[0] unspoken[0] deviousness[-1] he[0] is[0] planning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
