a standoff . 	Translation	Positive	Negative	EmotionRationale
a man holds a woman , a diplomat's daughter , hostage in his embrace , a gun pressed to her head . 	a man holds a woman , a diplomat's daughter , hostage in his embrace , a gun pressed to her head .	1	-2	 a[0] man[0] holds[0] a[0] woman[0] a[0] diplomat's[0] daughter[0] hostage[0] in[0] his[0] embrace[0] a[0] gun[-1] pressed[0] to[0] her[0] head[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a cop , impaired by drink due to his wife's philandering , trains his gun on the man's nether regions , threatening to shoot . 	a cop , impaired by drink due to his wife's philandering , trains his gun on the man's nether regions , threatening to shoot .	1	-3	 a[0] cop[0] impaired[-1] by[0] drink[0] due[0] to[0] his[0] wife's[0] philandering[0] trains[0] his[0] gun[-1] on[0] the[0] man's[0] nether[0] regions[0] threatening[-2] to[0] shoot[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
another cop holds his gun to his partner's temple , forcing him to disarm . 	another cop holds his gun to his partner's temple , forcing him to disarm .	1	-2	 another[0] cop[0] holds[0] his[0] gun[-1] to[0] his[0] partner's[0] temple[0] forcing[0] him[0] to[0] disarm[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the scene unfolds like a foursome bidding in bridge--upping the ante , signaling tacitly , going for game . 	the scene unfolds like a foursome bidding in bridge-upping the ante , signaling tacitly , going for game .	2	-1	 the[0] scene[0] unfolds[0] like[1] a[0] foursome[0] bidding[0] in[0] bridge[0] upping[0] the[0] ante[0] signaling[0] tacitly[0] going[0] for[0] game[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the second cop retrieves the first cop's weapon , the suspect lowers his , and the woman caught in the middle moves--in slow motion--to safety . 	the second cop retrieves the first cop's weapon , the suspect lowers his , and the woman caught in the middle moves-in slow motion-to safety .	2	-2	 the[0] second[0] cop[0] retrieves[0] the[0] first[0] cop's[0] weapon[-1] the[0] suspect[-1] lowers[0] his[0] and[0] the[0] woman[0] caught[0] in[0] the[0] middle[0] moves[0] in[0] slow[0] motion[0] to[0] safety[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is then that the intoxicated officer makes his move , grabbing for the assailant's gun . 	it is then that the intoxicated officer makes his move , grabbing for the assailant's gun .	1	-3	 it[0] is[0] then[0] that[0] the[0] intoxicated[-1] officer[0] makes[0] his[0] move[0] grabbing[-1] for[0] the[0] assailant's[-2] gun[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the room turns upside down , a shot rings out , a cop is down . 	the room turns upside down , a shot rings out , a cop is down .	1	-2	 the[0] room[0] turns[0] upside[0] down[0] a[0] shot[-1] rings[0] out[0] a[0] cop[0] is[0] down[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
shot in the back and paralyzed for life . 	shot in the back and paralyzed for life .	1	-2	 shot[-1] in[0] the[0] back[0] and[0] paralyzed[-1] for[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the young man who found himself in the wrong place at the wrong time is sent to prison for six years for a crime he didn't commit . 	the young man who found himself in the wrong place at the wrong time is sent to prison for six years for a crime he didn't commit .	1	-2	 the[0] young[0] man[0] who[0] found[0] himself[0] in[0] the[0] wrong[-1] place[0] at[0] the[0] wrong[-1] time[0] is[0] sent[0] to[0] prison[-1] for[0] six[0] years[0] for[0] a[0] crime[-1] he[0] didn't[0] commit[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
storytelling has always been one of pedro almod ? var's greatest gifts and in " live flesh " he gives us a twisting , turning , compelling tale peppered with well-written , colorful characters . 	storytelling has always been one of pedro almod ?<br> var's greatest gifts and in " live flesh " he gives us a twisting , turning , compelling tale peppered with well-written , colorful characters .	3	-1	 storytelling[0] has[0] always[0] been[0] one[0] of[0] pedro[0] almod[0] [[Sentence=-1,1=word max, 1-5]] var's[0] greatest[2] gifts[0] and[0] in[0] live[0] flesh[0] he[0] gives[0] us[0] a[0] twisting[0] turning[0] compelling[0] tale[0] peppered[0] with[0] well[0] written[0] colorful[0] characters[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
characters who find themselves , more often than not , in carefully-constructed scenes like these . 	characters who find themselves , more often than not , in carefully-constructed scenes like these .	2	-1	 characters[0] who[0] find[0] themselves[0] more[0] often[0] than[0] not[0] in[0] carefully[0] constructed[0] scenes[0] like[1] these[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
