you may not have heard of lucas , or if you have , you might not think much of it . 	Translation	Positive	Negative	EmotionRationale
probably because it stars corey haim , or maybe because it's about a little geek who collects insects , or maybe because it doesn't feature slick one-liners or the chart topping soundtrack albums that were almost a requirement for teen films in the 80's . 	probably because it stars corey haim , or maybe because it's about a little geek who collects insects , or maybe because it doesn't feature slick one-liners or the chart topping soundtrack albums that were almost a requirement for teen films in the 80's .	1	-1	 probably[0] because[0] it[0] stars[0] corey[0] haim[0] or[0] maybe[0] because[0] it's[0] about[0] a[0] little[0] geek[0] who[0] collects[0] insects[0] or[0] maybe[0] because[0] it[0] doesn't[0] feature[0] slick[0] one[0] liners[0] or[0] the[0] chart[0] topping[0] soundtrack[0] albums[0] that[0] were[0] almost[0] a[0] requirement[0] for[0] teen[0] films[0] in[0] the[0] 80's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , you have been missing out on a true masterpeice , the best film of 1986 , and the best film about adolescent life ever made . 	however , you have been missing out on a true masterpeice , the best film of 1986 , and the best film about adolescent life ever made .	2	-1	 however[0] you[0] have[0] been[0] missing[0] out[0] on[0] a[0] true[1] masterpeice[0] the[0] best[1] film[0] of[0] 1986[0] and[0] the[0] best[1] film[0] about[0] adolescent[0] life[0] ever[0] made[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
corey haim stars as lucas bligh , a tiny 14 year old with scruffy hair , thick glasses , and an interest in insects and other outdoor life . 	corey haim stars as lucas bligh , a tiny 14 year old with scruffy hair , thick glasses , and an interest in insects and other outdoor life .	2	-1	 corey[0] haim[0] stars[0] as[0] lucas[0] bligh[0] a[0] tiny[0] 14[0] year[0] old[0] with[0] scruffy[0] hair[0] thick[0] glasses[0] and[0] an[0] interest[1] in[0] insects[0] and[0] other[0] outdoor[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one day he stops by the tennis courts and sees what must be an angel to him . 	one day he stops by the tennis courts and sees what must be an angel to him .	1	-1	 one[0] day[0] he[0] stops[0] by[0] the[0] tennis[0] courts[0] and[0] sees[0] what[0] must[0] be[0] an[0] angel[0] to[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her name is maggie , a 16 year old who certainly is a beauty , with lovely red hair and a sweet , innocent complexion . 	her name is maggie , a 16 year old who certainly is a beauty , with lovely red hair and a sweet , innocent complexion .	3	-1	 her[0] name[0] is[0] maggie[0] a[0] 16[0] year[0] old[0] who[0] certainly[0] is[0] a[0] beauty[2] with[0] lovely[1] red[0] hair[0] and[0] a[0] sweet[1] innocent[1] complexion[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
maggie seems to be a little disturbed by this little kid watching her , but somehow he interests her , and soon they are talking and getting to know one another . 	maggie seems to be a little disturbed by this little kid watching her , but somehow he interests her , and soon they are talking and getting to know one another .	2	-2	 maggie[0] seems[0] to[0] be[0] a[0] little[0] disturbed[-1] by[0] this[0] little[0] kid[0] watching[0] her[0] but[0] somehow[0] he[0] interests[1] her[0] and[0] soon[0] they[0] are[0] talking[0] and[0] getting[0] to[0] know[0] one[0] another[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they gradually become good friends , and spend the summer together doing various things , such as studying insects ( namely locusts , who come out of hiding once every 17 years ) , playing tennis , and listening to a symphony orchestra through a manhole cover . 	they gradually become good friends , and spend the summer together doing various things , such as studying insects ( namely locusts , who come out of hiding once every 17 years ) , playing tennis , and listening to a symphony orchestra through a manhole cover .	2	-1	 they[0] gradually[0] become[0] good[1] friends[1] and[0] spend[0] the[0] summer[0] together[0] doing[0] various[0] things[0] such[0] as[0] studying[0] insects[0] namely[0] locusts[0] who[0] come[0] out[0] of[0] hiding[0] once[0] every[0] 17[0] years[0] playing[1] tennis[0] and[0] listening[0] to[0] a[0] symphony[0] orchestra[0] through[0] a[0] manhole[0] cover[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lucas is obviously in love with maggie , and while she is charmed by him , it's clear that she would never consider him anything more than a very good friend . 	lucas is obviously in love with maggie , and while she is charmed by him , it's clear that she would never consider him anything more than a very good friend .	3	-1	 lucas[0] is[0] obviously[0] in[0] love[2] with[0] maggie[0] and[0] while[0] she[0] is[0] charmed[1] by[0] him[0] it's[0] clear[0] that[0] she[0] would[0] never[0] consider[0] him[0] anything[0] more[0] than[0] a[0] very[0] good[1][1 LastWordBoosterStrength] friend[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is not clear to lucas , however . 	this is not clear to lucas , however .	1	-1	 this[0] is[0] not[0] clear[0] to[0] lucas[0] however[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he still beleives that maggie is his soulmate , and he dreads the impending start of school because he knows what's about to happen . 	he still beleives that maggie is his soulmate , and he dreads the impending start of school because he knows what's about to happen .	4	-4	 he[0] still[0] beleives[0] that[0] maggie[0] is[0] his[0] soulmate[3] and[0] he[0] dreads[-3] the[0] impending[0] start[0] of[0] school[0] because[0] he[0] knows[0] what's[0] about[0] to[0] happen[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
we soon find out why in a painful scene where lucas is humiliated by the jocks during a pep rally . 	we soon find out why in a painful scene where lucas is humiliated by the jocks during a pep rally .	1	-4	 we[0] soon[0] find[0] out[0] why[0] in[0] a[0] painful[-3] scene[0] where[0] lucas[0] is[0] humiliated[-3] by[0] the[0] jocks[0] during[0] a[0] pep[0] rally[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
