it's a fact that a good thriller or action movie doesn't need violence to be good or worth watching . 	Translation	Positive	Negative	EmotionRationale
all it takes is potential violence to make the audience bite their nails . 	all it takes is potential violence to make the audience bite their nails .	1	-4	 all[0] it[0] takes[0] is[0] potential[0] violence[-3] to[0] make[0] the[0] audience[0] bite[0] their[0] nails[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and what kind of violence could be more efficient than a global thermo-nuclear war ? 	and what kind of violence could be more efficient than a global thermo-nuclear war ?	2	-4	 and[0] what[0] kind[1] of[0] violence[-3] could[0] be[0] more[0] efficient[0] than[0] a[0] global[0] thermo[0] nuclear[0] war[-2] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and potential violence is the premiss wargames is built upon . 	and potential violence is the premiss wargames is built upon .	1	-4	 and[0] potential[0] violence[-3] is[0] the[0] premiss[0] wargames[0] is[0] built[0] upon[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a computer whiz-kid , david , is usually contended with hacking into the school computer to change his grades . 	a computer whiz-kid , david , is usually contended with hacking into the school computer to change his grades .	1	-1	 a[0] computer[0] whiz[0] kid[0] david[0] is[0] usually[0] contended[0] with[0] hacking[0] into[0] the[0] school[0] computer[0] to[0] change[0] his[0] grades[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but after having read an advertisment for an upcoming computer game , he wants to be the first to play it . 	but after having read an advertisment for an upcoming computer game , he wants to be the first to play it .	1	-1	 but[0] after[0] having[0] read[0] an[0] advertisment[0] for[0] an[0] upcoming[0] computer[0] game[0] he[0] wants[0] to[0] be[0] the[0] first[0] to[0] play[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead of getting into the computer at protovision software he accidentally comes to the frontgate of norad . 	instead of getting into the computer at protovision software he accidentally comes to the frontgate of norad .	1	-2	 instead[0] of[0] getting[0] into[0] the[0] computer[0] at[0] protovision[0] software[0] he[0] accidentally[-1] comes[0] to[0] the[0] frontgate[0] of[0] norad[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with the help of jennifer , a girl in his biology class , he starts to play a nice game of nuclear war with wopr , war operation plan response ( a top-notch computer at the time , but now hardly faster than my own computer ) 	with the help of jennifer , a girl in his biology class , he starts to play a nice game of nuclear war with wopr , war operation plan response ( a top-notch computer at the time , but now hardly faster than my own computer )	2	-3	 with[0] the[0] help[0] of[0] jennifer[0] a[0] girl[0] in[0] his[0] biology[0] class[0] he[0] starts[0] to[0] play[0] a[0] nice[1] game[0] of[0] nuclear[0] war[-2] with[0] wopr[0] war[-2] operation[0] plan[0] response[0] a[0] top[0] notch[0] computer[0] at[0] the[0] time[0] but[0] now[0] hardly[0] faster[0] than[0] my[0] own[0] computer[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i remember being 12 and watching this at the cinema . 	i remember being 12 and watching this at the cinema .	1	-1	 i[0] remember[0] being[0] 12[0] and[0] watching[0] this[0] at[0] the[0] cinema[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was very efficent at giving you a scare in those days and that hasn't changed . 	it was very efficent at giving you a scare in those days and that hasn't changed .	1	-4	 it[0] was[0] very[0] efficent[0] at[0] giving[0] you[0] a[0] scare[-3] in[0] those[0] days[0] and[0] that[0] hasn't[0] changed[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
of course , a nuclear war seemed to be much more of something that could actually happen back in 1983 . 	of course , a nuclear war seemed to be much more of something that could actually happen back in 1983 .	1	-3	 of[0] course[0] a[0] nuclear[0] war[-2] seemed[0] to[0] be[0] much[0] more[0] of[0] something[0] that[0] could[0] actually[0] happen[0] back[0] in[0] 1983[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
