upon taking a seat at the theater , and surveying the crowd , i soon realized that i was the only person under forty in the premises . 	Translation	Positive	Negative	EmotionRationale
i'm twenty-two , but have been accused of looking sixteen . 	i'm twenty-two , but have been accused of looking sixteen .	1	-2	 i'm[0] twenty[0] two[0] but[0] have[0] been[0] accused[-1] of[0] looking[0] sixteen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yet as the film began , any consciousness of setting shifted to the home of five close-knit , yet troubled sisters . 	yet as the film began , any consciousness of setting shifted to the home of five close-knit , yet troubled sisters .	1	-2	 yet[0] as[0] the[0] film[0] began[0] any[0] consciousness[0] of[0] setting[0] shifted[0] to[0] the[0] home[0] of[0] five[0] close[0] knit[0] yet[0] troubled[-1] sisters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director pat o'connor ( inventing the abbots , circle of friends ) weaves a quiet yet affecting tale of loss , need , and the bonds between five sisters . 	director pat o'connor ( inventing the abbots , circle of friends ) weaves a quiet yet affecting tale of loss , need , and the bonds between five sisters .	2	-3	 director[0] pat[0] o'connor[0] inventing[0] the[0] abbots[0] circle[0] of[0] friends[1] weaves[0] a[0] quiet[0] yet[0] affecting[0] tale[0] of[0] loss[-2] need[0] and[0] the[0] bonds[0] between[0] five[0] sisters[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the family is ruled by kate ( meryl streep ) , an unconsciously strict schoolteacher , who is completely conscious of the deterioration of her family . 	the family is ruled by kate ( meryl streep ) , an unconsciously strict schoolteacher , who is completely conscious of the deterioration of her family .	1	-2	 the[0] family[0] is[0] ruled[0] by[0] kate[0] meryl[0] streep[0] an[0] unconsciously[0] strict[-1] schoolteacher[0] who[0] is[0] completely[0] conscious[0] of[0] the[0] deterioration[0] of[0] her[0] family[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is very little background given to the viewer , as we are thrust into a tense but loving home . 	there is very little background given to the viewer , as we are thrust into a tense but loving home .	4	-3	 there[0] is[0] very[0] little[0] background[0] given[0] to[0] the[0] viewer[0] as[0] we[0] are[0] thrust[0] into[0] a[0] tense[-2] but[0] loving[3] home[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
squabbles take place one after the other , caused by years and years of history . 	squabbles take place one after the other , caused by years and years of history .	1	-1	 squabbles[0] take[0] place[0] one[0] after[0] the[0] other[0] caused[0] by[0] years[0] and[0] years[0] of[0] history[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps one of the best things about this film , is its naturalness . 	perhaps one of the best things about this film , is its naturalness .	2	-1	 perhaps[0] one[0] of[0] the[0] best[1] things[0] about[0] this[0] film[0] is[0] its[0] naturalness[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no situation is over-wrought , and characters react as real people do , to real problems . 	no situation is over-wrought , and characters react as real people do , to real problems .	1	-2	 no[0] situation[0] is[0] over[0] wrought[0] and[0] characters[0] react[0] as[0] real[0] people[0] do[0] to[0] real[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this probably is a result of the film being from a stage play . 	this probably is a result of the film being from a stage play .	1	-1	 this[0] probably[0] is[0] a[0] result[0] of[0] the[0] film[0] being[0] from[0] a[0] stage[0] play[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the play was in turn is based on a time in the life of the playwright . 	the play was in turn is based on a time in the life of the playwright .	1	-1	 the[0] play[0] was[0] in[0] turn[0] is[0] based[0] on[0] a[0] time[0] in[0] the[0] life[0] of[0] the[0] playwright[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
