those of you who frequently read my reviews are not likely to be surprised by the fact that i have not read victor hugo's novel les miserables . 	Translation	Positive	Negative	EmotionRationale
i don't know if a lot of people have , though i imagine many are familiar with the popular musical based on the novel . 	i don't know if a lot of people have , though i imagine many are familiar with the popular musical based on the novel .	1	-1	 i[0] don't[0] know[0] if[0] a[0] lot[0] of[0] people[0] have[0] though[0] i[0] imagine[0] many[0] are[0] familiar[0] with[0] the[0] popular[0] musical[0] based[0] on[0] the[0] novel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i haven't even seen that . 	i haven't even seen that .	1	-1	 i[0] haven't[0] even[0] seen[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
going into this film , i had almost no knowledge of the story or its characters ( i even expected the film to be a musical ) . 	going into this film , i had almost no knowledge of the story or its characters ( i even expected the film to be a musical ) .	1	-1	 going[0] into[0] this[0] film[0] i[0] had[0] almost[0] no[0] knowledge[0] of[0] the[0] story[0] or[0] its[0] characters[0] i[0] even[0] expected[0] the[0] film[0] to[0] be[0] a[0] musical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
walking away from it , i'm kind of glad i had no prior experience with the material . 	walking away from it , i'm kind of glad i had no prior experience with the material .	2	-1	 walking[0] away[0] from[0] it[0] i'm[0] kind[1] of[0] glad[1] i[0] had[0] no[0] prior[0] experience[0] with[0] the[0] material[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
writer/director bille august's film version is a straightforward , beautifully told film . 	writer/director bile august's film version is a straightforward , beautifully told film .	3	-1	 writer/director[0] bille/bile[0] august's[0] film[0] version[0] is[0] a[0] straightforward[0] beautifully[2] told[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
liam neeson stars as the miserable jean valjean ; in the beginning , he has just been released from a 19-year prison sentence . 	liam neeson stars as the miserable jean valjean ; in the beginning , he has just been released from a 19-year prison sentence .	1	-3	 liam[0] neeson[0] stars[0] as[0] the[0] miserable[-2] jean[0] valjean[0] in[0] the[0] beginning[0] he[0] has[0] just[0] been[0] released[0] from[0] a[0] 19[0] year[0] prison[-1] sentence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he is allowed to stay in a convent by a kindly priest despite his rude and destructive behavior . 	he is allowed to stay in a convent by a kindly priest despite his rude and destructive behavior .	2	-3	 he[0] is[0] allowed[0] to[0] stay[0] in[0] a[0] convent[0] by[0] a[0] kindly[1] priest[0] despite[0] his[0] rude[-2] and[0] destructive[0] behavior[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the priest's words of wisdom influence him , and he makes a vow to change himself . 	the priest's words of wisdom influence him , and he makes a vow to change himself .	1	-1	 the[0] priest's[0] words[0] of[0] wisdom[0] influence[0] him[0] and[0] he[0] makes[0] a[0] vow[0] to[0] change[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nine years later , we are informed that he is now the mayor of a town called vigo ; nobody knows his real name , and that he is wanted for skipping his parole nine years ago . 	nine years later , we are informed that he is now the mayor of a town called vigo ; nobody knows his real name , and that he is wanted for skipping his parole nine years ago .	1	-1	 nine[0] years[0] later[0] we[0] are[0] informed[0] that[0] he[0] is[0] now[0] the[0] mayor[0] of[0] a[0] town[0] called[0] vigo[0] nobody[0] knows[0] his[0] real[0] name[0] and[0] that[0] he[0] is[0] wanted[0] for[0] skipping[0] his[0] parole[0] nine[0] years[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
conflicts arise when inspector javert ( geoffrey rush ) is assigned to vigo . 	conflicts arise when inspector javert ( geoffrey rush ) is assigned to vigo .	1	-2	 conflicts[-1] arise[0] when[0] inspector[0] javert[0] geoffrey[0] rush[0] is[0] assigned[0] to[0] vigo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
