produced by robert lantos & stephen j . roth 	Translation	Positive	Negative	EmotionRationale
directed by douglas williams 	directed by douglas williams	1	-1	 directed[0] by[0] douglas[0] williams[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mpaa : not rated ( though from language , violence , medical-gross-outs , and sexual content , i'd put it at pg ) 	mpa : not rated ( though from language , violence , medical-gross-outs , and sexual content , i'd put it at pg )	1	-4	 mpaa/mpa[0] not[0] rated[0] though[0] from[0] language[0] violence[-3] medical[0] gross[-1] outs[0] and[0] sexual[0] content[0] i'd[0] put[0] it[0] at[0] pg[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
though made in canada , " overdrawn at the memory bank " traces its roots to the bbc school of film production . 	though made in canada , " overdrawn at the memory bank " traces its roots to the bbc school of film production .	1	-1	 though[0] made[0] in[0] canada[0] overdrawn[0] at[0] the[0] memory[0] bank[0] traces[0] its[0] roots[0] to[0] the[0] bbc[0] school[0] of[0] film[0] production[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
using , for the most part , cheap computer and video special effects , chyron text , wildlife documentary footage , and sets that are sometimes obviously faked up , it nonetheless manages to tell a good enough science fiction story that by the time you're twenty minutes into it , you should be hooked . 	using , for the most part , cheap computer and video special effects , chyron text , wildlife documentary footage , and sets that are sometimes obviously faked up , it nonetheless manages to tell a good enough science fiction story that by the time you're twenty minutes into it , you should be hooked .	2	-2	 using[0] for[0] the[0] most[0] part[0] cheap[-1] computer[0] and[0] video[0] special[1] effects[0] chyron[0] text[0] wildlife[0] documentary[0] footage[0] and[0] sets[0] that[0] are[0] sometimes[0] obviously[0] faked[-1] up[0] it[0] nonetheless[0] manages[0] to[0] tell[0] a[0] good[1] enough[0] science[0] fiction[0] story[0] that[0] by[0] the[0] time[0] you're[0] twenty[0] minutes[0] into[0] it[0] you[0] should[0] be[0] hooked[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
raul julia plays aram fingal , a drone data processing worker for novicorp whose active imagination and predilection for hacking gets him into trouble with authority . 	raul julia plays aram fingal , a drone data processing worker for novicorp whose active imagination and predilection for hacking gets him into trouble with authority .	2	-2	 raul[0] julia[0] plays[1] aram[0] fingal[0] a[0] drone[0] data[0] processing[0] worker[0] for[0] novicorp[0] whose[0] active[0] imagination[0] and[0] predilection[0] for[0] hacking[0] gets[0] him[0] into[0] trouble[-1] with[0] authority[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
caught watching " casablanca " on his desk monitor , fingal is sentenced to " doppling " rehabilitation--he is to spend forty-eight hours in the body of a baboon . 	caught watching " casablanca " on his desk monitor , fingal is sentenced to " doppling " rehabilitation-he is to spend forty-eight hours in the body of a baboon .	1	-1	 caught[0] watching[0] casablanca[0] on[0] his[0] desk[0] monitor[0] fingal[0] is[0] sentenced[0] to[0] doppling[0] rehabilitation[0] he[0] is[0] to[0] spend[0] forty[0] eight[0] hours[0] in[0] the[0] body[0] of[0] a[0] baboon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( how exactly this is supposed to rehabilitate him is anybody's guess . ) 	 ( how exactly this is supposed to rehabilitate him is anybody's guess .<br> )	1	-1	 how[0] exactly[0] this[0] is[0] supposed[0] to[0] rehabilitate[0] him[0] is[0] anybody's[0] guess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as it happens , thanks to a visiting schoolboy's prank , his body is temporarily misplaced , and his mind has to be shunted into the central computer to keep him alive until they can find it . 	as it happens , thanks to a visiting schoolboy's prank , his body is temporarily misplaced , and his mind has to be shunted into the central computer to keep him alive until they can find it .	2	-2	 as[0] it[0] happens[0] thanks[1] to[0] a[0] visiting[0] schoolboy's[0] prank[0] his[0] body[0] is[0] temporarily[-1] misplaced[0] and[0] his[0] mind[0] has[0] to[0] be[0] shunted[-1] into[0] the[0] central[0] computer[0] to[0] keep[0] him[0] alive[0] until[0] they[0] can[0] find[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as time ticks away before his memory cube self-destructs , the frantic search for his body is on . . . while 	as time ticks away before his memory cube self-destructs , the frantic search for his body is on .<br> .<br> .<br> while	1	-2	 as[0] time[0] ticks[0] away[0] before[0] his[0] memory[0] cube[0] self[0] destructs[0] the[0] frantic[-1] search[0] for[0] his[0] body[0] is[0] on[0] [[Sentence=-2,1=word max, 1-5]] while[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
fingal first creates a virtual reality fantasy world , then finds there's no better way to hack the system than from the inside . 	fingal first creates a virtual reality fantasy world , then finds there's no better way to hack the system than from the inside .	1	-2	 fingal[0] first[0] creates[0] a[0] virtual[0] reality[0] fantasy[0] world[0] then[0] finds[0] there's[0] no[0] better[0] way[0] to[0] hack[-1] the[0] system[0] than[0] from[0] the[0] inside[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
