moviemaking is a lot like being the general manager of an nfl team in the post-salary cap era -- you've got to know how to allocate your resources . 	Translation	Positive	Negative	EmotionRationale
every dollar spent on a free-agent defensive tackle is one less dollar than you can spend on linebackers or safeties or centers . 	every dollar spent on a free-agent defensive tackle is one less dollar than you can spend on linebackers or safeties or centers .	2	-2	 every[0] dollar[0] spent[0] on[0] a[0] free[0] agent[0] defensive[-1] tackle[0] is[0] one[0] less[0] dollar[0] than[0] you[0] can[0] spend[0] on[0] linebackers[0] or[0] safeties[1] or[0] centers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the nfl , this leads to teams like the detroit lions , who boast a superstar running back with a huge contract , but can only field five guys named herb to block for him . 	in the nfl , this leads to teams like the detroit lions , who boast a superstar running back with a huge contract , but can only field five guys named herb to block for him .	2	-2	 in[0] the[0] nfl[0] this[0] leads[0] to[0] teams[0] like[1] the[0] detroit[0] lions[0] who[0] boast[-1] a[0] superstar[0] running[0] back[0] with[0] a[0] huge[0] contract[0] but[0] can[0] only[0] field[0] five[0] guys[0] named[0] herb[0] to[0] block[-1] for[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the movies , you end up with films like " spawn " , with a huge special-effects budget but not enough money to hire any recognizable actors . 	in the movies , you end up with films like " spawn " , with a huge special-effects budget but not enough money to hire any recognizable actors .	2	-1	 in[0] the[0] movies[0] you[0] end[0] up[0] with[0] films[0] like[1] spawn[0] with[0] a[0] huge[0] special[1] effects[0] budget[0] but[0] not[0] enough[0] money[0] to[0] hire[0] any[0] recognizable[0] actors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jackie chan is the barry sanders of moviemaking . 	jackie chan is the barry sanders of moviemaking .	1	-1	 jackie[0] chan[0] is[0] the[0] barry[0] sanders[0] of[0] moviemaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he spins and darts across the screen like sanders cutting back through the defensive line . 	he spins and darts across the screen like sanders cutting back through the defensive line .	2	-2	 he[0] spins[0] and[0] darts[0] across[0] the[0] screen[0] like[1] sanders[0] cutting[0] back[0] through[0] the[0] defensive[-1] line[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
watching jackie in operation condor as he drives his motorcycle through the crowded streets of madrid , fleeing an armada of pursuers in identical black compact cars , is reminiscent of sanders running for daylight with the chicago bears in hot pursuit , except that sanders doesn't have to worry about rescuing runaway baby carriages . 	watching jackie in operation condor as he drives his motorcycle through the crowded streets of madrid , fleeing an armada of pursuers in identical black compact cars , is reminiscent of sanders running for daylight with the chicago bears in hot pursuit , except that sanders doesn't have to worry about rescuing runaway baby carriages .	2	-4	 watching[0] jackie[0] in[0] operation[0] condor[0] as[0] he[0] drives[0] his[0] motorcycle[0] through[0] the[0] crowded[0] streets[0] of[0] madrid[0] fleeing[-1] an[0] armada[0] of[0] pursuers[0] in[0] identical[0] black[0] compact[0] cars[0] is[0] reminiscent[0] of[0] sanders[0] running[0] for[0] daylight[0] with[0] the[0] chicago[0] bears[0] in[0] hot[0] pursuit[0] except[0] that[0] sanders[0] doesn't[0] have[0] to[0] worry[-3] about[0] rescuing[0] runaway[-1] baby[1] carriages[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but like the lions star , jackie doesn't have anybody to block for him . 	but like the lions star , jackie doesn't have anybody to block for him .	2	-2	 but[0] like[1] the[0] lions[0] star[0] jackie[0] doesn't[0] have[0] anybody[0] to[0] block[-1] for[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
almost every cent that's invested in a jackie chan movie goes for stunts , and as chan does his own stunts , the rest of the money goes to pay his hospital bills . 	almost every cent that's invested in a jackie chan movie goes for stunts , and as chan does his own stunts , the rest of the money goes to pay his hospital bills .	1	-1	 almost[0] every[0] cent[0] that's[0] invested[0] in[0] a[0] jackie[0] chan[0] movie[0] goes[0] for[0] stunts[0] and[0] as[0] chan[0] does[0] his[0] own[0] stunts[0] the[0] rest[0] of[0] the[0] money[0] goes[0] to[0] pay[0] his[0] hospital[0] bills[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this leaves about 75 cents to pay for things like directors ( chan directs ) , scripts and dubbing and supporting characters , not to mention the hideous title sequence . 	this leaves about 75 cents to pay for things like directors ( chan directs ) , scripts and dubbing and supporting characters , not to mention the hideous title sequence .	2	-2	 this[0] leaves[0] about[0] 75[0] cents[0] to[0] pay[0] for[0] things[0] like[1] directors[0] chan[0] directs[0] scripts[0] and[0] dubbing[0] and[0] supporting[1] characters[0] not[0] to[0] mention[0] the[0] hideous[-1] title[0] sequence[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this also explains why the movie was shot in odd places like morocco and spain . 	this also explains why the movie was shot in odd places like morocco and spain .	2	-2	 this[0] also[0] explains[0] why[0] the[0] movie[0] was[0] shot[-1] in[0] odd[0] places[0] like[1] morocco[0] and[0] spain[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
