 " when it's cold , molecules aren't moving . 	Translation	Positive	Negative	EmotionRationale
everything is clean . " 	everything is clean .<br> "	1	-1	 everything[0] is[0] clean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these are the essential words of mikey carver ( elijah wood ) , a young teenage boy living in 1973 new canaan , connecticut in the ice storm . 	these are the essential words of mikey carver ( elijah wood ) , a young teenage boy living in 1973 new canan , connecticut in the ice storm .	1	-2	 these[0] are[0] the[0] essential[0] words[0] of[0] mikey[0] carver[0] elijah[0] wood[0] a[0] young[0] teenage[0] boy[0] living[0] in[0] 1973[0] new[0] canaan/canan[0] connecticut[0] in[0] the[0] ice[0] storm[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when mikey delivers these words to a bored science class , it is unlikely that anyone realizes how much they parallel mikey's life and the lives that surround him . 	when mikey delivers these words to a bored science class , it is unlikely that anyone realizes how much they parallel mikey's life and the lives that surround him .	1	-2	 when[0] mikey[0] delivers[0] these[0] words[0] to[0] a[0] bored[-1] science[0] class[0] it[0] is[0] unlikely[0] that[0] anyone[0] realizes[0] how[0] much[0] they[0] parallel[0] mikey's[0] life[0] and[0] the[0] lives[0] that[0] surround[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his father jim ( jamey sheridan ) is rarely seen and his mother janey ( sigourney weaver ) is having an affair with married neighbor ben hood ( kevin kline ) . 	his father jim ( jamey sheridan ) is rarely seen and his mother janey ( sigourney weaver ) is having an affair with married neighbor ben hood ( kevin kline ) .	1	-1	 his[0] father[0] jim[0] jamey[0] sheridan[0] is[0] rarely[0] seen[0] and[0] his[0] mother[0] janey[0] sigourney[0] weaver[0] is[0] having[0] an[0] affair[0] with[0] married[0] neighbor[0] ben[0] hood[0] kevin[0] kline[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ben's wife elena ( joan allen ) suspects the affair , but doesn't say anything . 	ben's wife elena ( joan allen ) suspects the affair , but doesn't say anything .	1	-1	 ben's[0] wife[0] elena[0] joan[0] allen[0] suspects[0] the[0] affair[0] but[0] doesn't[0] say[0] anything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , ben's 14-year-old daughter wendy ( christina ricci ) continuously lures mikey and his younger brother sandy ( adam hann-byrd ) into sexual explorations . 	meanwhile , ben's 14-year-old daughter wendy ( christina ricci ) continuously lures mikey and his younger brother sandy ( adam han-byrd ) into sexual explorations .	1	-1	 meanwhile[0] ben's[0] 14[0] year[0] old[0] daughter[0] wendy[0] christina[0] ricci[0] continuously[0] lures[0] mikey[0] and[0] his[0] younger[0] brother[0] sandy[0] adam[0] hann/han[0] byrd[0] into[0] sexual[0] explorations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tobey maguire plays paul hood , the 16-year-old narrator of the story who also happens to be the least prevalent character . 	tobey maguire plays paul hood , the 16-year-old narrator of the story who also happens to be the least prevalent character .	2	-1	 tobey[0] maguire[0] plays[1] paul[0] hood[0] the[0] 16[0] year[0] old[0] narrator[0] of[0] the[0] story[0] who[0] also[0] happens[0] to[0] be[0] the[0] least[0] prevalent[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we start the film with an interesting outlook on family from paul . 	we start the film with an interesting outlook on family from paul .	2	-1	 we[0] start[0] the[0] film[0] with[0] an[0] interesting[1] outlook[0] on[0] family[0] from[0] paul[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he compares family to the fantastic four comic book , and even goes so far as to say that family is everybody's own anti-matter ; something everybody will return to eventually , and the farther you go , the deeper you'll return . 	he compares family to the fantastic four comic book , and even goes so far as to say that family is everybody's own anti-matter ; something everybody will return to eventually , and the farther you go , the deeper you'll return .	3	-1	 he[0] compares[0] family[0] to[0] the[0] fantastic[2] four[0] comic[0] book[0] and[0] even[0] goes[0] so[0] far[0] as[0] to[0] say[0] that[0] family[0] is[0] everybody's[0] own[0] anti[0] matter[0] something[0] everybody[0] will[0] return[0] to[0] eventually[0] and[0] the[0] farther[0] you[0] go[0] the[0] deeper[0] you'll[0] return[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the ice storm is a character piece that explores a dismal time both in america , and in the individual lives portrayed in the movie . 	the ice storm is a character piece that explores a dismal time both in america , and in the individual lives portrayed in the movie .	1	-2	 the[0] ice[0] storm[-1] is[0] a[0] character[0] piece[0] that[0] explores[0] a[0] dismal[-1] time[0] both[0] in[0] america[0] and[0] in[0] the[0] individual[0] lives[0] portrayed[0] in[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
