 " the blair witch project " was perhaps one of a kind , a unique film that played completely on its own merit , managing to scare even the most experienced horror fans out of their senses . 	Translation	Positive	Negative	EmotionRationale
its success made a sequel inevitable , but this is not the sequel , i suspect , anyone much wanted . 	its success made a sequel inevitable , but this is not the sequel , i suspect , anyone much wanted .	3	-2	 its[0] success[2] made[0] a[0] sequel[0] inevitable[0] but[0] this[0] is[0] not[0] the[0] sequel[0] i[0] suspect[-1] anyone[0] much[0] wanted[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
after the release of " the blair witch project " , tourists have practically invaded the small town of burkettsville , in order to get a glimpse of the blair witch . 	after the release of " the blair witch project " , tourists have practically invaded the small town of burkettsville , in order to get a glimpse of the blair witch .	1	-2	 after[0] the[0] release[0] of[0] the[0] blair[0] witch[0] project[0] tourists[0] have[0] practically[0] invaded[-1] the[0] small[0] town[0] of[0] burkettsville[0] in[0] order[0] to[0] get[0] a[0] glimpse[0] of[0] the[0] blair[0] witch[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
locals have turned this mass hysteria into a great business opportunity , selling twig-sculptures , stones and dirt like those in the movie , and the exasperated local sheriff patrols the woods with a bullhorn , shouting , " get out of these woods and go home ! 	locals have turned this mass hysteria into a great business opportunity , selling twig-sculptures , stones and dirt like those in the movie , and the exasperated local sheriff patrols the woods with a bullhorn , shouting , " get out of these woods and go home !	3	-2	 locals[0] have[0] turned[0] this[0] mass[0] hysteria[-1] into[0] a[0] great[2] business[0] opportunity[0] selling[0] twig[0] sculptures[0] stones[0] and[0] dirt[-1] like[1] those[0] in[0] the[0] movie[0] and[0] the[0] exasperated[-1] local[0] sheriff[0] patrols[0] the[0] woods[0] with[0] a[0] bullhorn[0] shouting[0] get[0] out[0] of[0] these[0] woods[0] and[0] go[0] home[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there is no goddamned blair witch ! " . 	there is no goddamned blair witch !<br> " .	1	-3	 there[0] is[0] no[0] goddamned[-2] blair[0] witch[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jeff ( ) is one of those people , who has used the sudden popularity of the small town to his advantage . 	jeff ( ) is one of those people , who has used the sudden popularity of the small town to his advantage .	2	-1	 jeff[0] is[0] one[0] of[0] those[0] people[0] who[0] has[0] used[0] the[0] sudden[0] popularity[1] of[0] the[0] small[0] town[0] to[0] his[0] advantage[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after he got released from the mental institution , he created a mobile business that attracts thousands of customers through the internet . 	after he got released from the mental institution , he created a mobile business that attracts thousands of customers through the internet .	2	-1	 after[0] he[0] got[0] released[0] from[0] the[0] mental[0] institution[0] he[0] created[0] a[0] mobile[0] business[0] that[0] attracts[1] thousands[0] of[0] customers[0] through[0] the[0] internet[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the movie starts he is leading one of these groups into the woods , on the " blair witch hunt " . 	as the movie starts he is leading one of these groups into the woods , on the " blair witch hunt " .	1	-1	 as[0] the[0] movie[0] starts[0] he[0] is[0] leading[0] one[0] of[0] these[0] groups[0] into[0] the[0] woods[0] on[0] the[0] blair[0] witch[0] hunt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
among the five strangers is stephen and his girlfriend , the pregnant tristen , who are writing a book on the hysteria caused by the film called " the blair witch : history or hysteria ? " , and kim , who dresses in black and has some psychic powers . 	among the five strangers is stephen and his girlfriend , the pregnant tristen , who are writing a book on the hysteria caused by the film called " the blair witch : history or hysteria ?<br> " , and kim , who dresses in black and has some psychic powers .	1	-2	 among[0] the[0] five[0] strangers[0] is[0] stephen[0] and[0] his[0] girlfriend[0] the[0] pregnant[0] tristen[0] who[0] are[0] writing[0] a[0] book[0] on[0] the[0] hysteria[-1] caused[0] by[0] the[0] film[0] called[0] the[0] blair[0] witch[0] history[0] or[0] hysteria[-1] [[Sentence=-2,1=word max, 1-5]] and[0] kim[0] who[0] dresses[0] in[0] black[0] and[0] has[0] some[0] psychic[0] powers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
the last member of the crew is erica , a young beautiful witch-wannabe , who constantly quotes from the wiccan lore , saying " the first rule of wicca is , do no harm , because whatever you do will come back to you threefold . " 	the last member of the crew is erica , a young beautiful witch-wannabe , who constantly quotes from the wiccan lore , saying " the first rule of wicca is , do no harm , because whatever you do will come back to you threefold .<br> "	3	-3	 the[0] last[0] member[0] of[0] the[0] crew[0] is[0] erica[0] a[0] young[0] beautiful[2] witch[0] wannabe[0] who[0] constantly[0] quotes[0] from[0] the[0] wiccan[0] lore[0] saying[0] the[0] first[0] rule[0] of[0] wicca[0] is[0] do[0] no[0] harm[-2] because[0] whatever[0] you[0] do[0] will[0] come[0] back[0] to[0] you[0] threefold[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this strange group plunges into the woods , where they begin to argue about their different approaches to the experience . 	this strange group plunges into the woods , where they begin to argue about their different approaches to the experience .	1	-2	 this[0] strange[0] group[0] plunges[0] into[0] the[0] woods[0] where[0] they[0] begin[0] to[0] argue[-1] about[0] their[0] different[0] approaches[0] to[0] the[0] experience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
