perhaps the most dramatic changes in the motion picture industry in this decade have to do with special effects . 	Translation	Positive	Negative	EmotionRationale
there is no question that action-adventure and science-fiction/action movies are now judged by the character of their light and noise . 	there is no question that action-adventure and science-fiction/action movies are now judged by the character of their light and noise .	1	-1	 there[0] is[0] no[0] question[0] that[0] action[0] adventure[0] and[0] science[0] fiction/action[0] movies[0] are[0] now[0] judged[0] by[0] the[0] character[0] of[0] their[0] light[0] and[0] noise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whereas classic adventure pics of the last twenty years , such as raiders of the lost ark , were made in grand traditional fashion ; contemporary films like jurassic park are multimillion-dollar creations of computer technology . 	whereas classic adventure pics of the last twenty years , such as raiders of the lost ark , were made in grand traditional fashion ; contemporary films like jurassic park are multimillion-dollar creations of computer technology .	2	-1	 whereas[0] classic[0] adventure[0] pics[0] of[0] the[0] last[0] twenty[0] years[0] such[0] as[0] raiders[0] of[0] the[0] lost[0] ark[0] were[0] made[0] in[0] grand[1] traditional[0] fashion[0] contemporary[0] films[0] like[1] jurassic[0] park[0] are[0] multimillion[0] dollar[0] creations[0] of[0] computer[0] technology[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the latest in this visually awesome series of movies , the wachowski brothers' the matrix , is a testament to the skilled use of special effects and its ability to enhance a movie's story . 	the latest in this visually awesome series of movies , the wachowski brothers' the matrix , is a testament to the skilled use of special effects and its ability to enhance a movie's story .	3	-1	 the[0] latest[0] in[0] this[0] visually[0] awesome[2] series[0] of[0] movies[0] the[0] wachowski[0] brothers'[0] the[0] matrix[0] is[0] a[0] testament[0] to[0] the[0] skilled[0] use[0] of[0] special[1] effects[0] and[0] its[0] ability[0] to[0] enhance[0] a[0] movie's[0] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unlike many sci-fi movies which promote themselves as effects-heavy blockbusters but fail to deliver on that promise , the matrix is a carefully constructed special effects event . 	unlike many sci-fi movies which promote themselves as effects-heavy blockbusters but fail to deliver on that promise , the matrix is a carefully constructed special effects event .	2	-3	 unlike[0] many[0] sci[0] fi[0] movies[0] which[0] promote[0] themselves[0] as[0] effects[0] heavy[0] blockbusters[-1] but[0] fail[-2] to[0] deliver[0] on[0] that[0] promise[1] the[0] matrix[0] is[0] a[0] carefully[0] constructed[0] special[1] effects[0] event[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it runs 135 minutes in length and employs a countless number of computerized tricks which range from gimmick to grandiose , and the quality of the effects remains constant throughout the film's length . 	it runs 135 minutes in length and employs a countless number of computerized tricks which range from gimmick to grandiose , and the quality of the effects remains constant throughout the film's length .	1	-2	 it[0] runs[0] 135[0] minutes[0] in[0] length[0] and[0] employs[0] a[0] countless[0] number[0] of[0] computerized[0] tricks[-1] which[0] range[0] from[0] gimmick[0] to[0] grandiose[0] and[0] the[0] quality[0] of[0] the[0] effects[0] remains[0] constant[0] throughout[0] the[0] film's[0] length[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
contrary to popular trend , the matrix commits itself to being a spectacle of light and sound . 	contrary to popular trend , the matrix commits itself to being a spectacle of light and sound .	1	-2	 contrary[-1] to[0] popular[0] trend[0] the[0] matrix[0] commits[0] itself[0] to[0] being[0] a[0] spectacle[0] of[0] light[0] and[0] sound[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in this regard , the movie is something like a card sharp . 	in this regard , the movie is something like a card sharp .	2	-1	 in[0] this[0] regard[0] the[0] movie[0] is[0] something[0] like[1] a[0] card[0] sharp[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with its flashy mass stripped away , the matrix would be quite shallow and untalented . 	with its flashy mass stripped away , the matrix would be quite shallow and untalented .	1	-2	 with[0] its[0] flashy[0] mass[0] stripped[0] away[0] the[0] matrix[0] would[0] be[0] quite[0] shallow[-1] and[0] untalented[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the script is characteristically weak , and the dialogue suffers in lieu of a far more innovative visual approach . 	the script is characteristically weak , and the dialogue suffers in lieu of a far more innovative visual approach .	1	-4	 the[0] script[0] is[0] characteristically[0] weak[-1] and[0] the[0] dialogue[0] suffers[-3] in[0] lieu[0] of[0] a[0] far[0] more[0] innovative[0] visual[0] approach[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but , like the card sharp , the matrix wows its audience to such a high degree that actual content is irrelevent . 	but , like the card sharp , the matrix wows its audience to such a high degree that actual content is irrelevent .	3	-1	 but[0] like[1] the[0] card[0] sharp[0] the[0] matrix[0] wows[2] its[0] audience[0] to[0] such[0] a[0] high[0] degree[0] that[0] actual[0] content[0] is[0] irrelevent[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the viewers don't care about what the matrix has to say as long as the next special effects sequence is right around the corner . 	the viewers don't care about what the matrix has to say as long as the next special effects sequence is right around the corner .	2	-2	 the[0] viewers[0] don't[0] care[1][NegatedDueToPreviousWord] about[0] what[0] the[0] matrix[0] has[0] to[0] say[0] as[0] long[0] as[0] the[0] next[0] special[1] effects[0] sequence[0] is[0] right[0] around[0] the[0] corner[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and right around the corner they usually are , for the script tells a fast-paced , albeit frequently revisited story . 	and right around the corner they usually are , for the script tells a fast-paced , albeit frequently revisited story .	1	-1	 and[0] right[0] around[0] the[0] corner[0] they[0] usually[0] are[0] for[0] the[0] script[0] tells[0] a[0] fast[0] paced[0] albeit[0] frequently[0] revisited[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the movie explains , the world as we know it is nothing but an elaborate computer program constructed by an artificial intelligence for the purpose of placating mankind . 	as the movie explains , the world as we know it is nothing but an elaborate computer program constructed by an artificial intelligence for the purpose of placating mankind .	1	-1	 as[0] the[0] movie[0] explains[0] the[0] world[0] as[0] we[0] know[0] it[0] is[0] nothing[0] but[0] an[0] elaborate[0] computer[0] program[0] constructed[0] by[0] an[0] artificial[0] intelligence[0] for[0] the[0] purpose[0] of[0] placating[0] mankind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
billions of human beings lie in this dormant state while the intelligence -- the matrix -- " farms " our life energy . 	billions of human beings lie in this dormant state while the intelligence - the matrix - " farms " our life energy .	1	-1	 billions[0] of[0] human[0] beings[0] lie[0] in[0] this[0] dormant[0] state[0] while[0] the[0] intelligence[0] the[0] matrix[0] farms[0] our[0] life[0] energy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only a select group of individuals knows of the " real " world , and a particularly ingenious squad of these rebels is led by ultra-cool morpheus ( laurence fishburne ) . 	only a select group of individuals knows of the " real " world , and a particularly ingenious squad of these rebels is led by ultra-cool morpheus ( laurence fishburne ) .	2	-2	 only[0] a[0] select[0] group[0] of[0] individuals[0] knows[0] of[0] the[0] real[0] world[0] and[0] a[0] particularly[0] ingenious[0] squad[0] of[0] these[0] rebels[-1] is[0] led[0] by[0] ultra[0] cool[1] morpheus[0] laurence[0] fishburne[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
morpheus and his crew recruit a computer expert named neo ( keanu reeves ) , believing he is a prophesied individual who will help them overthrow the matrix and return peace to earth . 	morpheus and his crew recruit a computer expert named neo ( keanu reeves ) , believing he is a prophesied individual who will help them overthrow the matrix and return peace to earth .	1	-2	 morpheus[0] and[0] his[0] crew[0] recruit[0] a[0] computer[0] expert[0] named[0] neo[0] keanu[0] reeves[0] believing[0] he[0] is[0] a[0] prophesied[0] individual[0] who[0] will[0] help[0] them[0] overthrow[-1] the[0] matrix[0] and[0] return[0] peace[0] to[0] earth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the cast plays out this story in stylish fashion . 	the cast plays out this story in stylish fashion .	2	-1	 the[0] cast[0] plays[1] out[0] this[0] story[0] in[0] stylish[0] fashion[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
