a fully loaded entertainment review - website coming in july ! 	Translation	Positive	Negative	EmotionRationale
 from ace ventura to truman burbank , jim carrey has run the whole gamut of comic , yet sympathetic , characters . 	 from ace ventura to truman burbank , jim carrey has run the whole gamut of comic , yet sympathetic , characters .	1	-1	 from[0] ace[0] ventura[0] to[0] truman[0] burbank[0] jim[0] carrey[0] has[0] run[0] the[0] whole[0] gamut[0] of[0] comic[0] yet[0] sympathetic[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1996's the cable guy was supposed to be his big " breakthrough " role from zany humor into darker , more dramatic acting . 	1996's the cable guy was supposed to be his big " breakthrough " role from zany humor into darker , more dramatic acting .	3	-1	 1996's[0] the[0] cable[0] guy[0] was[0] supposed[0] to[0] be[0] his[0] big[0] breakthrough[0] role[0] from[0] zany[0] humor[2] into[0] darker[0] more[0] dramatic[0] acting[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as most everyone knows , the results were , well , less-than-stellar . 	as most everyone knows , the results were , well , less-than-stellar .	1	-1	 as[0] most[0] everyone[0] knows[0] the[0] results[0] were[0] well[0] less[0] than[0] stellar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not only did the film not do so hot at the box office , but it was also panned by critics . 	not only did the film not do so hot at the box office , but it was also panned by critics .	1	-1	 not[0] only[0] did[0] the[0] film[0] not[0] do[0] so[0] hot[0] at[0] the[0] box[0] office[0] but[0] it[0] was[0] also[0] panned[0] by[0] critics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as far as i know , gene siskel and i are the only ones willing to admit that we dug it . 	as far as i know , gene siskel and i are the only ones willing to admit that we dug it .	1	-1	 as[0] far[0] as[0] i[0] know[0] gene[0] siskel[0] and[0] i[0] are[0] the[0] only[0] ones[0] willing[0] to[0] admit[0] that[0] we[0] dug[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first time i saw the cable guy , in theatres , i was in super critic-mode , and didn't really like it . 	the first time i saw the cable guy , in theatres , i was in super critic-mode , and didn't really like it .	3	-2	 the[0] first[0] time[0] i[0] saw[0] the[0] cable[0] guy[0] in[0] theatres[0] i[0] was[0] in[0] super[2] critic[-1] mode[0] and[0] didn't[0] really[0] like[1][1 LastWordBoosterStrength] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however , due to the fact that hbo shows the movie every single day , i've had time to lean back , relax , and take in the film . 	however , due to the fact that hbo shows the movie every single day , i've had time to lean back , relax , and take in the film .	3	-1	 however[0] due[0] to[0] the[0] fact[0] that[0] hbo[0] shows[0] the[0] movie[0] every[0] single[0] day[0] i've[0] had[0] time[0] to[0] lean[0] back[0] relax[2] and[0] take[0] in[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and to my surprise , it grew on me . 	and to my surprise , it grew on me .	1	-1	 and[0] to[0] my[0] surprise[0] it[0] grew[0] on[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is rather simple : broderick plays a guy named steven who befriends his cable guy , played by carrey , then is stalked by him when steven tries to break off the relationship . 	the plot is rather simple : broderick plays a guy named steven who befriends his cable guy , played by carrey , then is stalked by him when steven tries to break off the relationship .	2	-1	 the[0] plot[0] is[0] rather[0] simple[0] broderick[0] plays[1] a[0] guy[0] named[0] steven[0] who[0] befriends[0] his[0] cable[0] guy[0] played[0] by[0] carrey[0] then[0] is[0] stalked[0] by[0] him[0] when[0] steven[0] tries[0] to[0] break[0] off[0] the[0] relationship[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see , steven's been having some problems with his girlfriend , robin ( leslie mann ) , and he doesn't think he has any more room in his life for a new friend . 	see , steven's been having some problems with his girlfriend , robin ( leslie man ) , and he doesn't think he has any more room in his life for a new friend .	2	-1	 see[0] steven's[0] been[0] having[0] some[0] problems[-1][--1 LastWordBoosterStrength] with[0] his[0] girlfriend[0] robin[0] leslie[0] mann/man[0] and[0] he[0] doesn't[0] think[0] he[0] has[0] any[0] more[0] room[0] in[0] his[0] life[0] for[0] a[0] new[0] friend[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also , some of the cable guy's antics have been creeping him out . 	also , some of the cable guy's antics have been creeping him out .	1	-1	 also[0] some[0] of[0] the[0] cable[0] guy's[0] antics[0] have[0] been[0] creeping[0] him[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carrey , as the cable guy , gives steven various aliases , which later we find out are all tv characters : larry tate , chip douglas , ricky ricardo , etc . he apparently lives in his cable van , and while many critics didn't enjoy this newer , darker , less-manic performance from carrey , i thought it was interesting and rather well-done . 	carrey , as the cable guy , gives steven various aliases , which later we find out are all tv characters : larry tate , chip douglas , ricky ricardo , etc .<br> he apparently lives in his cable van , and while many critics didn't enjoy this newer , darker , less-manic performance from carrey , i thought it was interesting and rather well-done .	3	-1	 carrey[0] as[0] the[0] cable[0] guy[0] gives[0] steven[0] various[0] aliases[0] which[0] later[0] we[0] find[0] out[0] are[0] all[0] tv[0] characters[0] larry[0] tate[0] chip[0] douglas[0] ricky[0] ricardo[0] etc[0] [[Sentence=-1,1=word max, 1-5]] he[0] apparently[0] lives[0] in[0] his[0] cable[0] van[0] and[0] while[0] many[0] critics[0] didn't[0] enjoy[2] this[0] newer[0] darker[0] less[0] manic[0] performance[0] from[0] carrey[0] i[0] thought[0] it[0] was[0] interesting[1] and[0] rather[0] well[0] done[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for me , its not the movie as a whole that's enjoyable , but rather several individual scenes : a karaoke jam at steven's apartment , a medieval fight at a theme restaurant , and a bathroom beating ( a la liar , liar ) , just to name a few . 	for me , its not the movie as a whole that's enjoyable , but rather several individual scenes : a karaoke jam at steven's apartment , a medieval fight at a theme restaurant , and a bathroom beating ( a la liar , liar ) , just to name a few .	3	-4	 for[0] me[0] its[0] not[0] the[0] movie[0] as[0] a[0] whole[0] that's[0] enjoyable[2] but[0] rather[0] several[0] individual[0] scenes[0] a[0] karaoke[0] jam[0] at[0] steven's[0] apartment[0] a[0] medieval[0] fight[-2] at[0] a[0] theme[0] restaurant[0] and[0] a[0] bathroom[0] beating[0] a[0] la[0] liar[-2] liar[-2][-1 MultiplePositiveWords] just[0] to[0] name[0] a[0] few[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
perhaps the fact that more of carrey's humorous side comes out during these scenes is what makes them so funny . 	perhaps the fact that more of carrey's humorous side comes out during these scenes is what makes them so funny .	3	-1	 perhaps[0] the[0] fact[0] that[0] more[0] of[0] carrey's[0] humorous[2] side[0] comes[0] out[0] during[0] these[0] scenes[0] is[0] what[0] makes[0] them[0] so[0] funny[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and if you really want to see something , you've got to hear his version of jefferson airplane's " somebody to love " , sung at the aformentioned karaoke jam . 	and if you really want to see something , you've got to hear his version of jefferson airplane's " somebody to love " , sung at the aformentioned karaoke jam .	3	-1	 and[0] if[0] you[0] really[0] want[0] to[0] see[0] something[0] you've[0] got[0] to[0] hear[0] his[0] version[0] of[0] jefferson[0] airplane's[0] somebody[0] to[0] love[2] sung[0] at[0] the[0] aformentioned[0] karaoke[0] jam[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
