after a successful run in australia last year , and with much critical praise heaped upon it , muriel's wedding opens into medium release this weekend in north america . 	Translation	Positive	Negative	EmotionRationale
muriel heslop is a withdrawn , overweight young woman living in porpoise spit , australia . 	muriel heslop is a withdrawn , overweight young woman living in porpoise spit , australia .	1	-2	 muriel[0] heslop[0] is[0] a[0] withdrawn[0] overweight[-1] young[0] woman[0] living[0] in[0] porpoise[0] spit[0] australia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she is often the target of her father's frequent rants at the family , and drowns out her feelings of inadequacy with abba music and fantasies of marriage . 	she is often the target of her father's frequent rants at the family , and drowns out her feelings of inadequacy with abba music and fantasies of marriage .	1	-2	 she[0] is[0] often[0] the[0] target[0] of[0] her[0] father's[0] frequent[0] rants[0] at[0] the[0] family[0] and[0] drowns[-1] out[0] her[0] feelings[0] of[0] inadequacy[-1] with[0] abba[0] music[0] and[0] fantasies[0] of[0] marriage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her self-loathing is such that only being wed shall she prove herself to be a success ; marriage will transform her into a new person who is respected and admired . 	her self-loathing is such that only being wed shall she prove herself to be a success ; marriage will transform her into a new person who is respected and admired .	3	-1	 her[0] self[0] loathing[0] is[0] such[0] that[0] only[0] being[0] wed[0] shall[0] she[0] prove[0] herself[0] to[0] be[0] a[0] success[2] marriage[0] will[0] transform[0] her[0] into[0] a[0] new[0] person[0] who[0] is[0] respected[2] and[0] admired[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after her four cliquey friends dump her , muriel plots to follow them to a resort where they are celebrating the honeymoon of one of the girls , and muriel's wedding unfolds from there . 	after her four cliquey friends dump her , muriel plots to follow them to a resort where they are celebrating the honeymoon of one of the girls , and muriel's wedding unfolds from there .	2	-2	 after[0] her[0] four[0] cliquey[0] friends[1] dump[-1] her[0] muriel[0] plots[0] to[0] follow[0] them[0] to[0] a[0] resort[0] where[0] they[0] are[0] celebrating[1] the[0] honeymoon[0] of[0] one[0] of[0] the[0] girls[0] and[0] muriel's[0] wedding[0] unfolds[0] from[0] there[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
toni collette plays muriel in a winning performance , conveying both the sadness of her character and her desperate eagerness to be accepted . 	toni collette plays muriel in a winning performance , conveying both the sadness of her character and her desperate eagerness to be accepted .	2	-4	 toni[0] collette[0] plays[1] muriel[0] in[0] a[0] winning[1] performance[0] conveying[0] both[0] the[0] sadness[-3] of[0] her[0] character[0] and[0] her[0] desperate[-2] eagerness[0] to[0] be[0] accepted[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
collette gained a frightening 43 pounds in order to play the chubby title character . 	collette gained a frightening 43 pounds in order to play the chubby title character .	1	-4	 collette[0] gained[0] a[0] frightening[-3] 43[0] pounds[0] in[0] order[0] to[0] play[0] the[0] chubby[0] title[0] character[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
she has a natural screen presence and exudes charisma , easily winning the audience over with an honest , painful performance . 	she has a natural screen presence and exudes charisma , easily winning the audience over with an honest , painful performance .	2	-4	 she[0] has[0] a[0] natural[0] screen[0] presence[0] and[0] exudes[0] charisma[0] easily[0] winning[1] the[0] audience[0] over[0] with[0] an[0] honest[0] painful[-3] performance[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
collette basically carries the film , appearing in almost every scene . 	collette basically carries the film , appearing in almost every scene .	1	-1	 collette[0] basically[0] carries[0] the[0] film[0] appearing[0] in[0] almost[0] every[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
muriel's father , bill " the battler " heslop , is portrayed by bill hunter as a slick politician/developer . 	muriel's father , bill " the battler " heslop , is portrayed by bill hunter as a slick politician/developer .	1	-2	 muriel's[0] father[0] bill[0] the[0] battler[-1] heslop[0] is[0] portrayed[0] by[0] bill[0] hunter[-1] as[0] a[0] slick[0] politician/developer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while chumming around with young fans and crowing 'you can't beat progress' ( his slogan ) , bill labels his family as worthless and embarrassments . 	while chumming around with young fans and crowing 'you can't beat progress' ( his slogan ) , bill labels his family as worthless and embarrassments .	1	-3	 while[0] chumming[0] around[0] with[0] young[0] fans[0] and[0] crowing[0] 'you[0] can't[0] beat[0] progress'[0] his[0] slogan[0] bill[0] labels[0] his[0] family[0] as[0] worthless[-2] and[0] embarrassments[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rachel griffiths plays rhonda , who becomes muriel's cheeky new friend in the film . 	rachel griffiths plays rhonda , who becomes muriel's cheeky new friend in the film .	2	-1	 rachel[0] griffiths[0] plays[1] rhonda[0] who[0] becomes[0] muriel's[0] cheeky[0] new[0] friend[1] in[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she has good chemistry with collette , and the film suffers when griffiths is off-screen . 	she has good chemistry with collette , and the film suffers when griffiths is off-screen .	2	-4	 she[0] has[0] good[1] chemistry[0] with[0] collette[0] and[0] the[0] film[0] suffers[-3] when[0] griffiths[0] is[0] off[0] screen[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
muriel's tormenters , played by pippa grandison , rosalind hammond , belinda jarrett and sophie lee , are two-dimensional caricatures , all saucy , vain and bumblingly spiteful , though that is probably due to hogan's scripting 	muriel's tormenters , played by pippa grandison , rosalind hammond , belinda jarrett and sophie lee , are two-dimensional caricatures , all saucy , vain and bumblingly spiteful , though that is probably due to hogan's scripting	1	-4	 muriel's[0] tormenters[0] played[0] by[0] pippa[0] grandison[0] rosalind[0] hammond[0] belinda[0] jarrett[0] and[0] sophie[0] lee[0] are[0] two[0] dimensional[0] caricatures[0] all[0] saucy[0] vain[-2] and[0] bumblingly[0] spiteful[-3] though[0] that[0] is[0] probably[0] due[0] to[0] hogan's[0] scripting[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
muriel's wedding is essentially a genre teen comedy with more intelligence and a lot of charm . 	muriel's wedding is essentially a genre teen comedy with more intelligence and a lot of charm .	2	-1	 muriel's[0] wedding[0] is[0] essentially[0] a[0] genre[0] teen[0] comedy[0] with[0] more[0] intelligence[0] and[0] a[0] lot[0] of[0] charm[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hogan's use of abba tunes ( which virtually comprises the entire soundtrack ) is interestingly appropriate , although its repetitiveness tires after awhile . 	hogan's use of abba tunes ( which virtually comprises the entire soundtrack ) is interestingly appropriate , although its repetitiveness tires after awhile .	2	-1	 hogan's[0] use[0] of[0] abba[0] tunes[0] which[0] virtually[0] comprises[0] the[0] entire[0] soundtrack[0] is[0] interestingly[1] appropriate[0] although[0] its[0] repetitiveness[0] tires[0] after[0] awhile[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hogan's script is right on the mark in terms of proportionately mixing comedy with muriel's earnest quest for acceptance , and the gorgeous scene with muriel window-shopping beautifully illustrates the wonder that marriage has for her . 	hogan's script is right on the mark in terms of proportionately mixing comedy with muriel's earnest quest for acceptance , and the gorgeous scene with muriel window-shopping beautifully illustrates the wonder that marriage has for her .	3	-1	 hogan's[0] script[0] is[0] right[0] on[0] the[0] mark[0] in[0] terms[0] of[0] proportionately[0] mixing[0] comedy[0] with[0] muriel's[0] earnest[0] quest[0] for[0] acceptance[0] and[0] the[0] gorgeous[2] scene[0] with[0] muriel[0] window[0] shopping[0] beautifully[2] illustrates[0] the[0] wonder[0] that[0] marriage[0] has[0] for[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the glaring pastel colours worn by the performers is an interesting touch . 	the glaring pastel colours worn by the performers is an interesting touch .	2	-2	 the[0] glaring[0] pastel[0] colours[0] worn[-1] by[0] the[0] performers[0] is[0] an[0] interesting[1] touch[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
muriel's wedding features a fine performance by toni collette and a charming , if a bit too straightforward and conventional story by p . j . hogan . 	muriel's wedding features a fine performance by toni collette and a charming , if a bit too straightforward and conventional story by p .<br> j .<br> hogan .	3	-1	 muriel's[0] wedding[0] features[0] a[0] fine[2] performance[0] by[0] toni[0] collette[0] and[0] a[0] charming[1] if[0] a[0] bit[0] too[0] straightforward[0] and[0] conventional[0] story[0] by[0] p[0] [[Sentence=-1,3=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]] hogan[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
on my four star scale , i give muriel's wedding three stars . 	on my four star scale , i give muriel's wedding three stars .	1	-1	 on[0] my[0] four[0] star[0] scale[0] i[0] give[0] muriel's[0] wedding[0] three[0] stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
