errol morris , critically acclaimed director of the 1997 documentary fast , cheap and out of control , vaults to new heights with mr . 	Translation	Positive	Negative	EmotionRationale
death . 	death .	1	-3	 death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this film , an examination of the life and work of controversial execution equipment designer and revisionist historian fred a . leuchter , jr . , is sure to draw audiences out of their malaise , stunning even the more jaded minds among us . 	this film , an examination of the life and work of controversial execution equipment designer and revisionist historian fred a .<br> leuchter , jr .<br> , is sure to draw audiences out of their malaise , stunning even the more jaded minds among us .	1	-3	 this[0] film[0] an[0] examination[0] of[0] the[0] life[0] and[0] work[0] of[0] controversial[-1] execution[0] equipment[0] designer[0] and[0] revisionist[0] historian[0] fred[0] a[0] [[Sentence=-2,1=word max, 1-5]] leuchter[0] jr[0] [[Sentence=-1,1=word max, 1-5]] is[0] sure[0] to[0] draw[0] audiences[0] out[0] of[0] their[0] malaise[0] stunning[0] even[0] the[0] more[0] jaded[-2] minds[0] among[0] us[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
don't let the film's cheesy dissuade you . 	don't let the film's cheesy dissuade you .	1	-1	 don't[0] let[0] the[0] film's[0] cheesy[0] dissuade[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
following this sideshow of horror-lab special effects we are plunged quickly into a non-stop exploration of the weirdness that is leuchter's life and mind . 	following this sideshow of horror-lab special effects we are plunged quickly into a non-stop exploration of the weirdness that is leuchter's life and mind .	2	-4	 following[0] this[0] sideshow[0] of[0] horror[-3] lab[0] special[1] effects[0] we[0] are[0] plunged[0] quickly[0] into[0] a[0] non[0] stop[0] exploration[0] of[0] the[0] weirdness[-1] that[0] is[0] leuchter's[0] life[0] and[0] mind[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
morris follows the trail of leuchter's madness with appalling lucidity , revealing in a surprising and frightening way what most of us could have guessed to begin with : this leuchter guy is seriously messed up . 	morris follows the trail of leuchter's madness with appalling lucidity , revealing in a surprising and frightening way what most of us could have guessed to begin with : this leuchter guy is seriously messed up .	1	-4	 morris[0] follows[0] the[0] trail[0] of[0] leuchter's[0] madness[-1] with[0] appalling[-3] lucidity[0] revealing[0] in[0] a[0] surprising[0] and[0] frightening[-3] way[0] what[0] most[0] of[0] us[0] could[0] have[0] guessed[0] to[0] begin[0] with[0] this[0] leuchter[0] guy[0] is[0] seriously[0] messed[0] up[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
virtually raised within the american penal system by a father who worked within prison walls , leuchter seems to have come somewhat naturally into his profession ; designing and maintaining execution equipment for state penitentiaries , in spite of his lack of credentials . 	virtually raised within the american penal system by a father who worked within prison walls , leuchter seems to have come somewhat naturally into his profession ; designing and maintaining execution equipment for state penitentiaries , in spite of his lack of credentials .	1	-4	 virtually[0] raised[0] within[0] the[0] american[0] penal[0] system[0] by[0] a[0] father[0] who[0] worked[0] within[0] prison[-1] walls[0] leuchter[0] seems[0] to[0] have[0] come[0] somewhat[0] naturally[0] into[0] his[0] profession[0] designing[0] and[0] maintaining[0] execution[0] equipment[0] for[0] state[0] penitentiaries[0] in[0] spite[-3] of[0] his[0] lack[-1] of[0] credentials[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after a moderately successful career making electric chairs and designing gas chambers and gallows , leuchter came to the attention of neo-nazi and revisionist historian ernst zundel , who was facing criminal charges in germany for publishing his  theory' that the holocaust never happened . 	after a moderately successful career making electric chairs and designing gas chambers and gallows , leuchter came to the attention of neo-nazi and revisionist historian ernst zundel , who was facing criminal charges in germany for publishing his  theory' that the holocaust never happened .	3	-2	 after[0] a[0] moderately[0] successful[2] career[0] making[0] electric[0] chairs[0] and[0] designing[0] gas[0] chambers[0] and[0] gallows[0] leuchter[0] came[0] to[0] the[0] attention[0] of[0] neo[0] nazi[-1] and[0] revisionist[0] historian[0] ernst[0] zundel[0] who[0] was[0] facing[0] criminal[-1] charges[-1] in[0] germany[-1] for[0] publishing[0] his[0] theory'[0] that[0] the[0] holocaust[0] never[0] happened[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
morris's interviews are surprisingly congenial , drawing the subjects into a carefree banter that gives them more than enough rope with which to hang themselves . 	morris's interviews are surprisingly congenial , drawing the subjects into a carefree banter that gives them more than enough rope with which to hang themselves .	2	-2	 morris's[0] interviews[0] are[0] surprisingly[0] congenial[0] drawing[0] the[0] subjects[0] into[0] a[0] carefree[1] banter[0] that[0] gives[0] them[0] more[0] than[0] enough[0] rope[0] with[0] which[0] to[0] hang[-1] themselves[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
zundel speaks to the camera as though it were his mensch . 	zundel speaks to the camera as though it were his mensch .	1	-1	 zundel[0] speaks[0] to[0] the[0] camera[0] as[0] though[0] it[0] were[0] his[0] mensch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
leuchter seems completely at ease , sometimes jovial . 	leuchter seems completely at ease , sometimes jovial .	1	-1	 leuchter[0] seems[0] completely[0] at[0] ease[0] sometimes[0] jovial[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
part of this effect may be due to morris's new interviewing machine , called the interrotron , which is responsible for creating eye contact between the subject and the interviewer . 	part of this effect may be due to morris's new interviewing machine , called the interrotron , which is responsible for creating eye contact between the subject and the interviewer .	1	-1	 part[0] of[0] this[0] effect[0] may[0] be[0] due[0] to[0] morris's[0] new[0] interviewing[0] machine[0] called[0] the[0] interrotron[0] which[0] is[0] responsible[0] for[0] creating[0] eye[0] contact[0] between[0] the[0] subject[0] and[0] the[0] interviewer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this was the first time morris had used the device , and the results are startling . 	this was the first time morris had used the device , and the results are startling .	1	-2	 this[0] was[0] the[0] first[0] time[0] morris[0] had[0] used[0] the[0] device[0] and[0] the[0] results[0] are[0] startling[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
combine the irony of these interviews with leuchter's reenactments and reels of creepy stock footage of his trip to auschwitz and birkenau , not to mention a haunting clip of thomas edison electrocuting an elephant , and you've got one compelling and disturbing documentary . 	combine the irony of these interviews with leuchter's reenactments and reels of creepy stock footage of his trip to auschwitz and birkenau , not to mention a haunting clip of thomas edison electrocuting an elephant , and you've got one compelling and disturbing documentary .	1	-2	 combine[0] the[0] irony[-1] of[0] these[0] interviews[0] with[0] leuchter's[0] reenactments[0] and[0] reels[0] of[0] creepy[0] stock[0] footage[0] of[0] his[0] trip[0] to[0] auschwitz[0] and[0] birkenau[0] not[0] to[0] mention[0] a[0] haunting[0] clip[0] of[0] thomas[0] edison[0] electrocuting[0] an[0] elephant[0] and[0] you've[0] got[0] one[0] compelling[0] and[0] disturbing[-1] documentary[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while this film isn't for the feeble-minded or weak-hearted , it is a valuable addition to the cultural landscape . 	while this film isn't for the feeble-minded or weak-hearted , it is a valuable addition to the cultural landscape .	2	-2	 while[0] this[0] film[0] isn't[0] for[0] the[0] feeble[-1] minded[0] or[0] weak[-1] hearted[0] it[0] is[0] a[0] valuable[1] addition[0] to[0] the[0] cultural[0] landscape[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
aside from a few dragging minutes toward the end of the piece , morris has given us a fresh look at a dismal subject and i , for one , feel bettered by the experience . 	aside from a few dragging minutes toward the end of the piece , morris has given us a fresh look at a dismal subject and i , for one , feel bettered by the experience .	1	-2	 aside[0] from[0] a[0] few[0] dragging[0] minutes[0] toward[0] the[0] end[0] of[0] the[0] piece[0] morris[0] has[0] given[0] us[0] a[0] fresh[0] look[0] at[0] a[0] dismal[-1] subject[0] and[0] i[0] for[0] one[0] feel[0] bettered[0] by[0] the[0] experience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
