available in an all new video edition from arrow entertainment ( $29 . 95 ) , with an introduction by david carradine , written & produced by wayne j . keeley 	Translation	Positive	Negative	EmotionRationale
f . w . murnau's career ended sadly and prematurely . 	f .<br> w .<br> murnau's career ended sadly and prematurely .	1	-2	 f[0] [[Sentence=-1,1=word max, 1-5]] w[0] [[Sentence=-1,1=word max, 1-5]] murnau's[0] career[0] ended[0] sadly[-1] and[0] prematurely[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the german director of such classics as " sunrise " and " the last laugh " died in a car accident shortly after signing a deal to make american pictures at paramount . 	the german director of such classics as " sunrise " and " the last laugh " died in a car accident shortly after signing a deal to make american pictures at paramount .	2	-2	 the[0] german[-1] director[0] of[0] such[0] classics[0] as[0] sunrise[0] and[0] the[0] last[0] laugh[1] died[0] in[0] a[0] car[0] accident[-1] shortly[0] after[0] signing[0] a[0] deal[0] to[0] make[0] american[0] pictures[0] at[0] paramount[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
murnau was reportedly a giant man , well over six feet , a towering figure probably incapable of anything but a grand entrance . 	murnau was reportedly a giant man , well over six feet , a towering figure probably incapable of anything but a grand entrance .	2	-2	 murnau[0] was[0] reportedly[0] a[0] giant[0] man[0] well[0] over[0] six[0] feet[0] a[0] towering[0] figure[0] probably[0] incapable[-1] of[0] anything[0] but[0] a[0] grand[1] entrance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
which brings us to " nosferatu : a symphony of horror " : surely he felt a kinship with his title character , the looming vampire embodied by intimidating max schreck ; in one of the most indelible images in film history , silent or otherwise , schreck rises from his grave , gnarled hands outstretched , and he's so big that part of his head is cropped by the top of the frame . 	which brings us to " nosferatu : a symphony of horror " : surely he felt a kinship with his title character , the looming vampire embodied by intimidating max schreck ; in one of the most indelible images in film history , silent or otherwise , schreck rises from his grave , gnarled hands outstretched , and he's so big that part of his head is cropped by the top of the frame .	1	-4	 which[0] brings[0] us[0] to[0] nosferatu[0] a[0] symphony[0] of[0] horror[-3] surely[0] he[0] felt[0] a[0] kinship[0] with[0] his[0] title[0] character[0] the[0] looming[0] vampire[0] embodied[0] by[0] intimidating[-3] max[0] schreck[0] in[0] one[0] of[0] the[0] most[0] indelible[0] images[0] in[0] film[0] history[0] silent[0] or[0] otherwise[0] schreck[0] rises[0] from[0] his[0] grave[-2] gnarled[0] hands[0] outstretched[0] and[0] he's[0] so[0] big[0] that[0] part[0] of[0] his[0] head[0] is[0] cropped[0] by[0] the[0] top[0] of[0] the[0] frame[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the plot of " nosferatu . . . " 	the plot of " nosferatu .<br> .<br> .<br> "	1	-1	 the[0] plot[0] of[0] nosferatu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is lifted--unauthorized--from bram stoker's " dracula " . 	is lifted-unauthorized-from bram stoker's " dracula " .	1	-1	 is[0] lifted[0] unauthorized[0] from[0] bram[0] stoker's[0] dracula[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the british hutter is an eager real estate man assigned to visit and discuss future living arrangements with count orlock of transylvania . 	the british hutter is an eager real estate man assigned to visit and discuss future living arrangements with count orlock of transylvania .	1	-1	 the[0] british[0] hutter[0] is[0] an[0] eager[0] real[0] estate[0] man[0] assigned[0] to[0] visit[0] and[0] discuss[0] future[0] living[0] arrangements[0] with[0] count[0] orlock[0] of[0] transylvania[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he leaves behind girlfriend emily , only to discover orlock's secret--he's a bloodsucker--and struggle to return to england before the nosferatu reaches his lady love . 	he leaves behind girlfriend emily , only to discover orlock's secret-he's a bloodsucker-and struggle to return to england before the nosferatu reaches his lady love .	3	-2	 he[0] leaves[0] behind[0] girlfriend[0] emily[0] only[0] to[0] discover[0] orlock's[0] secret[0] he's[0] a[0] bloodsucker[0] and[0] struggle[-1] to[0] return[0] to[0] england[0] before[0] the[0] nosferatu[0] reaches[0] his[0] lady[0] love[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in addition to schreck's performance , the cinematography and effects are outstanding . 	in addition to schreck's performance , the cinematography and effects are outstanding .	3	-1	 in[0] addition[0] to[0] schreck's[0] performance[0] the[0] cinematography[0] and[0] effects[0] are[0] outstanding[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
arrow video's digitally remastered version of the classic is something of a mixed-coffin . 	arrow video's digitally remastered version of the classic is something of a mixed-coffin .	1	-1	 arrow[0] video's[0] digitally[0] remastered[0] version[0] of[0] the[0] classic[0] is[0] something[0] of[0] a[0] mixed[0] coffin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
