the bond series is an island in the film world ; where else would we look forward to cliches , and all of the other things that occur in most of these films ? 	Translation	Positive	Negative	EmotionRationale
where else would pure escapism , a vulnerable hero , the " talking villains , " blatant product placement , predictable action sequences , and lots of promiscuity be hoped for instead of a significant change ? 	where else would pure escapism , a vulnerable hero , the " talking villains , " blatant product placement , predictable action sequences , and lots of promiscuity be hoped for instead of a significant change ?	3	-3	 where[0] else[0] would[0] pure[0] escapism[0] a[0] vulnerable[-2] hero[2] the[0] talking[0] villains[-2] blatant[-1] product[0] placement[0] predictable[0] action[0] sequences[0] and[0] lots[0] of[0] promiscuity[-1] be[0] hoped[1] for[0] instead[0] of[0] a[0] significant[0] change[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i don't understand it myself , but that's what the bond series is based on . 	i don't understand it myself , but that's what the bond series is based on .	1	-1	 i[0] don't[0] understand[0] it[0] myself[0] but[0] that's[0] what[0] the[0] bond[0] series[0] is[0] based[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for ( i think ) 18 films , we've mostly got the same thing over and over again , with some variation ( and a bit of change , most notably in the two dalton films ) . 	for ( i think ) 18 films , we've mostly got the same thing over and over again , with some variation ( and a bit of change , most notably in the two dalton films ) .	1	-1	 for[0] i[0] think[0] 18[0] films[0] we've[0] mostly[0] got[0] the[0] same[0] thing[0] over[0] and[0] over[0] again[0] with[0] some[0] variation[0] and[0] a[0] bit[0] of[0] change[0] most[0] notably[0] in[0] the[0] two[0] dalton[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but even i , a king of cynicism , can't bitch about it . 	but even i , a king of cynicism , can't bitch about it .	2	-2	 but[0] even[0] i[0] a[0] king[0] of[0] cynicism[-1] can't[0] bitch[-1][NegatedDueToPreviousWord] about[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and " tomorrow never dies , " the ( again , i think ) eighteenth bond film , and second brosnan bond film , is no exception . 	and " tomorrow never dies , " the ( again , i think ) eighteenth bond film , and second brosnan bond film , is no exception .	1	-1	 and[0] tomorrow[0] never[0] dies[0] the[0] again[0] i[0] think[0] eighteenth[0] bond[0] film[0] and[0] second[0] brosnan[0] bond[0] film[0] is[0] no[0] exception[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thank god ! 	thank god !	2	-1	 thank[1] god[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot , as in most of them , is pure balderdash , but seems to have a nice kind of edge to it . 	the plot , as in most of them , is pure balderdash , but seems to have a nice kind of edge to it .	2	-2	 the[0] plot[0] as[0] in[0] most[0] of[0] them[0] is[0] pure[0] balderdash[-1] but[0] seems[0] to[0] have[0] a[0] nice[1] kind[1] of[0] edge[0] to[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead of just plain billionaire psychotics , we get a rupert murdoch-esque media mogul/psychotic - elliot carver ( jonathan pryce , looking bitching with a white-haired cru cut , and always talking like he's out of breath ) , who has the admittingly ingenius idea of getting ratings by creating a war . 	instead of just plain billionaire psychotics , we get a rupert murdoch-esque media mogul/psychotic - elliot carver ( jonathan pryce , looking bitching with a white-haired cru cut , and always talking like he's out of breath ) , who has the admittingly ingenius idea of getting ratings by creating a war .	2	-3	 instead[0] of[0] just[0] plain[0] billionaire[0] psychotics[0] we[0] get[0] a[0] rupert[0] murdoch[0] esque[0] media[0] mogul/psychotic[0] elliot[0] carver[0] jonathan[0] pryce[-1] looking[0] bitching[-1] with[0] a[0] white[0] haired[0] cru[0] cut[0] and[0] always[0] talking[0] like[1] he's[0] out[0] of[0] breath[0] who[0] has[0] the[0] admittingly[0] ingenius[0] idea[0] of[0] getting[0] ratings[0] by[0] creating[0] a[0] war[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
no , this is not " wag the dog " - he wants a real war , between china and england , and is stupid enough to put the coverage out before anyone else discovered it . . . in 	no , this is not " wag the dog " - he wants a real war , between china and england , and is stupid enough to put the coverage out before anyone else discovered it .<br> .<br> .<br> in	1	-3	 no[0] this[0] is[0] not[0] wag[0] the[0] dog[0] he[0] wants[0] a[0] real[0] war[-2] between[0] china[0] and[0] england[0] and[0] is[0] stupid[-1] enough[0] to[0] put[0] the[0] coverage[0] out[0] before[0] anyone[0] else[0] discovered[0] it[0] [[Sentence=-3,1=word max, 1-5]] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
comes bond . 	comes bond .	1	-1	 comes[0] bond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
